# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784616020.8744044,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.433731639292091,,6.377764604520053,,9.981823505368084,,1.1903441300382838,,4.259514247998595,,2.2580755692906678,,4.9703116826713085,,8.375,-2.993518352508545,0.0008806510013528168,0.40672970563173294,1.4194793812930584,32768,96,16,1,-118.72853,0.15190017642453313,-0.0025148613029159607,5.675241938233375,-110.46423,0.09792993834707886,-0.002668249039561488,5.672472220659256,,,0.95,0.85,0.36310790861020376,0.3527915402669682,1.646050818920576,0.0,-131.94841,2910.6087621003867,-118.72853
1,1784616079.0794983,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.8253182847984135,,5.724589434918016,,9.64255766198039,,0.8994380090152845,,3.880554659757763,,1.8305951424408704,,4.752597460523248,,7.6875,-2.292039394378662,-0.008541704242816195,0.329306673258543,1.427810437977314,196608,588,96,6,-118.628586,0.032528339803684504,-0.004267440739204176,5.621853742003441,-120.59798,0.06592679917812347,-0.002159021493571345,5.586539000272751,,,0.95,0.85,0.32774686696756794,0.24057945109674747,1.4198191088385057,0.0,-119.217064,2814.8753104384405,-118.628586
2,1784616139.7656426,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.28789739869535,,5.321804746752605,,9.303241222165525,,0.5997535809874535,,3.5761641098652035,,1.5631235530599952,,4.597562432754785,,7.3125,-0.48136377334594727,-0.002442788565531373,0.23663802607916296,1.4294587150216103,360448,1007,176,11,-138.26877,0.03389190960442647,-0.0033307223580777644,5.515888082981109,-117.805626,0.023995910515077414,-0.002953806523873936,5.506207412481308,,,0.95,0.85,0.3163912479130548,0.28123368169820706,2.225957200471249,0.0,-126.08595,2699.7927944705066,-138.26877
3,1784616200.9049265,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.947886458598077,,5.9630362301832065,,9.565730403643101,,1.0997258853167295,,3.8624277028720826,,1.8556712895515375,,4.729913752991706,,7.5625,-0.6468955874443054,-0.001829582150094211,0.0693240505643189,1.4302870631217957,524288,1334,256,16,-127.090126,0.027043141517788173,-0.0031856869070907125,5.349498003721237,-121.529686,0.021390612970571966,-0.0023030797179671935,5.348312222957611,,,0.95,0.85,0.33789372676598306,0.29643206077780243,0.8707888088207478,0.0,-146.12877,2679.782638695165,-127.090126
4,1784616261.1777797,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.348327414831147,,6.120896530337632,,9.782933650538325,,1.1885947207920253,,4.221467331954045,,2.2153320275247097,,4.943967500817962,,8.0625,-0.305299311876297,0.00039079913403838873,0.09056203532963991,1.4278487339615822,688128,1565,336,21,-121.44586,0.01592588202911429,-0.0016782424179837107,5.105314832925797,-117.59766,0.015006786870071665,-0.002209928423690144,5.114719742536545,,,0.95,0.85,0.4168708474332961,0.35876257637969067,0.8089164090655014,0.0,-120.07915,2718.3052764453582,-121.44586
5,1784616320.2252536,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.776792940450832,,5.707680309191346,,9.629905184730887,,0.7897536323871464,,3.83258454001043,,1.647457247134298,,4.756817274028435,,7.5625,-0.12783607840538025,-0.002465458179358393,0.09074008883908391,1.4330071844160557,851968,1742,416,26,-113.84819,0.012346932812943124,-0.0029535303332522745,4.891938388347626,-120.128845,0.018755308276740833,-0.0025146127212792636,4.8863591134548185,,,0.95,0.85,0.3435640120964082,0.3551595154937125,0.7218117202839696,0.0,-120.52303,2774.7168354240293,-113.84819
6,1784616378.8186576,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.609318258240819,,5.690064381924458,,9.667316803708673,,0.714775983709842,,3.8253292549634352,,1.857705739152152,,4.858931208495051,,7.8125,-0.4045200049877167,-0.003302646742668003,0.08581535296980292,1.4415374249219894,1015808,1922,496,31,-129.2745,0.01062949771876447,-0.0018756648147245868,4.656279745697975,-123.15358,0.02321021689567715,-0.0036055727221537383,4.697440758347511,,,0.95,0.85,0.4536499376999911,0.3943570320641998,0.6605196322352429,0.0,-114.78285,2796.220029368922,-129.2745
7,1784616438.4140399,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.88825286924839,,5.45663993852213,,9.538713806308806,,0.9260218570416328,,3.8687373297289014,,1.9043639773735777,,4.71387657802552,,7.875,-1.0979175567626953,-0.00040548574179410934,0.10474133654497564,1.445221945643425,1179648,2129,576,36,-113.77335,0.014640139223774894,-0.0009475657556322403,4.482756039500236,-128.4067,0.05824651387520134,-0.002260488793399418,4.515573644638062,,,0.95,0.85,0.4661728735320925,0.4459186765111706,0.9740636244863523,0.0,-114.498924,2749.2053261279148,-113.77335
8,1784616496.7302036,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.790514936670661,,5.807264463976026,,9.738422971218824,,1.1093289237469435,,3.858674842689652,,1.90111098671332,,4.721860486315563,,7.9375,-0.3411727547645569,-0.0002546883188188076,0.12194415298290551,1.4464674964547157,1343488,2325,656,41,-120.618675,0.01223003008926753,-0.001471032263361849,4.242223858833313,-124.414085,0.027684484655037523,-0.0026933148386888207,4.307371029257775,,,0.95,0.85,0.4952580665588762,0.5114280959982926,0.8570797795712011,0.0,-125.58954,2809.512384168593,-120.618675
9,1784616553.6545315,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.458989220671356,,5.500347550958395,,9.3560003452003,,0.7217669989913702,,3.6915651317685843,,1.7651364873163402,,4.6766670062206686,,7.625,-1.0903208255767822,-0.0018767729634419084,0.3996246731840074,1.4449363350868225,1507328,2554,736,46,-106.89284,0.013142560681444593,-0.0014686886104755103,3.9969737410545347,-121.19476,0.06661319411359727,-0.0034928893510368653,4.095901283621788,,,0.95,0.85,0.4822761936514561,0.49803514418789396,0.8828202073065312,0.0,-102.38492,2878.207206960252,-106.89284
