# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
10,1784820754.287047,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.364942679181695,,6.280891431495547,,9.7241255864501,,0.9606770358514041,,3.9685981953516603,,2.0134568102657795,,4.811360060237348,,8.125,-0.2096487432718277,-0.00010898266918957233,0.028309904679190367,1.451125081628561,1671168,3314,816,51,-106.23146,0.015310387220233678,-0.0027262675881502218,3.730246302485466,-104.3467,0.02572272701654583,-0.0018023161253950093,3.7677468731999397,,,0.95,0.9,both,0.523622208033272,0.5177201060304913,0.8393840900813052,0.0,-97.91951,2318.798039007645,-106.23146
11,1784820825.406737,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.788088059052825,,5.786443537566811,,9.660261867567897,,0.7659086713683791,,3.9115626343991607,,1.9120306219556369,,4.811007617041469,,7.8125,-0.07734567672014236,-0.00019484097720123827,0.23598860658239573,1.4513618648052216,1835008,3610,896,56,-121.014915,0.014565968106035143,-0.0025713608585647306,3.515786346793175,-104.15566,0.018072736053727567,-0.00203244384174468,3.5559010326862337,,,0.95,0.9,both,0.609907943468467,0.5708547317997962,2.077259159180883,0.0,-92.95629,2303.7234499865326,-121.014915
12,1784820896.8089828,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.546666639856994,,5.526636469177902,,9.38752448093146,,0.7106824782676995,,3.7531359721906483,,1.7052474829833955,,4.753880293807015,,7.4375,-0.13742324709892273,-0.0003020918811671436,0.1237575119594112,1.4557563737034798,1998848,3874,976,61,-86.556595,0.012246889056405053,-0.0012567565310746432,3.3161669716238977,-100.502304,0.022480771836126224,-0.001635785468533868,3.3746821880340576,,,0.95,0.9,both,0.7051709436707982,0.6302633771588633,1.3288378599587394,0.0,-112.56405,2294.6055972744953,-86.556595
13,1784820966.0675766,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.118408773094416,,6.631525460630655,,9.926767390221357,,1.2654521535150707,,4.313555268570781,,2.319802946643904,,4.994322927668691,,8.4375,-0.12708249688148499,-5.9815007261931896e-05,0.06446235143812373,1.45359618216753,2162688,4165,1056,66,-91.046906,0.01758204880170524,-0.0017335013835690916,3.1380903244018556,-99.39393,0.02769288863055408,-0.0021429412430734374,3.1837849482893943,,,0.95,0.9,both,0.7007402055652875,0.7027588364656914,1.0462226675985595,0.0,-88.97046,2365.6269780304633,-91.046906
14,1784821035.8996775,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.467003199766623,,6.121667264029384,,9.879756523296237,,1.1217011248227209,,4.203773650806397,,2.2959146596549544,,4.991167266620323,,8.5625,-0.2917284369468689,0.00021284929243847728,0.03698379115667194,1.4590655639767647,2326528,4458,1136,71,-82.36717,0.016398928599664943,-0.001242228898627218,2.973060542345047,-92.69823,0.03608462301781401,-0.001656959389219992,3.013055558502674,,,0.95,0.9,both,0.8495015654004998,0.7094599335398137,0.7992178986913923,0.0,-106.21129,2346.197486902673,-82.36717
15,1784821105.310893,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.166519671212882,,6.336822078563273,,9.857725786743686,,1.072373031405732,,4.320670521818101,,2.100943044424639,,4.935717252083123,,8.125,-0.4420689642429352,0.00031848112121224403,0.1079972677398473,1.4606954418122768,2490368,4766,1216,76,-89.36071,0.015576250932645053,-0.00012950241944054142,2.818143193423748,-93.28174,0.03285763409221545,-0.002393118249892723,2.883932663500309,,,0.95,0.9,both,0.8807248677590156,0.7120617517440576,1.3233258014384002,0.0,-107.957886,2360.4281295114724,-89.36071
16,1784821173.451525,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.778955434449017,,5.636722624867616,,9.281789189204574,,0.8419122346676886,,3.784291206044145,,1.975293837604113,,4.771175070956815,,7.625,-0.4141780138015747,-0.004667650442570448,0.18061530753038824,1.4604313857853413,2654208,5055,1296,81,-110.05066,0.020982070453464986,-0.0018652606886462308,2.6540499523282053,-85.55757,0.029965157888364048,-0.0011848796013509855,2.7165883019566537,,,0.95,0.9,both,0.817494603345095,0.7839234387787453,1.7472728552743082,0.0,-96.59306,2404.43726581695,-110.05066
17,1784821239.5431113,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.859198829159141,,5.716213343665004,,9.420954267960042,,0.8032243042543996,,3.7440775119466707,,1.7727919671451673,,4.740722115151584,,7.75,-0.30609142780303955,-0.0015660509234294295,0.06819273578003049,1.4538072794675827,2818048,5360,1376,86,-67.52987,0.010304871565313078,-0.0014058214001124725,2.4725337505340574,-91.37401,0.036403289984446016,-0.002077138399181422,2.557240051031113,,,0.95,0.9,both,0.9283378414733221,0.8083183003469443,0.8665430762954518,0.0,-94.95006,2478.9868402087513,-67.52987
18,1784821306.3514106,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.862508846679702,,6.082128700218163,,9.584510299377143,,0.944502305239439,,4.088120980770327,,2.049569924129173,,4.9230328782578,,7.8125,-0.38536888360977173,-0.0014512729248963296,0.04282603529281914,1.4494845494627953,2981888,5621,1456,91,-83.38895,0.015440270077669993,-0.00023291923716897144,2.311495192348957,-95.080185,0.017063844855874775,-0.002132540773891378,2.379824049770832,,,0.95,0.9,both,0.9702938630784346,0.932187460217763,0.6860562784758311,0.0,-96.94124,2452.387309357172,-83.38895
19,1784821374.2408516,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.531311848200858,,5.359908072583494,,9.462720255367458,,0.7124384811904747,,3.8109939717687666,,1.8296050801873207,,4.752471062820405,,7.625,-0.234635129570961,-0.0007188356830738485,0.1792952751275152,1.4550777599215508,3145728,5846,1536,96,-63.98803,0.010383688827278092,-0.0008598960957897361,2.143587976694107,-93.86934,0.021960922970902175,-0.0003333945809572469,2.183180721104145,,,0.95,0.9,both,1.0149937247136624,0.9095500869495918,1.363503132583628,0.0,-116.45067,2413.336250488964,-63.98803
20,1784821442.7283041,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.72063222527504,,6.802127766190097,,9.962038391386159,,1.3903508242219687,,4.305351895862259,,2.3024410529760644,,4.975579200312495,,8.75,-0.2870805263519287,-0.002589174371678382,0.0847453911555931,1.469107124954462,3309568,6077,1616,101,-84.37039,0.016300526820123194,-0.0010638341249432416,1.9873304188251495,-93.351585,0.03833639386575669,-0.0012697556128841824,2.045490950345993,,,0.95,0.9,both,0.9427895862272269,0.8783076422559871,0.8293374032168899,0.0,-100.07992,2392.263076900836,-84.37039
21,1784821511.0193167,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.8749458361417055,,6.014225913153496,,9.479204094037414,,0.9026649345178157,,3.9922980167903006,,1.790513335261494,,4.759363294579089,,7.625,-0.1653398871421814,-0.0018842869903892279,0.17509756120853126,1.4712533950805664,3473408,6319,1696,106,-67.01291,0.011001377887441776,-0.0005434025399154053,1.843462135642767,-109.59163,0.04640638708369806,-0.0020272324632969684,1.9086514703929425,,,0.95,0.9,both,1.1904334556682863,0.8405473239642003,0.8032874092127373,0.0,-82.2788,2399.1442548588307,-67.01291
22,1784821576.57603,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.753033560176846,,6.718860877212137,,9.911474091000855,,1.3958063824102283,,4.333281715633348,,2.34336893633008,,4.968544195406139,,8.75,-0.26697269082069397,0.000306970439851284,0.12157664692495018,1.480340264737606,3637248,6568,1776,111,-73.92377,0.026612676691729575,-0.0008290698999189772,1.7358822271227836,-86.149376,0.03203219756251201,-0.00029555163055192677,1.8030037693679333,,,0.95,0.9,both,1.0249786317353262,0.8995522201690289,0.5584755724330938,0.0,-93.705086,2499.2085631967807,-73.92377
23,1784821645.349953,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.68885066115763,,5.510715995915234,,9.276025664061308,,0.758593971375376,,3.8688835690845735,,1.6963645820505917,,4.767511094221845,,7.0625,-0.4584099054336548,-0.002989504369907081,0.2219812972471118,1.495278138667345,3801088,6821,1856,116,-74.60533,0.027732759818900377,-0.0005285981533234008,1.647538037598133,-87.96582,0.034774795663543044,0.00021035603931522927,1.704298671334982,,,0.95,0.9,both,1.084852681467502,1.0060660758453257,1.3541097992232678,0.0,-80.265015,2382.299557975238,-74.60533
24,1784821716.4032323,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.079891297966242,,6.030027880216949,,9.67544475570321,,0.9405642561614513,,3.92474187805783,,2.14691458735615,,4.9049549526534975,,8.25,-0.23271863162517548,-0.007804522814694792,0.061535323853604496,1.494184222072363,3964928,7082,1936,121,-63.257587,0.01703890538192354,-0.00025944528315449136,1.5184775404632092,-83.4717,0.031766035326290874,-0.0008926122885895893,1.614154753088951,,,0.95,0.9,both,1.1948669317823157,0.9804118372884346,0.6467436305718608,0.0,-100.33553,2305.875220012593,-63.257587
25,1784821785.9744222,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.097671293653548,,5.930211262777448,,9.768341939896345,,1.0206818401347846,,3.9062125828058925,,2.13743250517291,,4.8559310445562005,,8.0,-0.409553200006485,-0.007392941741272807,0.11447425163351,1.4969204664230347,4128768,7333,2016,126,-60.759026,0.021492038504220545,-0.0008841656759614125,1.4328734286129474,-92.15885,0.026482488890178502,-0.0013008362366235815,1.510983733087778,,,0.95,0.9,both,1.0730475281670901,1.1469846671389878,0.9412083661007595,0.0,-86.66695,2354.9985690625117,-60.759026
26,1784821854.4350183,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.68109062325675,,5.593456422910094,,9.536955843446776,,0.8779870122671127,,3.8375449031591415,,1.7594149778597057,,4.729145110119134,,7.5625,-0.11412711441516876,-0.0020540367113426328,0.10924989613704383,1.498261108994484,4292608,7609,2096,131,-83.48212,0.030287324136588724,-0.0005340371310012415,1.3507800661027431,-66.84729,0.02088898972142488,-0.0005882630961423274,1.3951895609498024,,,0.95,0.9,both,1.168122999894311,1.1517204789353472,0.7111147547607908,0.0,-103.826965,2393.20261144305,-83.48212
