# _tick,_time,plr_track_area,track_area,plr_track_perimeter,track_perimeter,plr_track_amplitude,track_amplitude,plr_track_convex,track_convex,plr_track_notches,track_notches,plr_track_complexity,track_complexity,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:CarRacingF1-Germany-v0,test_returns:CarRacingF1-Germany-v0,sps,target_agent_return
17,1784623003.3679423,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.07964446395635605,-0.017780817113816738,0.09669222845695913,1.4295490086078644,172000,1532,1376,86,156.32472,0.06611943000461906,-0.02556284385627805,-1.3038120046257973,108.05172,0.06417499762028456,-0.021487807993253227,-1.3163574561476707,,,0.95,0.88,2.8941050020688928,3.035157543111527,0.6553830221832546,,,37.150779314209835,
18,1784623271.460749,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.23637250065803528,0.0009222173830494285,0.030461298607406206,1.4315362200140953,182000,1550,1456,91,164.4859,0.06806835753377527,-0.021586161281447858,-1.3292782008647919,155.55867,0.06232891301624477,-0.023208403639728203,-1.3504688777029514,,,0.95,0.88,3.2976554224001555,2.986702344373275,0.9567296410432533,,,37.30051550056952,
19,1784623541.5781517,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.00685940682888031,0.0007499474450014532,0.12043335553607903,1.4318566881120205,192000,1574,1536,96,159.69485,0.07717672665603459,-0.02616912806115579,-1.3676850758492947,146.52567,0.05953313107602298,-0.02797096136964683,-1.3523771949112415,,,0.95,0.88,3.0317636329200885,2.718344015240396,0.7145953539943719,,,37.02093998447249,
20,1784623831.095316,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.18584775924682617,-0.004262330068740994,0.09511836638557725,1.44286572560668,202000,1593,1616,101,143.3966,0.05416945042088628,-0.01743553695268929,-1.3959154449403286,125.83083,0.04918897582683712,-0.02301185239048209,-1.3733834996819496,,,0.95,0.88,3.4756435970786796,3.7954694009235115,0.6418645557577405,1.0,341.77567,34.54026633755003,341.77567
21,1784624098.016513,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.11570402979850769,-0.000852342345751822,0.15802602475741878,1.4349893108010292,212000,1616,1696,106,183.77507,0.05646492668893188,-0.02401618684962159,-1.3771927021443844,174.76265,0.053395126946270466,-0.025997662953159306,-1.3768700920045376,,,0.95,0.88,3.030173341750386,2.8663964178575494,0.7532707830371225,,,37.46424076109908,
22,1784624369.9347498,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.13753491640090942,-0.008192368724849075,0.16504727397114038,1.4441985078155994,222000,1642,1776,111,170.07156,0.05303085036575794,-0.015592488991387654,-1.389211617410183,178.64795,0.05530873406678438,-0.026130963648029137,-1.363339215517044,,,0.95,0.88,3.971302218692874,2.7593320536384986,0.4649192575342714,,,36.775760297997934,
23,1784624641.9186008,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.2337263822555542,0.0007786153873894364,0.10583149635931477,1.443430658429861,232000,1659,1856,116,143.68631,0.03117515193298459,-0.023372810559521895,-1.3950545564293861,208.97034,0.04141856596106663,-0.019119642820442095,-1.39808639138937,,,0.95,0.88,3.0082405925556195,3.2012560448823937,0.73301195168181,,,36.76688954889207,
24,1784624911.4056597,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.12063625454902649,-0.014460923383012414,0.17660093260928988,1.4494776763021946,242000,1670,1936,121,147.66713,0.019417792558670044,-0.02421154879266396,-1.4036819227039814,219.09326,0.03361690742895007,-0.02288619392493274,-1.4360389485955238,,,0.95,0.88,3.198581694134493,3.109600995706522,0.6106763598191611,,,37.10753240266845,
25,1784625204.824665,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.09313583374023438,-0.0002906055888161063,0.017808335047448054,1.445038702338934,252000,1692,2016,126,210.50552,0.03501007391605526,-0.025961509163607843,-1.430880531668663,178.4827,0.021328755654394627,-0.02570012304931879,-1.4621625356376171,,,0.95,0.88,3.2675225302076605,3.773036395646149,0.6193574626564438,1.0,380.98376,34.080955790569824,380.98376
26,1784625475.2542672,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.0215902142226696,-0.01458361407276243,0.11618423566687852,1.442443821579218,262000,1715,2096,131,241.16345,0.046994155389256775,-0.023312353747314773,-1.467545472085476,221.67822,0.03234339546179399,-0.022301181526813707,-1.4751573204994202,,,0.95,0.88,3.3503702829661988,3.9256765270590153,0.7093738789274203,,,36.978200827901446,
27,1784625743.721248,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.4622303247451782,-0.002217295696027577,0.08870657943771221,1.4351651556789875,272000,1728,2176,136,168.28067,0.035694815684109926,-0.030328511047628126,-1.4568771608173847,189.8759,0.01962756211287342,-0.026038819261884782,-1.497130163013935,,,0.95,0.88,2.381429712725816,3.0542331660796833,0.70685450132176,,,37.24852734321762,
28,1784626011.652912,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.12139198929071426,-0.004842010734137148,0.15346086223144084,1.428381223231554,282000,1742,2256,141,213.75693,0.037237491516862065,-0.01472352380369557,-1.501571897417307,276.49155,0.03383688966277987,-0.024321655058884062,-1.4839605502784252,,,0.95,0.88,4.162662014884269,3.5263127686150426,0.6366965251163796,,,37.32294986869855,
29,1784626279.379781,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.05983792990446091,-0.0037558889016509056,0.10372699680738151,1.4274387955665588,292000,1756,2336,146,209.0667,0.0224037378502544,-0.03157795271317809,-1.5499519743025303,213.46155,0.022179449209943414,-0.019867344526574016,-1.5088279619812965,,,0.95,0.88,2.7196723261710303,3.060576403991101,0.8438915259833392,,,37.35150034130289,
30,1784626568.8942866,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,-0.10165807604789734,0.00015997758600860834,0.1957752207526937,1.4332660734653473,302000,1768,2416,151,259.0129,0.018221223406726494,-0.03201089824869996,-1.5635979250073433,179.65436,0.03286166174802929,-0.034319208876695484,-1.5679265409708023,,,0.95,0.88,3.1460328871357466,2.48902093696056,0.8212698075455824,1.0,369.9152,34.540582800371716,369.9152
31,1784626837.7380118,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.07992840558290482,0.00013085058890283108,0.014229669846827164,1.429588433355093,312000,1783,2496,156,241.72324,0.01876357290893793,-0.030781757694057887,-1.6058314107358456,226.24954,0.01621060390607454,-0.024821751347190002,-1.5584432072937489,,,0.95,0.88,4.192403281569078,3.5422259430189467,0.6244533241905974,,,37.19633136664537,
32,1784627106.1564007,,66327.39738018459,,2302.155071728951,,0.20118238606942065,,0.5169634392614341,,0.5190076030412164,,0.18692483822668896,0.08726882934570312,-0.003705667215399444,0.1218306632945314,1.4322001822292805,322000,1794,2576,161,284.11865,0.03875954542309046,-0.029500708893465344,-1.6275000870227814,200.82355,0.02219869865803048,-0.030310317262774333,-1.608502347022295,,,0.95,0.88,4.202769402446606,3.4979635661559145,0.6924497766071551,,,37.25527336000206,
