# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps,target_agent_return
0,1784883053.6610637,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.93748289719224,,4.163143017329276,,6.589506450109184,,1.8440961923915893,,2.595576107967645,3.725290298461914e-09,-0.0027963398679275997,0.03881706899846904,1.4212400279939175,1.1428027153015137,0.0,1.2186715602874756,-0.16793419420719147,0.0012967942748218775,0.7207531332969666,0.7350350618362427,16,0.3743234872817993,4.025960922241211,0.291245698928833,32768,375,16,1,-115.35392,0.1832584205083549,-0.0029483297708793542,5.676838770508766,-115.12026,0.5726582020521164,-0.0015438417074619792,5.671982988715172,,,0.95,0.9,both,0.36172750965471756,0.39815448675752485,1.2817573447950532,0.0,-146.3288,1863.470069367125,-115.35392
1,1784883130.9373624,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.298524238722166,,5.0458437286142725,,7.458139265887439,,2.0998217780143023,,2.908644715556875,1.1641532182693481e-09,-0.009187816103803925,0.15642676132847555,1.4248746074736118,1.0130912065505981,0.9361848831176758,1.0037362575531006,0.03747684508562088,0.003900486044585705,0.646696925163269,0.7194075584411621,96,0.4585835337638855,4.56219482421875,0.16625085473060608,196608,1565,96,6,-121.95964,0.03818049270194024,-0.0032951765067991802,5.614419186115265,-121.631714,0.1519553958438337,-0.003278753103222698,5.647554802894592,,,0.95,0.9,both,0.3025557962530961,0.26350327120588846,1.9398327811731262,0.0,-129.54684,2120.1846780433966,-121.95964
2,1784883207.2504115,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.19733373913914,,4.75979217607528,,6.857755997218192,,2.016452340860269,,2.7722750266548246,0.0,-0.003977461950853467,0.018838546904589748,1.424203459173441,0.9688477516174316,0.9339724183082581,0.9530864953994751,-0.007863237522542477,0.0072999014519155025,0.6248400211334229,0.7063212394714355,176,0.49597683548927307,4.320721626281738,0.05954817309975624,360448,2161,176,11,-118.46963,0.025164666411001235,-0.003860455642279703,5.46804501414299,-144.31374,0.04514481452060863,-0.0037763048872875515,5.56854037642479,,,0.95,0.9,both,0.3181078727888843,0.2387004361748974,1.2590742148197094,0.0,-126.024734,2146.9461170607865,-118.46963
3,1784883282.5895305,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.820068027824163,,4.872680259228218,,7.359597815782763,,2.1659578694961965,,2.936635688703973,0.0,0.0003785304488701513,0.03131088865484344,1.4247450418770313,0.8506724834442139,0.9306175112724304,0.7611497044563293,-0.0058464109897613525,0.006726085674017668,0.7634083032608032,0.690937876701355,256,0.4638448655605316,4.630987644195557,0.04773956909775734,524288,2493,256,16,-138.98897,0.029546705586835743,-0.0038910177783691323,5.381551724672318,-126.73164,0.02514924943097867,-0.003186240828654263,5.428491872549057,,,0.95,0.9,both,0.3042436876456775,0.24371577386875876,1.1465145781141564,0.0,-128.75865,2174.7017225185796,-138.98897
4,1784883357.6855044,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.852321106940508,,4.474273163359612,,7.031966749578714,,1.7101909965276718,,2.6989699768309947,-2.561137080192566e-09,-0.005650925522786565,0.007817535812137066,1.4306658990681171,0.6979748606681824,0.925537645816803,0.5042107701301575,-0.025597287341952324,0.025963345542550087,1.052145004272461,0.6884959936141968,336,0.4876955449581146,4.1535444259643555,0.038286373019218445,688128,2783,336,21,-138.08522,0.040748976438771935,-0.001496928298729472,5.258239975571632,-131.21849,0.02875560712418519,-0.0026129336016310844,5.30509822666645,,,0.95,0.9,both,0.2990928224637172,0.27155017110052604,0.7745135491715365,0.0,-171.01808,2181.7423632688883,-138.08522
5,1784883434.2150114,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.867844113148749,,5.389558683149517,,7.7207567665027454,,2.331052598543465,,3.0172117045149207,-4.423782229423523e-09,9.340691758552566e-05,0.0020376850297907367,1.4316240325570107,0.5612411499023438,0.9104881882667542,0.5054360032081604,0.06925998628139496,0.032980091869831085,1.442762017250061,0.6557018756866455,416,0.3433386981487274,4.8652849197387695,0.045850351452827454,851968,3001,416,26,-140.08966,0.022356242046225817,-0.002548765805840958,5.0852142602205275,-138.79941,0.019814278185367584,-0.001853369828313589,5.147951471805572,,,0.95,0.9,both,0.34307889916505013,0.2916124799225451,0.7605328970179608,0.0,-126.124146,2140.8719375171295,-140.08966
6,1784883510.3064232,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.269233982078731,,4.892849901691079,,7.476064359769225,,1.969662624411285,,2.7321683978661895,-4.190951585769653e-09,-0.0025922180138877593,0.3786161254392937,1.4311816170811653,0.49160218238830566,0.8897807598114014,0.38324296474456787,0.05710967630147934,0.06169771030545235,1.2565875053405762,0.5964576005935669,496,0.5257600545883179,4.467996120452881,0.028424903750419617,1015808,3175,496,31,-130.48238,0.012242270205751993,-0.002951490129635204,4.855784904956818,-130.05025,0.0060689359364914704,-0.0015304529151762836,4.935122188925743,,,0.95,0.9,both,0.3288200241308212,0.35218158962002927,2.432499567869842,0.0,-124.854515,2153.1988557391874,-130.48238
7,1784883585.119167,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.114838644862175,,5.120637817308307,,7.162842611782253,,1.9444292909174692,,2.729604298947379,1.862645149230957e-09,-0.003815257834503427,0.022376711596734822,1.434070285409689,0.5932079553604126,0.8849705457687378,0.7601099014282227,0.004758266732096672,0.25255680084228516,0.8859519958496094,0.5576135516166687,576,0.5454427003860474,4.414470195770264,0.028516622260212898,1179648,3343,576,36,-129.31618,0.010584439532249235,-0.0023266286982106974,4.667326405644417,-122.000565,0.005782212034682743,-0.0020847068088187372,4.711474302411079,,,0.95,0.9,both,0.36743412758540517,0.28666861017720224,0.8194428964200169,0.0,-120.94261,2190.001651591308,-129.31618
8,1784883661.2602396,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.795322355115786,,4.5277522668475285,,6.942289033278939,,1.875671655870974,,2.5710851025069132,1.3969838619232178e-09,-0.00713256663584616,0.002057234740277636,1.4333422034978867,0.5978221297264099,0.8683590888977051,0.5362860560417175,-0.017985811457037926,0.04570282623171806,0.8374938368797302,0.44234320521354675,656,0.48453038930892944,4.1424241065979,0.02206597663462162,1343488,3509,656,41,-124.1355,0.00987905612855684,-0.0024621588352601977,4.450586113333702,-122.625626,0.006217625235149171,-0.002341660839738324,4.493173027038575,,,0.95,0.9,both,0.4264541917031706,0.4191978982460661,1.166047796259254,0.0,-114.913124,2151.79461618572,-124.1355
9,1784883736.5710423,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.999592818785459,,4.768309948965907,,7.030446121236309,,1.9836083716727444,,2.673598790948745,0.0,-0.00934652351133991,0.0025075190496863797,1.429730772972107,0.682029128074646,0.8817778825759888,0.6710335612297058,0.0319976732134819,0.08777312934398651,0.905785083770752,0.3734056353569031,736,0.48691216111183167,4.291111469268799,0.013168142177164555,1507328,3674,736,46,-113.680954,0.012708779226522892,-0.001688694499898702,4.249731290340423,-118.51754,0.0067138927901396524,-0.002572934497584356,4.212918302416801,,,0.95,0.9,both,0.4234402019057935,0.42548367763078404,0.6828501818773385,0.0,-117.37712,2175.518536981928,-113.680954
