# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps,target_agent_return
0,1784820024.476754,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.011623001191765,,4.390798703767359,,6.871741535142064,,1.7984389674384147,,2.5867987787351012,-2.6712257862091064,-0.014153591204376426,0.6605973388068378,1.4194311872124672,32768,517,16,1,-109.193665,0.5535593409091234,-0.0013088833569781856,5.671496489644051,-112.39368,0.40694135427474976,-0.002101428924652282,5.6685238659381865,,,0.95,0.9,both,0.3970051360724851,0.39670530252822417,2.36401737485446,0.0,-113.54143,2087.7927108205668,-109.193665
1,1784820099.7426653,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.024437405314529,,4.281373027712107,,6.857436662889086,,1.694142342545092,,2.4513943406636827,-1.237430214881897,-0.0030087105988059193,0.26014386559836566,1.4278547652065754,196608,2653,96,6,-111.96959,0.21835932144895195,-0.004897237570548896,5.624457466602325,-113.16673,0.1917373909149319,-0.002705706623964943,5.658407917618751,,,0.95,0.9,both,0.4217585638660103,0.26939134906894663,1.8509472391450528,0.0,-110.591354,2176.8152055856176,-111.96959
2,1784820173.9050639,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.457240357995033,,4.954063870944083,,7.28313105693087,,1.9900525094126351,,2.7002049449365586,-0.6499484181404114,-0.01219433793448843,0.16876836796291173,1.4299509935081005,360448,3819,176,11,-117.74056,0.11098247515037656,-0.003812416415894404,5.575271961092949,-121.68727,0.09607484336011111,-0.004312965042481664,5.555917471647263,,,0.95,0.9,both,0.3367967158885051,0.3027228023544458,1.7548252360576915,0.0,-118.96255,2209.206820531822,-117.74056
3,1784820247.3187852,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.185826970264316,,4.933523033745587,,7.210082532605156,,1.8494964793790132,,2.727535815050942,-0.20710042119026184,-0.006427317071938887,0.03478637847001664,1.436207376420498,524288,4266,256,16,-123.46987,0.03371650029439479,-0.0036260380300518593,5.512870585918426,-137.13806,0.03301147733582184,-0.0027862999610078986,5.481923115253449,,,0.95,0.9,both,0.3378849471403422,0.2742189202936823,1.1470220576635644,0.0,-130.47609,2231.735437979835,-123.46987
4,1784820319.681378,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.164940722170286,,4.260012946091592,,7.137717755278572,,1.7782017604913563,,2.698463445995003,-0.23270727694034576,-0.00897274207090959,0.020035147485032212,1.433883648365736,688128,4636,336,21,-124.025795,0.032764355465769765,-0.0037481364415725693,5.411695531010627,-137.73645,0.013886202522553504,-0.002721273222414311,5.381592211127281,,,0.95,0.9,both,0.3460190935213856,0.29280601680927365,1.1195107394126138,0.0,-121.22825,2264.1522407198245,-124.025795
5,1784820392.3354754,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.169861830305308,,4.588841873919591,,7.1229567299596965,,1.8929513092152774,,2.603880947921425,-0.26931071281433105,0.0005858059212187072,0.060659727634629235,1.422774862498045,851968,4913,416,26,-131.85007,0.03372086689341813,-0.002659823675639927,5.235395362973213,-131.26842,0.025556660897564143,-0.0031062654437846505,5.263626664876938,,,0.95,0.9,both,0.35812516204828027,0.32422722595845277,1.3806588905102126,0.0,-125.015785,2255.071083046068,-131.85007
6,1784820466.1113703,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.937637374736369,,4.407263834960759,,6.655713172629476,,1.8346012900583446,,2.5771104833693244,-0.12019409239292145,-0.010081777884579424,0.052018795802723616,1.4162033759057522,1015808,5119,496,31,-147.92818,0.01988566665095277,-0.0019829815973935183,5.017249289155006,-119.00529,0.026127902767620982,-0.0024054267327301205,5.027341714501381,,,0.95,0.9,both,0.402495211089684,0.3520122538216606,1.2466788641164772,0.0,-134.06961,2220.778676172126,-147.92818
7,1784820541.3641293,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.082229098305106,,4.581462026573718,,6.657177928718738,,1.9111264483071864,,2.5684298663400114,0.1331668347120285,-0.006050177937140688,0.013570908398833126,1.4186233766376972,1179648,5315,576,36,-128.6597,0.013039709121221677,-0.0012236699840286747,4.823931568861008,-137.11353,0.0184573958045803,-0.002086707277339883,4.817266455292701,,,0.95,0.9,both,0.4081475945426375,0.35735536750498686,0.7341888756982521,0.0,-121.712265,2177.1959820782627,-128.6597
8,1784820615.4273183,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.804776554461569,,4.210228599142283,,6.557660197839141,,1.7816480420297012,,2.4563691036310047,0.06027132645249367,-0.0001272985537070781,0.08827783956076019,1.415907982736826,1343488,5488,656,41,-126.90155,0.011720346758374944,-0.0012362522800685837,4.600472915172577,-133.10544,0.010942196045652964,-0.0031398692008224316,4.609854805469513,,,0.95,0.9,both,0.38848028047920635,0.36903529069449126,1.5749913326085851,0.0,-120.541725,2212.1653262811083,-126.90155
9,1784820689.6570404,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.4430892607197165,,5.038763212272897,,7.258301541209221,,1.9593490855768323,,2.8653518572682515,-0.013718539848923683,0.0006530582613777369,0.09325259532488417,1.4257900230586529,1507328,5650,736,46,-116.31505,0.00798250024963636,-0.001488378162321169,4.387434551119805,-127.1464,0.008138094587775414,-0.002178862573055085,4.358644187450409,,,0.95,0.9,both,0.4409975097258557,0.4406982967440126,1.9020250621220667,0.0,-118.32677,2207.2018865015043,-116.31505
10,1784820763.3665068,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.092483376618475,,4.383573578670621,,6.971737922169268,,1.727140094852075,,2.612510420382023,-0.0897487998008728,-0.020272854482755065,0.002071222666927497,1.4311780519783497,1671168,5814,816,51,-114.43752,0.006049472872109618,-0.002473053192079533,4.186686229705811,-111.67704,0.0076552876154892145,-0.0030543578293873,4.110325038433075,,,0.95,0.9,both,0.45375416371833854,0.472756048016416,0.806324029261078,0.0,-121.62583,2222.7812264363824,-114.43752
11,1784820838.4639733,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.640150584280491,,4.936749130487442,,7.612892973644193,,2.228983112843707,,2.996400866715703,-0.10492539405822754,-0.0025745323509909213,0.027414725147536956,1.434988871216774,1835008,5979,896,56,-110.08677,0.007211760926293209,-0.0005930203013122081,3.937638337910175,-112.07176,0.0081813488912303,-0.001560543809318915,3.892251667380333,,,0.95,0.9,both,0.481128495554195,0.5596166669563967,1.2859809139657528,0.0,-127.50148,2181.697651506356,-110.08677
12,1784820910.4470987,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.395322588272393,,4.837308958172798,,7.308238006196916,,1.9987898157851305,,2.912225388456136,-0.09279854595661163,-0.004684765008278191,0.006903634315676754,1.4416123516857624,1998848,6143,976,61,-104.65782,0.008268662501359358,-0.0021622733263939155,3.7318044528365135,-106.687645,0.00563863242714433,-0.002815699985512765,3.6690658286213873,,,0.95,0.9,both,0.5321844565188674,0.591926104145562,0.8494971676156984,0.0,-106.762924,2276.0894025567045,-104.65782
13,1784820983.278706,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.070635992800817,,4.510372375138104,,6.694476434029639,,1.8134432280785404,,2.625640860758722,-0.0791153609752655,-0.003941364062484354,0.013374682654102799,1.4452663399279118,2162688,6309,1056,66,-120.69141,0.013094009408087004,-0.001264396145415958,3.507085546851158,-106.556564,0.011475596253876574,-0.0017963066813535989,3.468307889997959,,,0.95,0.9,both,0.4735031596447981,0.5203697491780351,0.8953055830623301,0.0,-122.364296,2249.572618538711,-120.69141
14,1784821056.5771945,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.783926514675841,,4.985261989291757,,7.717514187097549,,2.0966955246403813,,3.0337646920233965,-0.10573334991931915,-0.011574728712730575,0.011930393491638824,1.4550774842500687,2326528,6476,1136,71,-99.54091,0.01173328812001273,-0.0015813827703823335,3.3269605472683907,-104.6306,0.013131840655114501,-0.0018638510751770808,3.2886609017848967,,,0.95,0.9,both,0.49170270556179263,0.5542481748688429,0.7617345079319968,0.0,-98.959946,2235.244022641495,-99.54091
15,1784821130.5356567,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.463690470845904,,4.762927540577948,,7.228115256875753,,1.8270529760047793,,2.712570890202187,-0.11724718660116196,0.0002591909433249384,0.0027263227639195975,1.4507064521312714,2490368,6641,1216,76,-110.65322,0.011725119751645252,-6.46131273242645e-05,3.187374421954155,-95.18486,0.009666236037446652,-0.0006869138975162059,3.071014067530632,,,0.95,0.9,both,0.5284321403215181,0.6220135109337944,0.9524367024633831,0.0,-109.80382,2215.297478285818,-110.65322
