# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
10,1784820770.4186053,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.213083524780814,,6.34806356113404,,9.876018634065986,,1.248009592294693,,4.204678492387757,,2.1333413077518344,,4.946477901190519,,8.375,0.040247030556201935,0.0009938787552528083,0.0005588095273196814,1.4793096110224724,0.8433245420455933,0.8661969900131226,0.8421383500099182,-0.06156022101640701,0.11364789307117462,1.1091816425323486,0.37319785356521606,816,0.3945142328739166,5.668083667755127,0.03032528981566429,1671168,3839,816,51,-92.77359,0.056860563228838146,-0.001559619020554237,4.07613376379013,-120.710655,0.014624224876752124,-0.0029119050443114245,4.0779463857412335,,,0.95,0.9,none,0.7528308893565121,0.6978136691599099,0.6197814447864154,0.0,-111.01317,2195.0900880757617,-92.77359
11,1784820844.882811,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.234922034665942,,6.057870363350958,,9.985456930939108,,1.210718907910632,,4.039365011500195,,2.2467146796989255,,4.956879363504413,,8.25,0.0708639845252037,0.0007860974874347448,0.02365909074433148,1.4931583777070045,0.5658887028694153,0.8623392581939697,0.4030643701553345,-0.11996237933635712,0.17560379207134247,1.1947674751281738,0.3457503914833069,896,0.3838323950767517,5.622741222381592,0.020286770537495613,1835008,4252,896,56,-88.03523,0.07062060760799796,-0.0010665186287951655,3.9489789977669716,-111.92369,0.009391856519505382,-0.001574180056923069,3.8843156948685644,,,0.95,0.9,none,0.8290333241855693,0.6810438445881052,0.91030320797657,0.0,-119.79747,2200.2511038560606,-88.03523
12,1784820917.1667068,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.6015569544397295,,5.652739831013605,,9.361411614576355,,0.7877481640753103,,3.8427397123305127,,1.728274972178042,,4.873099911143072,,7.3125,0.032481223344802856,0.00026747630909085274,0.0007511597923439695,1.5014650486409664,0.5766595602035522,0.8265258073806763,0.451337605714798,-0.0011839340440928936,0.08574283123016357,0.9311830401420593,0.301726758480072,976,0.3657810688018799,5.145008563995361,0.020030414685606956,1998848,4662,976,61,-81.52217,0.05560397310182452,-0.0008733041046070867,3.8633340314030646,-109.21794,0.01454120757698547,-0.0015335684714955279,3.680431617796421,,,0.95,0.9,none,0.8524311137702432,0.7142038875290104,0.3540788221428498,0.0,-81.70243,2266.617681540941,-81.52217
13,1784820992.4838307,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.702787847258151,,5.9932945955661125,,9.690607554279268,,0.9917454532114789,,4.10045726923272,,2.1478747026994824,,4.864950137329288,,7.9375,0.016444552689790726,-0.008765930542722344,0.07029848269303329,1.5012275762856007,0.6352428793907166,0.8365374803543091,0.5225312113761902,0.04868515580892563,0.041632577776908875,0.864980161190033,0.29007402062416077,1056,0.438466876745224,5.428652286529541,0.025146720930933952,2162688,5057,1056,66,-76.797134,0.06158751742914319,-0.0005345794314052909,3.7707615599036215,-107.91122,0.012994521239306778,-0.0014425014691369143,3.4472040340304373,,,0.95,0.9,none,0.8372791019986309,0.7566114731767273,1.3152958202232339,0.0,-120.43971,2175.337736805859,-76.797134
14,1784821066.6198862,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.965232981368899,,5.802998270839453,,9.690975311212242,,0.9903361278120428,,4.010352491459344,,1.9529570061713457,,4.7479172786697745,,7.75,0.03919348120689392,-0.010144694708287716,0.03485432904562913,1.5028378181159496,0.7794292569160461,0.7997514605522156,0.6497998833656311,0.006187091115862131,0.10353033244609833,0.938218355178833,0.2763858735561371,1136,0.46672606468200684,5.363846302032471,0.03427084535360336,2326528,5413,1136,71,-80.12685,0.053200041968375446,-0.0006422293896321208,3.6941353008151054,-116.30898,0.018777756311465055,-0.0010579248679277952,3.324456770718098,,,0.95,0.9,none,0.9344855373836207,0.7670514579553087,0.9272491940945742,0.0,-101.913246,2209.9894530992665,-80.12685
15,1784821142.5860982,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.035643021576107,,6.3485503271222115,,9.7638147524558,,1.105909388512373,,4.043338725809008,,2.191931687120814,,4.900055400677957,,8.4375,0.03564397245645523,-0.004012950346805155,0.009742427719174884,1.5053574591875076,0.5933107137680054,0.8646615147590637,0.4600120186805725,-0.03754198178648949,0.08934333175420761,0.897514820098877,0.25544473528862,1216,0.42496442794799805,5.6033430099487305,0.035698894411325455,2490368,5716,1216,76,-84.16405,0.04248008748982102,-0.00038179134135134517,3.5957875549793243,-99.71709,0.024642700020922347,-0.001841209472331684,3.161133259534836,,,0.95,0.9,none,0.9651553033837477,0.705430440928527,0.6719702597672983,0.0,-118.03473,2156.7485418189267,-84.16405
16,1784821216.6720197,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.474597800755873,,5.3805155623704195,,9.443118521478027,,0.9470484084449708,,3.8299101344309747,,1.9864423382095993,,4.787557806819677,,7.5625,0.044218990951776505,-0.004646902496460825,0.002404225651844172,1.508360095322132,0.5571516752243042,0.8724676370620728,0.42501020431518555,0.05463843047618866,0.11422613263130188,1.0480926036834717,0.22773493826389313,1296,0.3751753866672516,5.176461696624756,0.023625098168849945,2654208,5960,1296,81,-81.575584,0.0474728825269267,-0.0018117864834493957,3.5147346660494803,-103.54706,0.019485881208674984,-0.00011977713002124802,2.962807539105415,,,0.95,0.9,none,0.8494439214890029,0.8486081702394495,0.5935756894325779,0.0,-99.17504,2211.4854701332933,-81.575584
17,1784821289.8656433,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.351164720952511,,5.607382031157613,,9.22321530804038,,0.8260442221653648,,3.7332804864272475,,1.72118836408481,,4.81034793285653,,7.375,0.026360327377915382,-0.0033754375181160867,0.004494065047765616,1.5090789906680584,0.4860686957836151,0.9991304874420166,0.2984388768672943,-0.09278511255979538,0.06714881211519241,0.948209285736084,0.2263447642326355,1376,0.398038387298584,5.0809526443481445,0.015749480575323105,2818048,6212,1376,86,-89.728294,0.04656396342907101,-0.000808685488300398,3.4156201854348183,-86.736374,0.006713570535066537,-0.0009175377512292471,2.769139915704727,,,0.95,0.9,none,0.8991336090725188,0.9581427880420079,0.7783128643974295,0.0,-138.42972,2238.446348557994,-89.728294
18,1784821363.5003865,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.673849129118025,,6.555826963856816,,9.949763878714293,,1.20718299865257,,4.157982091419399,,2.283687843097141,,4.990055819042027,,8.625,0.044374894350767136,-0.0007233299547806382,0.02754716524214018,1.5099726170301437,0.6297382116317749,0.9260645508766174,0.4447333514690399,-0.09678425639867783,0.12526202201843262,0.9630596041679382,0.21716412901878357,1456,0.3137435019016266,5.805418491363525,0.013790984638035297,2981888,6457,1456,91,-84.04996,0.033129926514811815,-0.0010495365037058945,3.2915255427360535,-84.21693,0.011038108463981188,-0.001742382456723135,2.5211952716112136,,,0.95,0.9,none,0.9095883277683013,1.0064582819609995,0.8724924391735973,0.0,-101.04717,2225.038995079561,-84.04996
19,1784821438.2257032,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.4900268274359405,,5.433669124729931,,9.448693212121725,,0.8422051244124305,,3.850747062359005,,1.8504405536223203,,4.7304410533979535,,7.75,0.07174214720726013,0.0005081298295408487,0.035784606443485245,1.5166198462247849,0.6699002981185913,0.9134978652000427,0.5087827444076538,0.1596270054578781,0.18290510773658752,0.8842244148254395,0.21305465698242188,1536,0.4079223871231079,5.174528121948242,0.016331352293491364,3145728,6692,1536,96,-78.17286,0.03331596981734038,-0.0017455143090046477,3.2070552736520765,-101.05139,0.012095567319192924,-0.0009094217442907393,2.3628525897860526,,,0.95,0.9,none,0.941048189166233,0.9129068062662856,0.9814262411101969,0.0,-155.03679,2192.562251902101,-78.17286
