# _tick,_time,plr_track_area,track_area,plr_track_perimeter,track_perimeter,plr_track_amplitude,track_amplitude,plr_track_convex,track_convex,plr_track_notches,track_notches,plr_track_complexity,track_complexity,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:CarRacingF1-Germany-v0,test_returns:CarRacingF1-Germany-v0,target_agent_return,target_solved_rate,sps
0,1784084542.376902,,64665.87004068098,,2277.123156309472,,0.2012302633356136,,0.5169634417021054,,0.5190076030412164,,0.18694471764695678,0.0,0.0,0.0,0.0,2000,10,16,1,-12.169551,0.20180321531370282,-0.005215387755015399,-0.10798229416832328,0,0.0,0.0,0.0,,,0.8420164896215185,0,0,0.0,-159.85896,-159.8589630126953,0.0,31.287696718437164
1,1784084683.4484394,,66011.9544379609,,2296.1981777672518,,0.20131438505306673,,0.5169634580845639,,0.5190076030412164,,0.18697964877219975,0.0,0.0,0.0,0.0,12000,67,96,6,-10.959722,0.11144462111406028,-0.019799655841779895,-0.1701945113018155,0,0.0,0.0,0.0,,,0.8510870136344482,0,0,,,,,70.8859644249831
2,1784084875.9888577,,65774.20103368282,,2292.924312004629,,0.20125812719660144,,0.516963445881068,,0.5190076030412164,,0.18695628772731154,0.0,0.0,0.0,0.0,22000,197,176,11,-10.01,0.24613960087299347,-0.014291774970843107,-0.2489037155173719,0,0.0,0.0,0.0,,,1.3492328681325398,0,0,,,,,51.937151322396545
3,1784085041.754666,,68471.13573789343,,2340.689340673347,,0.20088927049983193,,0.5169634535124266,,0.5190076030412164,,0.1868031377095384,0.0,0.0,0.0,0.0,32000,316,256,16,-10.020001,0.29835337633267045,-0.026199000028100272,-0.3434787271544337,0,0.0,0.0,0.0,,,1.1915167791254857,0,0,,,,,60.326073250212616
4,1784085194.2332165,,65332.2456490624,,2286.656503080223,,0.20098082558158487,,0.5169634467199228,,0.5190076030412164,,0.18684115057785913,0.0,0.0,0.0,0.0,42000,380,336,21,-9.114521,0.5003138585016131,-0.027621960931355716,-0.4781402964144945,0,0.0,0.0,0.0,,,2.039236802323907,0,0,,,,,65.5830194776222
5,1784085379.312814,,66295.03738494671,,2301.151430152089,,0.20119510594743528,,0.5169634425609021,,0.5190076030412164,,0.186930120257302,0.0,0.0,0.0,0.0,52000,450,416,26,-8.199393,0.53587899915874,-0.02553635634103557,-0.6733556147664785,0,0.0,0.0,0.0,,,1.8504711008531363,0,0,0.6666666666666666,19.310331,19.310331344604492,0.6666666666666666,54.030792084245775
6,1784085524.2707696,,65278.67502283979,,2290.389588585342,,0.1991927222895882,,0.516963452478503,,0.5190076030412164,,0.1860987203667197,0.0,0.0,0.0,0.0,62000,498,496,31,-8.009304,0.7326303105801344,-0.027427131033618934,-0.7695177979767323,0,0.0,0.0,0.0,,,2.46878790709971,0,0,,,,,68.98552203088833
7,1784085665.2066116,,65468.304640969895,,2292.9302312930217,,0.19959673104480383,,0.5169634412178907,,0.5190076030412164,,0.1862664650071189,0.0,0.0,0.0,0.0,72000,532,576,36,-4.327946,0.746573980897665,-0.0229363691432809,-0.8766177408397198,0,0.0,0.0,0.0,,,2.81372382599701,0,0,,,,,70.95426324318989
8,1784085800.3053086,,66961.43985688308,,2308.2256806806718,,0.20309045875910023,,0.5169634349747674,,0.5190076030412164,,0.1877170807558348,0.0,0.0,0.0,0.0,82000,553,656,41,3.3393338,0.7567866928875446,-0.026546659995801747,-0.9674650821834803,0,0.0,0.0,0.0,,,3.4019376996217616,0,0,,,,,74.01995995306207
9,1784085935.0327175,,65287.6289391099,,2286.750762868641,,0.2005623157417734,,0.5169634474830597,,0.5190076030412164,,0.18666738289943868,0.0,0.0,0.0,0.0,92000,572,736,46,6.3452744,0.6982867084443569,-0.021685864305254654,-0.94114332459867,0,0.0,0.0,0.0,,,3.916726402421237,0,0,,,,,74.22397800937175
10,1784086096.1967094,,65502.37585793919,,2290.0510798437713,,0.20066464372293916,,0.5169634411800681,,0.5190076030412164,,0.18670986883902352,0.0,0.0,0.0,0.0,102000,577,816,51,16.574444,0.34153830725699663,-0.014929657147149555,-0.9771153256297112,0,0.0,0.0,0.0,,,3.3964513783543797,0,0,1.0,323.77148,323.771484375,1.0,62.04858170131977
11,1784086232.3971767,,66130.54560725136,,2301.5933778885706,,0.20046591523570448,,0.5169634435338958,,0.5190076030412164,,0.1866273560331365,0.0,0.0,0.0,0.0,112000,585,896,56,53.598633,0.2058365000411868,-0.02305256575345993,-1.0114721413701773,0,0.0,0.0,0.0,,,3.2887253744658542,0,0,,,,,73.42119428252074
12,1784086363.1044798,,65443.2960879528,,2286.9322304000525,,0.2014411699709859,,0.5169634489422107,,0.5190076030412164,,0.18703228881280987,0.0,0.0,0.0,0.0,122000,592,976,61,81.01112,0.0871697582770139,-0.02274371417297516,-1.0733388140797615,0,0.0,0.0,0.0,,,2.5155985739251374,0,0,,,,,76.50679931093006
13,1784086493.0407612,,66037.8170451781,,2290.7618425748856,,0.20320707213902683,,0.5169634450844107,,0.5190076030412164,,0.1877655013624021,0.0,0.0,0.0,0.0,132000,598,1056,66,70.418884,0.059811238781549037,-0.02928248896932928,-1.112784892320633,0,0.0,0.0,0.0,,,2.276753574433315,0,0,,,,,76.96079277391529
14,1784086620.8337328,,67697.0279445578,,2331.6699418003855,,0.1999109394038242,,0.516963451626079,,0.5190076030412164,,0.1863969283105732,0.0,0.0,0.0,0.0,142000,600,1136,71,74.01995,0.029205322149209678,-0.02942855323999538,-1.144760638475418,0,0.0,0.0,0.0,,,3.2577736530505286,0,0,,,,,78.2515683047312
15,1784086782.0484903,,66266.5895083116,,2308.5266005084336,,0.19980614963367244,,0.5169634502241911,,0.5190076030412164,,0.18635341868025185,0.0,0.0,0.0,0.0,152000,601,1216,76,73.64497,0.024046980601269752,-0.03478499101140642,-1.189827524125576,0,0.0,0.0,0.0,,,2.726174137653239,0,0,1.0,365.64673,365.646728515625,1.0,62.02908458254294
16,1784086909.8696918,,66342.20168387462,,2306.7279949166445,,0.20004606676279674,,0.5169634389140649,,0.5190076030412164,,0.18645303146951886,0.0,0.0,0.0,0.0,162000,605,1296,81,70.90804,0.04172103712335229,-0.037826809941634565,-1.2218026034533978,0,0.0,0.0,0.0,,,2.3758388358330675,0,0,,,,,78.23424422058596
17,1784087038.3174014,,65127.89860462097,,2285.1026842827982,,0.20022243979909277,,0.5169634471909028,,0.5190076030412164,,0.1865262642823337,0.0,0.0,0.0,0.0,172000,610,1376,86,64.861176,0.03481751028448343,-0.028968730781343766,-1.270169209688902,0,0.0,0.0,0.0,,,3.009414300805289,0,0,,,,,77.85269156010962
18,1784087166.0287905,,66059.1194031912,,2300.038159016925,,0.2006520696239064,,0.5169634466539473,,0.5190076030412164,,0.1867046490913999,0.0,0.0,0.0,0.0,182000,613,1456,91,69.937225,0.01767425541765988,-0.024544467313717178,-1.3419668935239315,0,0.0,0.0,0.0,,,4.240167456194982,0,0,,,,,78.30158604913807
19,1784087295.2285762,,65088.08801597354,,2282.757637928616,,0.20041820311155367,,0.5169634455522457,,0.5190076030412164,,0.1866075460726533,0.0,0.0,0.0,0.0,192000,615,1536,96,87.501785,0.041284911858383566,-0.025931623134965776,-1.3927041850984097,0,0.0,0.0,0.0,,,3.2042077690750688,0,0,,,,,77.39951223468178
20,1784087457.4785156,,65953.50874205587,,2296.882460605445,,0.2006588525465909,,0.5169634458343599,,0.5190076030412164,,0.1867074652382377,0.0,0.0,0.0,0.0,202000,619,1616,101,60.51935,0.05625182809308171,-0.01972630254476826,-1.4606605432927608,0,0.0,0.0,0.0,,,4.362025596000218,0,0,1.0,332.57355,332.57354736328125,1.0,61.63330361640551
21,1784087583.5937161,,64604.14636350047,,2275.0595607242913,,0.2004428946167939,,0.5169634468977181,,0.5190076030412164,,0.18661779840490797,0.0,0.0,0.0,0.0,212000,621,1696,106,50.42179,0.04722564946860075,-0.025267820805311203,-1.4524357207119465,0,0.0,0.0,0.0,,,4.146509584379952,0,0,,,,,79.29257342479944
22,1784087712.1847267,,64890.032361670856,,2286.991625291334,,0.1983795289781014,,0.5169634403855432,,0.5190076030412164,,0.18576107513900467,0.0,0.0,0.0,0.0,222000,626,1776,111,33.592678,0.04396265326067805,-0.026176076105912216,-1.4639975652098656,0,0.0,0.0,0.0,,,4.255666884877868,0,0,,,,,77.76591003585688
23,1784087840.9695415,,65177.884581489096,,2285.137795889782,,0.20035405925485197,,0.5169634452577141,,0.5190076030412164,,0.18658091309429373,0.0,0.0,0.0,0.0,232000,630,1856,116,85.03056,0.021697874821256846,-0.0258951049472671,-1.5258132703602314,0,0.0,0.0,0.0,,,5.046528893620066,0,0,,,,,77.64890842261156
24,1784087967.5986652,,65175.73020770677,,2284.6187119510305,,0.20057432468994002,,0.5169634405294807,,0.5190076030412164,,0.18667236769704537,0.0,0.0,0.0,0.0,242000,631,1936,121,102.87473,0.018722999084275216,-0.024154571662847957,-1.5883733443915844,0,0.0,0.0,0.0,,,5.097586824284805,0,0,,,,,78.97077076910382
25,1784088153.8819034,,65050.853701920365,,2281.0699756715503,,0.2008836258479607,,0.5169634456226692,,0.5190076030412164,,0.1868007924377968,0.0,0.0,0.0,0.0,252000,640,2016,126,118.14744,0.038175555411726236,-0.005660369371980778,-1.6469763480126858,0,0.0,0.0,0.0,,,5.251190117462429,0,0,1.0,347.04367,347.0436706542969,1.0,53.68170499888904
26,1784088300.4074638,,64767.27343902619,,2276.6349436090495,,0.20086714395325658,,0.5169634407098681,,0.5190076030412164,,0.18679394807230537,0.0,0.0,0.0,0.0,262000,654,2096,131,39.72361,0.08488823962397873,-0.034693682348006405,-1.627370823174715,0,0.0,0.0,0.0,,,3.8869956143158233,0,0,,,,,68.24748971321058
27,1784088435.9327035,,66249.25724170754,,2310.5993276700456,,0.1984285844753685,,0.5169634399889169,,0.5190076030412164,,0.18578144320052148,0.0,0.0,0.0,0.0,272000,671,2176,136,71.93679,0.07568927458487451,-0.019489832973704324,-1.6920008696615696,0,0.0,0.0,0.0,,,4.347144114270258,0,0,,,,,73.7869673014508
28,1784088566.0101151,,65795.28418669719,,2300.84128360571,,0.1988077848135327,,0.5169634335608146,,0.5190076030412164,,0.18593888820176743,0.0,0.0,0.0,0.0,282000,679,2256,141,153.62613,0.03152709547430277,-0.03113687342556659,-1.720618773251772,0,0.0,0.0,0.0,,,4.6813576388174365,0,0,,,,,76.87729515730733
29,1784088695.7332923,,67018.3885582676,,2318.8565479008503,,0.1999645141526412,,0.5169634368621511,,0.5190076030412164,,0.1864191699193612,0.0,0.0,0.0,0.0,292000,685,2336,146,113.11597,0.01472254833788611,-0.02957103641165304,-1.7488184198737144,0,0.0,0.0,0.0,,,5.732580279842747,0,0,,,,,77.08723186062636
30,1784088862.1342485,,65409.96200957234,,2293.210491210049,,0.19893773330808373,,0.5169634422612632,,0.5190076030412164,,0.18599284534719776,0.0,0.0,0.0,0.0,302000,694,2416,151,116.28644,0.028931571345310658,-0.02302963921101764,-1.7522141598165035,0,0.0,0.0,0.0,,,3.91875834635547,0,0,1.0,439.32883,439.3288269042969,1.0,60.09582512400789
31,1784088992.3226676,,65623.04019285142,,2283.7389113724935,,0.20282418416713419,,0.5169634626027129,,0.5190076030412164,,0.18760652745124226,0.0,0.0,0.0,0.0,312000,700,2496,156,158.3872,0.01724820618983358,-0.03284063756655087,-1.8048555925488472,0,0.0,0.0,0.0,,,4.2765472930352955,0,0,,,,,76.81171422374167
32,1784089120.3517013,,67629.31307667826,,2326.386665416537,,0.2007457123766971,,0.5169634532036336,,0.5190076030412164,,0.18674353144187159,0.0,0.0,0.0,0.0,322000,704,2576,161,98.157814,0.015715663641458377,-0.030707542442542035,-1.8349995575845242,0,0.0,0.0,0.0,,,4.906970820415646,0,0,,,,,78.1072927100448
33,1784089248.759101,,67009.83645935624,,2316.7952091117504,,0.20036697912713275,,0.5169634565638167,,0.5190076030412164,,0.18658627976506947,0.0,0.0,0.0,0.0,332000,707,2656,166,116.47246,0.01814555999590084,-0.02310891377419466,-1.857566487044096,0,0.0,0.0,0.0,,,4.537606293746654,0,0,,,,,77.87712045562208
34,1784089376.8485236,,66064.58603081534,,2301.4138021611916,,0.200021620829777,,0.5169634529580786,,0.5190076030412164,,0.186442884178241,0.0,0.0,0.0,0.0,342000,709,2736,171,168.45518,0.014103861467447132,-0.03624748354195617,-1.8720272295176983,0,0.0,0.0,0.0,,,5.759197900495902,0,0,,,,,78.07045854103744
35,1784089536.1776972,,68280.52527185131,,2340.5601962150777,,0.1999493784377862,,0.516963452294029,,0.5190076030412164,,0.18641288856486699,0.0,0.0,0.0,0.0,352000,709,2816,176,168.45518,0.016541115357540548,-0.03189344527618232,-1.8741288781166077,0,0.0,0.0,0.0,,,6.518666999274524,0,0,1.0,340.37622,340.376220703125,1.0,62.763154495037654
36,1784089662.5801804,,66859.46907483079,,2311.8555917416415,,0.20101077365942896,,0.5169634532600726,,0.5190076030412164,,0.1868535865099671,0.0,0.0,0.0,0.0,362000,709,2896,181,168.45518,0.008481197743094526,-0.029245037760119885,-1.8761221580207348,0,0.0,0.0,0.0,,,6.571778812983844,0,0,,,,,79.11235501385595
37,1784089788.1502805,,66891.093137086,,2308.819344460006,,0.20224723518846774,,0.5169634525999748,,0.5190076030412164,,0.18736697272549885,0.0,0.0,0.0,0.0,372000,710,2976,186,168.61044,0.020992414385546,-0.023009241398540325,-1.8869165852665901,0,0.0,0.0,0.0,,,3.7324801557574157,0,0,,,,,79.63679889677283
