# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784212811.2208686,,4.455955326557159,,3.52802692912519,,6.612094766460359,,1.5212919865734875,,3.681736709550023,0.0,0.0,0.0,0.0,32768,40,16,1,-111.33191,0.13006154210306703,-0.002509354778158013,5.680084711313247,0,0.0,0.0,0.0,,,0.3815521165650723,0,0,0.0,-125.7419,-125.74189758300781,0.0,1247.0838254570535
1,1784212912.3728566,,3.913178686052561,,3.942993525415659,,7.615620456635952,,1.588214545045048,,2.9118554713204503,0.0,0.0,0.0,0.0,196608,205,96,6,-113.559654,0.06049005647655577,-0.003397150598175358,5.636165615916252,0,0.0,0.0,0.0,,,0.3699960418436481,0,0,0.0,-136.28094,-136.28094482421875,0.0,1619.7409545593753
2,1784212989.5816348,,6.4165848307311535,,3.123781392350793,,6.516336891800165,,1.327403038740158,,3.128617941401899,0.0,0.0,0.0,0.0,360448,314,176,11,-114.134155,0.06833761290181428,-0.0011178624990861863,5.5928804010152815,0,0.0,0.0,0.0,,,0.3844746404235124,0,0,0.0,-126.158646,-126.15864562988281,0.0,2122.0386040468516
3,1784213067.5695288,,5.062983171083033,,4.577193057630211,,7.491255160421133,,1.6153334139380604,,3.544799070805311,0.0,0.0,0.0,0.0,524288,418,256,16,-114.590965,0.050914032151922584,-0.0023442100893589666,5.499921303987503,0,0.0,0.0,0.0,,,0.41490985534463115,0,0,0.0,-113.23281,-113.2328109741211,0.0,2100.8385575819157
4,1784213140.7418504,,4.50926331221126,,3.9314981340430677,,6.910734511911869,,1.6719305119477212,,3.2757071731612086,0.0,0.0,0.0,0.0,688128,510,336,21,-111.32689,0.056017425796017054,-0.001945662300568074,5.334843876957893,0,0.0,0.0,0.0,,,0.4096980027991764,0,0,0.0,-130.48282,-130.48281860351562,0.0,2239.0984256197294
5,1784213208.2052298,,3.5665725683793426,,3.6910386313684285,,5.937022198922932,,1.8626823695376515,,3.471545195207,0.0,0.0,0.0,0.0,851968,572,416,26,-109.52739,0.04326030990341678,-0.0017936752818059176,5.189368352293968,0,0.0,0.0,0.0,,,0.4590961116259328,0,0,0.0,-124.12797,-124.12796783447266,0.0,2428.577068065009
6,1784213278.4991598,,4.9298683609231375,,2.9449978910270147,,6.7731874249875546,,1.4501008282240946,,3.0238330084830523,0.0,0.0,0.0,0.0,1015808,619,496,31,-101.84247,0.025594837142853065,-0.0007447568801580928,4.993397682905197,0,0.0,0.0,0.0,,,0.47278710377273325,0,0,0.0,-119.61803,-119.61802673339844,0.0,2330.7838155066192
7,1784213346.5571144,,5.617959210649133,,3.808293037582189,,7.049231790006161,,1.322478540823795,,2.6653299666941166,0.0,0.0,0.0,0.0,1179648,665,576,36,-103.172226,0.03043553893221542,-0.0012358097184915096,4.851559066772461,0,0.0,0.0,0.0,,,0.4949634714195291,0,0,0.0,-111.42198,-111.42198181152344,0.0,2407.360409041962
8,1784213414.9353735,,4.97336263069883,,4.104926879517734,,7.318523284047842,,1.6428979043848813,,3.157577086240053,0.0,0.0,0.0,0.0,1343488,707,656,41,-97.89406,0.023837226582691072,-0.0024646509031299503,4.692372462153434,0,0.0,0.0,0.0,,,0.5420650566114594,0,0,0.0,-122.814896,-122.81489562988281,0.0,2396.084150539616
9,1784213479.9281616,,4.765901465434581,,4.1906083771027625,,6.662465129047632,,1.7663604771951213,,2.824724051170051,0.0,0.0,0.0,0.0,1507328,751,736,46,-100.91403,0.03476248488295823,-0.0029689633287489415,4.53306478857994,0,0.0,0.0,0.0,,,0.5285620083373335,0,0,0.0,-111.15437,-111.15437316894531,0.0,2520.8938416489586
