# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,target_agent_return,target_solved_rate,sps
13,1784090305.7501764,,4.465102390386164,,4.251233686227351,,6.453455640003085,,2.042993342038244,,3.224424412474036,,1.752637975368998,,3.3245353400707245,,6.125,0.0,0.0,0.0,0.0,2162688,1022,1056,66,-90.82532,0.042434557573869824,-0.001503006120037753,3.6978943794965744,0,0.0,0.0,0.0,,,0.7443390635608861,0,0,0.0,-105.17383,-105.173828125,0.0,1642.8634909198784
14,1784090406.9017513,,5.504389703273773,,4.103617693763226,,7.454982874915004,,1.8680672044865787,,3.260660031810403,,1.7669711899361573,,3.8434957806020975,,6.0625,0.0,0.0,0.0,0.0,2326528,1082,1136,71,-92.2709,0.05310406055068597,-0.0015879717364441603,3.5851999282836915,0,0.0,0.0,0.0,,,0.6681690886785587,0,0,0.0,-94.62816,-94.62815856933594,0.0,1619.7473821512883
15,1784090507.3777049,,6.33947832044214,,4.229081538505852,,6.939144236966968,,1.82517847744748,,3.332436354830861,,1.9845994193747174,,2.8814075025729835,,6.0625,0.0,0.0,0.0,0.0,2490368,1148,1216,76,-91.351685,0.06519082910381258,-0.0007368276914348826,3.4612859204411506,0,0.0,0.0,0.0,,,0.7532487359126792,0,0,0.0,-87.89935,-87.89935302734375,0.0,1630.639125662296
16,1784090609.5818903,,3.7215357343666255,,3.7411979120224714,,7.070124167948961,,1.3669582788133994,,3.232942521572113,,1.6861627732941997,,3.60223276540637,,5.5625,0.0,0.0,0.0,0.0,2654208,1210,1296,81,-89.54077,0.047736198920756576,-0.000980587801313959,3.368329693377018,0,0.0,0.0,0.0,,,0.7416288155270807,0,0,0.0,-91.57573,-91.57572937011719,0.0,1603.0652264614678
17,1784090710.2722602,,6.499958513304591,,4.184235300635919,,6.835643704980612,,1.5189683099742979,,2.897082471754402,,1.323841751436703,,2.881376857403666,,5.125,0.0,0.0,0.0,0.0,2818048,1275,1376,86,-94.01898,0.050331869802903384,-0.0013443188086966983,3.298961731791496,0,0.0,0.0,0.0,,,0.7523058648423955,0,0,0.0,-90.16153,-90.16152954101562,0.0,1627.1663203979926
18,1784090814.1838572,,5.903689432889223,,5.2083929348737,,7.024093242362142,,1.5515530831180513,,3.382840324193239,,2.038888319802936,,3.5293136397376657,,5.1875,0.0,0.0,0.0,0.0,2981888,1346,1456,91,-89.77929,0.056325273541733625,-0.0012451651244191452,3.168960393965244,0,0.0,0.0,0.0,,,0.8343473454310619,0,0,0.0,-93.148094,-93.1480941772461,0.0,1576.7250881041305
19,1784090920.147048,,7.079606205224991,,2.842681010537831,,6.268879659473896,,2.2310356551315635,,3.4450205974280834,,1.888250046176836,,3.5243182629346848,,6.3125,0.0,0.0,0.0,0.0,3145728,1416,1536,96,-89.841064,0.051662316732108596,-0.0015360956836957484,3.0560178861021994,0,0.0,0.0,0.0,,,0.8241313339663483,0,0,0.0,-97.82107,-97.8210678100586,0.0,1546.1972769479282
20,1784091022.4486146,,6.047632752452046,,4.434547079727054,,6.650713793933392,,1.4274936213041656,,2.886533630080521,,2.001415342092514,,3.481890531256795,,5.125,0.0,0.0,0.0,0.0,3309568,1486,1616,101,-94.33476,0.0680967724416405,-0.0007662610005354509,2.97515774667263,0,0.0,0.0,0.0,,,0.8821870566090222,0,0,0.0,-91.92365,-91.92365264892578,0.0,1601.5394877328456
21,1784091131.4777014,,4.722061199354357,,3.2812781841494143,,6.3807816710323095,,1.448729439289309,,2.740931522566825,,1.3369395612971857,,3.139153611846268,,5.9375,0.0,0.0,0.0,0.0,3473408,1559,1696,106,-90.30462,0.07694149138405919,-0.0006532093597343191,2.8808692947030066,0,0.0,0.0,0.0,,,0.8865257049935138,0,0,0.0,-92.603836,-92.60383605957031,0.0,1502.7181024178583
22,1784091236.0971148,,5.518928752280772,,3.800921165384352,,6.995956040918827,,1.3424818916246295,,3.127106153406203,,2.1864022105000913,,3.76424269285053,,5.625,0.0,0.0,0.0,0.0,3637248,1632,1776,111,-89.96327,0.059728244529105724,-0.0004808450234122574,2.7928401798009874,0,0.0,0.0,0.0,,,0.8947517429481877,0,0,0.0,-88.09434,-88.0943374633789,0.0,1566.0580067253038
