# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,target_agent_return,target_solved_rate,sps
13,1784365360.1567965,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,2162688,1886,2942,66,-101.73625,0.009145332383923233,-0.00305643243555096,3.5824700593948364,0,0.0,0.0,0.0,,,0.7282062499793289,0,0,0.0,-102.41233,-102.4123306274414,0.0,5005.10822203865
14,1784365393.589694,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,2326528,1968,3104,71,-95.472404,0.0059243965719360855,-0.0016710741896531545,3.3447123274207113,0,0.0,0.0,0.0,,,0.9005426658459413,0,0,0.0,-100.01411,-100.01410675048828,0.0,4900.559726400515
15,1784365424.465917,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,2490368,2048,3264,76,-98.89494,0.006983058994228486,-0.0022837973054265605,3.0762512043118475,0,0.0,0.0,0.0,,,0.8812176788157184,0,0,0.0,-114.28684,-114.2868423461914,0.0,5306.34687387742
16,1784365457.1050866,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,2654208,2131,3427,81,-85.33505,0.007376919072703459,-0.0009516930294921622,2.853182923793793,0,0.0,0.0,0.0,,,1.0340436219515743,0,0,0.0,-82.891975,-82.89197540283203,0.0,5019.7381740939
17,1784365489.5838683,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,2818048,2213,3589,86,-91.673065,0.008145866694394498,-0.0014558005321305245,2.555982008576393,0,0.0,0.0,0.0,,,1.0053200481999773,0,0,0.0,-79.87429,-79.8742904663086,0.0,5044.523120388598
18,1784365525.5100317,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,2981888,2294,3750,91,-88.56488,0.007399796598474495,-0.0005414595652837306,2.257681925594807,0,0.0,0.0,0.0,,,1.1585461626675353,0,0,0.0,-88.78569,-88.78569030761719,0.0,4560.464957278095
19,1784365561.7775397,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,3145728,2376,3912,96,-77.95605,0.00986739261134062,-0.0007942388765513897,2.0370995506644247,0,0.0,0.0,0.0,,,1.124933510787328,0,0,0.0,-70.07084,-70.07083892822266,0.0,4517.54225848421
20,1784365598.676504,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,3309568,2457,4073,101,-74.35957,0.007233749063743744,-0.001065879620728083,1.7791792541742324,0,0.0,0.0,0.0,,,1.2815934470822785,0,0,0.0,-66.086044,-66.08604431152344,0.0,4440.233180419961
21,1784365634.7526307,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,3473408,2537,4233,106,-68.02528,0.006899455604434479,-0.001154256323206937,1.5141618587076664,0,0.0,0.0,0.0,,,1.3565085219754374,0,0,0.0,-83.78419,-83.78418731689453,0.0,4541.510518969177
22,1784365671.6000063,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,3637248,2619,4395,111,-72.69392,0.015196985242073423,-0.0006492154221632518,1.302844250947237,0,0.0,0.0,0.0,,,1.1772257151105303,0,0,0.0,-56.12893,-56.128929138183594,0.0,4446.449676613366
23,1784365708.935143,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,3801088,2704,4560,116,-82.60888,0.01341637501027435,-0.00029222332959761844,1.1296406865119935,0,0.0,0.0,0.0,,,1.4079845089192462,0,0,0.0,-66.57024,-66.57023620605469,0.0,4388.359456273408
24,1784365746.6846628,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,3964928,2791,4727,121,-61.587852,0.009448715654434637,-0.00015142346419452223,0.9373776614665985,0,0.0,0.0,0.0,,,1.2968215391390003,0,0,0.0,-39.795544,-39.7955436706543,0.0,4340.185365988676
25,1784365782.8288212,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,4128768,2877,4893,126,-82.54647,0.014086955823586322,-0.0004346461631939746,0.7761340465396642,0,0.0,0.0,0.0,,,1.2505650955569767,0,0,0.0,-63.13336,-63.13336181640625,0.0,4532.963422013175
26,1784365819.280822,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,4292608,2959,5055,131,-73.118645,0.009511583740822971,-0.000558486126101343,0.617279264330864,0,0.0,0.0,0.0,,,1.499769223530133,0,0,0.0,-68.40841,-68.40840911865234,0.0,4494.6742078638545
27,1784365857.677542,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,4456448,3040,5216,136,-54.913383,0.013207046152092516,0.00021026405593147502,0.45146679896861314,0,0.0,0.0,0.0,,,1.536685631146549,0,0,0.0,-46.916405,-46.916404724121094,0.0,4267.030673938936
28,1784365894.6066775,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,4620288,3124,5380,141,-53.52608,0.007469521356688347,-0.00010635933649609797,0.28985821139067414,0,0.0,0.0,0.0,,,1.3445242958693864,0,0,0.0,-53.324005,-53.324005126953125,0.0,4436.604952303647
29,1784365930.8071327,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,4784128,3205,5541,146,-55.78955,0.009291446453426033,0.0008247982899774797,0.16209700629115104,0,0.0,0.0,0.0,,,1.8812040922446074,0,0,0.0,-46.86865,-46.868648529052734,0.0,4525.906615259726
30,1784365967.4688544,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,4947968,3286,5702,151,-51.79183,0.006909841780725401,-4.676780954468995e-05,-0.04193244650959969,0,0.0,0.0,0.0,,,1.7458202613479181,0,0,0.0,-67.61374,-67.61373901367188,0.0,4468.965559057854
31,1784366005.3169131,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,5111808,3371,5867,156,-71.27095,0.010307223186828196,-0.0007281285375938751,-0.16714653065428137,0,0.0,0.0,0.0,,,1.9355565913691428,0,0,0.0,-34.09738,-34.097381591796875,0.0,4328.88789317281
32,1784366041.0762303,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,5275648,3452,6028,161,-34.168953,0.006528284362866543,0.0004508208156039473,-0.34871724657714365,0,0.0,0.0,0.0,,,1.908582247407007,0,0,0.0,-77.26747,-77.26747131347656,0.0,4581.742477080075
33,1784366076.1001823,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,5439488,3535,6191,166,-76.880875,0.01396653650153894,0.0013493039994500577,-0.42189096882939336,0,0.0,0.0,0.0,,,2.043234669591811,0,0,0.0,-66.017746,-66.01774597167969,0.0,4677.941408628444
34,1784366112.2264721,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,5603328,3627,6363,171,-61.204933,0.01743054299731739,0.0009316825158748543,-0.47167206946760415,0,0.0,0.0,0.0,,,1.777725303923032,0,0,0.0,-60.317738,-60.3177375793457,0.0,4535.201909042028
35,1784366149.4309964,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,5767168,3714,6530,176,-65.906586,0.011535645663389004,0.0008493983768858016,-0.5778734974563122,0,0.0,0.0,0.0,,,1.9243217445283272,0,0,0.0,-56.93877,-56.93877029418945,0.0,4403.766393507332
36,1784366185.9536123,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,5931008,3798,6694,181,-42.29536,0.005374625508557074,0.0002047951551503502,-0.717295378819108,0,0.0,0.0,0.0,,,2.42458523135442,0,0,0.0,-53.101875,-53.10187530517578,0.0,4485.986184992646
37,1784366223.4475505,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,6094848,3881,6857,186,-44.185944,0.0055938184363185425,0.0016588923645031173,-0.8514024455100297,0,0.0,0.0,0.0,,,2.368826784553562,0,0,0.0,-31.788916,-31.788915634155273,0.0,4369.773045488487
38,1784366262.0361533,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,6258688,3963,7019,191,-33.751595,0.005727715117973276,0.00205201975259115,-1.036541038751602,0,0.0,0.0,0.0,,,2.4673916804226512,0,0,0.0,-29.854792,-29.85479164123535,0.0,4245.817379524344
39,1784366298.3399913,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,6422528,4045,7181,196,-54.089436,0.008282754360698164,0.00024461829161737114,-1.176265424489975,0,0.0,0.0,0.0,,,1.7282553337429338,0,0,0.0,-35.395,-35.39500045776367,0.0,4513.019204802371
40,1784366335.6590984,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,6586368,4130,7346,201,-45.48721,0.010377866704948247,0.0014090726821450517,-1.300484261661768,0,0.0,0.0,0.0,,,2.399424021784033,0,0,0.0,-28.247242,-28.247241973876953,0.0,4390.246547841526
41,1784366372.0197444,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,6750208,4215,7511,206,-53.33968,0.016253123839851467,0.003317451078328304,-1.4148080430924892,0,0.0,0.0,0.0,,,2.2887133629859404,0,0,0.0,-50.78608,-50.78607940673828,0.0,4505.974817068403
42,1784366407.6821222,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,6914048,4297,7673,211,-32.158226,0.008532176972948946,0.00077968614641577,-1.4594158373773098,0,0.0,0.0,0.0,,,2.1075580854043325,0,0,0.0,-32.10587,-32.10586929321289,0.0,4594.1951162173145
43,1784366444.1723256,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,7077888,4381,7837,216,-21.469267,0.005729370706831105,0.0011949038162129,-1.5301337622106075,0,0.0,0.0,0.0,,,2.1860339077225053,0,0,0.0,-23.174997,-23.174997329711914,0.0,4489.969902700981
44,1784366480.6752164,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,7241728,4461,7997,221,-27.181479,0.0045405025375657715,0.001992045048973523,-1.639891190826893,0,0.0,0.0,0.0,,,2.8948563364656987,0,0,0.0,-48.242073,-48.24207305908203,0.0,4488.416932817488
45,1784366516.2551157,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,7405568,4545,8161,226,-50.942997,0.016478124845889397,0.0011010168760549276,-1.6752644166350366,0,0.0,0.0,0.0,,,2.3763939691566,0,0,0.0,-35.375874,-35.37587356567383,0.0,4604.84233463786
46,1784366551.0855772,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,7569408,4646,8342,231,-41.932842,0.014838955440791324,0.00034308230242459105,-1.641977172344923,0,0.0,0.0,0.0,,,2.1776311370020403,0,0,0.0,-69.82417,-69.82417297363281,0.0,4703.930133432364
47,1784366586.187904,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,7733248,4734,8510,236,-24.141283,0.0074230229627573864,-6.0348049009917305e-05,-1.6781747758388519,0,0.0,0.0,0.0,,,2.0944140944515164,0,0,0.0,-33.112976,-33.11297607421875,0.0,4667.494998815877
48,1784366622.4756575,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,7897088,4822,8678,241,-19.351164,0.00601451682014158,0.0014788015287194867,-1.7069793038070202,0,0.0,0.0,0.0,,,2.7265291773899007,0,0,0.0,-34.472847,-34.47284698486328,0.0,4515.022414548077
49,1784366659.0849757,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,8060928,4907,8843,246,-13.969974,0.008069044657167979,0.0008716539421584457,-1.825140431523323,0,0.0,0.0,0.0,,,2.4964449471290955,0,0,0.0,-37.365356,-37.3653564453125,0.0,4475.3623374027575
50,1784366694.5205925,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,8224768,4990,9006,251,-50.888924,0.009949220923590473,0.00065915267332457,-1.916119034588337,0,0.0,0.0,0.0,,,2.454754197525225,0,0,0.0,-32.007168,-32.00716781616211,0.0,4623.597737125852
51,1784366731.4390311,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,8388608,5076,9172,256,-31.914465,0.011544184807280543,0.0006563992268638685,-1.9727681875228882,0,0.0,0.0,0.0,,,2.481536269546615,0,0,0.0,-21.377155,-21.377155303955078,0.0,4437.888615020524
52,1784366767.6478045,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,8552448,5159,9335,261,-30.78529,0.0055181669842568224,0.0006183168407005724,-2.0380965545773506,0,0.0,0.0,0.0,,,2.936989398973928,0,0,0.0,-18.737627,-18.737627029418945,0.0,4524.874096609538
53,1784366802.6459646,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,8716288,5240,9496,266,-33.26455,0.009309465053956956,0.0019332593212311622,-2.1231245055794714,0,0.0,0.0,0.0,,,2.6965589877646052,0,0,0.0,-32.645195,-32.64519500732422,0.0,4681.386894763919
54,1784366836.2373135,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,8880128,5327,9663,271,-28.404074,0.006972812821913976,0.0007069292667438276,-2.152503228187561,0,0.0,0.0,0.0,,,2.877416073195108,0,0,0.0,-72.01398,-72.01397705078125,0.0,4877.440622283339
55,1784366872.988215,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,9043968,5408,9824,276,-34.23815,0.00893544007849414,0.0026195912891125773,-2.2482786148786547,0,0.0,0.0,0.0,,,2.8590048276513103,0,0,0.0,-15.303655,-15.303654670715332,0.0,4458.127693635858
56,1784366908.9106798,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,9207808,5494,9990,281,-24.09984,0.007965250474808273,0.001106129848631099,-2.3143954455852507,0,0.0,0.0,0.0,,,2.6172242477754226,0,0,0.0,-15.564237,-15.564236640930176,0.0,4560.934182442321
57,1784366945.0337968,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,9371648,5574,10150,286,-15.952395,0.005953171786677558,0.000817044400901068,-2.372449393570423,0,0.0,0.0,0.0,,,2.9835784416291813,0,0,0.0,-13.592077,-13.592077255249023,0.0,4535.5991215974045
58,1784366981.0963442,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,9535488,5657,10313,291,-17.411686,0.004221071190113434,0.003560216646292247,-2.3973476767539976,0,0.0,0.0,0.0,,,3.781858242973261,0,0,0.0,-19.797192,-19.797191619873047,0.0,4543.216032708114
59,1784367016.5638766,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,9699328,5739,10475,296,-22.833857,0.004798826740443474,0.0023801408337021713,-2.468645818531513,0,0.0,0.0,0.0,,,3.050453738196098,0,0,0.0,-25.8082,-25.80820083618164,0.0,4619.436740823592
60,1784367055.2304766,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,9863168,5819,10635,301,-27.317078,0.008706523646833376,0.0030882069455401505,-2.6071046218276024,0,0.0,0.0,0.0,,,2.829728762601799,0,0,0.0,-12.304426,-12.304426193237305,0.0,4237.259696291631
61,1784367094.5935183,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,10027008,5899,10795,306,-27.838984,0.004988486322690733,0.0015487862474401481,-2.698679207265377,0,0.0,0.0,0.0,,,3.1434826606582584,0,0,0.0,-12.37478,-12.37477970123291,0.0,4162.272082245886
62,1784367131.9259984,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,10190848,5979,10955,311,-21.70398,0.004558338973583887,0.0018256866205774713,-2.780094322562218,0,0.0,0.0,0.0,,,3.1202744478454982,0,0,0.0,-10.708781,-10.708781242370605,0.0,4388.669343621481
63,1784367168.6304567,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,10354688,6061,11117,316,-48.6392,0.010194282711017877,0.0012678908446105198,-2.820110210776329,0,0.0,0.0,0.0,,,3.2673563329617865,0,0,0.0,-18.19968,-18.19968032836914,0.0,4463.764915360159
64,1784367203.1771996,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,10518528,6144,11280,321,-40.877403,0.009696534981776495,0.0023342175991274416,-2.905273862183094,0,0.0,0.0,0.0,,,3.234937758750764,0,0,0.0,-50.923283,-50.923282623291016,0.0,4742.55337744051
65,1784367238.638901,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,10682368,6229,11445,326,-20.044308,0.007151293879724107,0.0030543753353413196,-2.917924624681473,0,0.0,0.0,0.0,,,4.059802494894327,0,0,0.0,-42.175552,-42.17555236816406,0.0,4620.198854525331
66,1784367275.9567392,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,10846208,6315,11611,331,-62.57602,0.013621798451640642,0.0014988596536568365,-2.930771732330322,0,0.0,0.0,0.0,,,3.273531107455631,0,0,0.0,-17.37413,-17.374130249023438,0.0,4390.394308446667
67,1784367309.7667654,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,11010048,6402,11778,336,-27.465199,0.008733887516427785,0.0021251783211482687,-2.9531461611390113,0,0.0,0.0,0.0,,,3.2836311888304826,0,0,0.0,-71.99375,-71.9937515258789,0.0,4845.894717618653
68,1784367347.063957,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,11173888,6490,11946,341,-41.20593,0.010836952665704303,0.0010123274609213696,-2.9829689219594,0,0.0,0.0,0.0,,,3.500330303022875,0,0,0.0,-11.942228,-11.942228317260742,0.0,4392.827783273408
69,1784367382.8556166,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,11337728,6576,12112,346,-38.836662,0.010507891912129707,0.002503115469153272,-3.024174430966377,0,0.0,0.0,0.0,,,3.7250290357676468,0,0,0.0,-31.426609,-31.42660903930664,0.0,4577.602937422733
70,1784367417.421778,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,11501568,6659,12275,351,-30.1716,0.008465217078628485,0.0038280948676401748,-3.050023964047432,0,0.0,0.0,0.0,,,3.9181213858918382,0,0,0.0,-52.0543,-52.054298400878906,0.0,4739.891493864064
71,1784367453.5985184,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,11665408,6740,12436,356,-17.028675,0.006858876884507481,0.002731444087839918,-3.070021040737629,0,0.0,0.0,0.0,,,3.1100947962699896,0,0,0.0,-26.667408,-26.667407989501953,0.0,4528.880451143252
72,1784367488.862974,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,11829248,6820,12596,361,-29.17803,0.006401347764767707,0.002899408237863099,-3.1123517215251923,0,0.0,0.0,0.0,,,3.6804615317684366,0,0,0.0,-29.930258,-29.93025779724121,0.0,4646.043605234569
73,1784367524.8806384,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,11993088,6900,12756,366,-12.683484,0.0036049956062925046,0.0019448416584054939,-3.1729911521077154,0,0.0,0.0,0.0,,,4.01109873740373,0,0,0.0,-23.792591,-23.792591094970703,0.0,4548.874003942334
74,1784367560.49212,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,12156928,6980,12916,371,-12.047852,0.0034827110117475967,0.003338444692781195,-3.281730721890926,0,0.0,0.0,0.0,,,4.477312129463122,0,0,0.0,-23.888123,-23.88812255859375,0.0,4600.763513785366
