# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784820025.3529224,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.135656410362571,,6.12409836135339,,9.672185012605041,,1.024551862210501,,4.044258870213525,,2.0862410007975996,,4.830955141223967,,8.25,-1.9681721925735474,-0.004590902011841536,0.9196150489151478,1.4180320277810097,32768,153,16,1,-118.92959,0.13054975010454656,-0.003325788512302097,5.675376290082932,-103.84471,0.27380059082061053,-0.0038011266289686317,5.674431267380714,,,0.95,0.9,none,0.36224925788217666,0.36038692869255107,2.786476444295684,0.0,-123.40027,1997.1079978304215,-118.92959
1,1784820098.0503645,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.740321419201791,,5.79131946247071,,9.514553801855072,,0.738337242466514,,3.8389928829856217,,1.8872016477398574,,4.781996342935599,,7.9375,-1.3007653951644897,-0.00042217335430905223,0.5371239788364619,1.414849929511547,196608,1030,96,6,-120.56288,0.057622468238696455,-0.004240893445967231,5.553494718670845,-112.74387,0.10250838221982121,-0.003568185072799679,5.63033918440342,,,0.95,0.9,none,0.3514612798548054,0.37909339211660026,2.5905881479712045,0.0,-107.08535,2253.725086649108,-120.56288
2,1784820169.6737273,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.365593256778084,,5.433833824237809,,9.436233054846525,,0.8029404193803202,,3.632833964191377,,1.7110346068511717,,4.699834107421339,,7.375,-0.3577135503292084,0.002446416998282075,0.005430103716207668,1.420102696865797,360448,1602,176,11,-141.95361,0.047016068815719333,-0.002821117486746516,5.5230542659759525,-137.21773,0.016579048585845156,-0.0026069884544995146,5.516495299339295,,,0.95,0.9,none,0.35079061479933155,0.35191601675297945,0.9984047440590046,0.0,-121.09535,2287.5193560047987,-141.95361
3,1784820242.2599037,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.513945490587503,,5.279388189315796,,9.317282918840647,,0.6868909822660498,,3.747815971611999,,1.765018240083009,,4.7542298077605665,,7.25,-0.2931874394416809,-0.0009096266003325582,0.018855029193218797,1.4174213595688343,524288,1816,256,16,-126.03392,0.018828817724715917,-0.003528169861237984,5.342633125185967,-111.96633,0.0408523520687595,-0.0036914506868924945,5.342655128240585,,,0.95,0.9,none,0.35654677797861306,0.39766104111963474,0.8113251425893627,0.0,-130.60022,2257.1798928897656,-126.03392
4,1784820316.1827104,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.994433777406812,,6.386348343105055,,9.791308373212814,,1.0298044295050204,,3.99674938688986,,2.1040386934182607,,4.840540541568771,,8.0,-0.18826226890087128,-0.001804499188438058,0.08143302501412109,1.4222555682063103,688128,2145,336,21,-125.29655,0.021988465631147848,-0.0026838812504138333,5.1540692538023,-104.61589,0.0605335351312533,-0.003067726336303167,5.221378120779991,,,0.95,0.9,none,0.38411105635849524,0.45583508998038635,1.3523011480148455,0.0,-137.81534,2216.368088738787,-125.29655
5,1784820389.8094914,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.570111282286234,,5.392511468322482,,9.671083267778158,,0.7594697008607909,,3.7689802329987288,,1.797289774985984,,4.718765733065084,,7.625,-0.12916290760040283,-0.001947666343767196,0.006325370122794993,1.4298998937010765,851968,2435,416,26,-130.40128,0.019187390146544202,-0.002886779937398387,4.967241305112839,-118.43424,0.031583417288493364,-0.0028279491110879463,5.1198062121868135,,,0.95,0.9,none,0.42756122753141723,0.4394211556368928,0.7811643623751507,0.0,-126.005905,2225.276049390987,-130.40128
6,1784820462.4459932,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.366842422634363,,6.350210988894105,,9.866263842210174,,1.082838014466688,,4.168233344564214,,1.9865767587907612,,4.871618878911249,,8.4375,0.23861700296401978,-0.00021067250054329634,0.08050500135868788,1.4368039332330227,1015808,2690,496,31,-113.27466,0.0174221336026676,-0.0034330204827710984,4.735665801167488,-124.84397,0.018873818614520133,-0.0038390623827581293,4.9669494271278385,,,0.95,0.9,none,0.4986574468559807,0.4783610082129324,1.2083985972069486,0.0,-112.46831,2255.615557794083,-113.27466
7,1784820532.056044,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.616992196650244,,5.737107005901635,,9.437137455679476,,0.9234722617547959,,3.784003296168521,,1.8287899987772107,,4.68662471184507,,7.625,0.15538980066776276,-0.0036942886072210968,0.1524062514072284,1.442115943878889,1179648,2883,576,36,-108.66437,0.019454615510767326,-0.0021619284991174935,4.476476019620895,-124.01241,0.00993764245940838,-0.002286382655438501,4.75682373046875,,,0.95,0.9,none,0.5441939237115431,0.5163196898491742,1.7017752738010459,0.0,-101.859024,2353.684081636198,-108.66437
8,1784820602.565417,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.125268880277872,,5.164364665746689,,9.108401447534561,,0.6097513288259506,,3.6090810047462583,,1.5516810677945614,,4.623758478090167,,7.0625,0.109345443546772,0.0014207269123289734,0.042693032504757866,1.437365811318159,1343488,3060,656,41,-127.052895,0.02090320080751553,-0.0020373438579554203,4.25589397251606,-119.34003,0.010664239127072506,-0.001797802471264731,4.54696249961853,,,0.95,0.9,none,0.606950667912788,0.4868080871733567,1.3687913770857956,0.0,-101.417404,2323.66075136948,-127.052895
9,1784820674.1229603,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.918376477289712,,5.918826845474541,,9.831151314079762,,1.0767977885552682,,3.920866809785366,,2.0685322554782033,,4.907569659437286,,8.0,-0.044391289353370667,-0.00800067320233211,0.1296561984345317,1.4433804973959923,1507328,3235,736,46,-102.091736,0.015298166661523283,-0.0017830745433457195,3.993000903725624,-111.66624,0.01653383913799189,-0.001970623421948403,4.39554300904274,,,0.95,0.9,none,0.6687785935608057,0.5541154718950863,1.4901054785211445,0.0,-114.85425,2289.6252657982286,-102.091736
