# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,sps,target_agent_return
0,1784616019.0601645,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,2.5401832628995185,,2.787554370239377,,4.932751179090701,,0.020983833121135834,,1.4560843867948279,,0.005847493186593058,,1.3108826605603099,,3.0625,-3.8428707122802734,0.0003379240515641868,0.7015382032841444,1.422068104147911,32768,130,16,1,-156.51706,0.230596018768847,-0.003014420781983063,5.6665048658847805,-161.72635,0.07846795660443603,-0.0028023961291182785,5.67599222958088,,,0.95,0.88,0.3617841843699138,0.34244325950598176,2.4793064224462116,0.0,-112.57638,3479.6531589264437,-156.51706
1,1784616076.7584257,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,5.2844924768432975,,5.038210873492062,,7.087884841661435,,1.1852007317356765,,2.5912471499759704,,1.1646318277344108,,2.5553667342755944,,4.9375,-1.1273462772369385,0.00036591332172974944,0.3163835455197841,1.4220301657915115,196608,997,96,6,-121.01589,0.15982777778990567,-0.0032948848776868543,5.660779428482056,-148.69766,0.06967699993401766,-0.0010804830642882734,5.674790182709694,,,0.95,0.88,0.311031412845724,0.23500383843173794,1.9785794092790336,0.0,-136.00565,2839.5987412640047,-121.01589
2,1784616136.6498194,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.5404785573191475,,4.314360799617134,,6.510118639213033,,0.8036993367422838,,1.98937095887959,,0.7128261066973209,,2.3954703099443577,,4.6875,-0.06176670640707016,-0.009498046594671905,0.3917212428059429,1.427634585648775,360448,1434,176,11,-152.04225,0.03476751279085875,-0.004297157666587737,5.6103496015071865,-135.26193,0.06418258033227175,-0.003108378077013185,5.635795134305954,,,0.95,0.88,0.2697512705734784,0.25180351858652894,2.2505063118806548,0.0,-135.21466,2735.619926418503,-152.04225
3,1784616196.6547947,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.6167523560579866,,3.9324935246258974,,5.902867619297467,,0.5200008617248386,,2.050675342499744,,0.39572963467799127,,1.841957358585205,,4.0,0.35767507553100586,0.00014543166616931558,0.02021501981653273,1.4308553896844387,524288,1687,256,16,-125.351944,0.018489316263003274,-0.003631202988617588,5.4486710041761395,-121.848595,0.026503304409561678,-0.0033592273168324025,5.471660777926445,,,0.95,0.88,0.28499275784981776,0.24833407022604473,0.7701668394122869,0.0,-122.60364,2730.440180385781,-125.351944
4,1784616258.3128192,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.035302982199937,,4.239122632192448,,6.494823575019836,,0.5672357311850647,,2.0420368471031907,,0.5745852629188448,,2.1062672925181687,,4.375,0.16477392613887787,-0.004406123072840273,0.03565558372065425,1.4301834292709827,688128,2121,336,21,-108.90694,0.02602203020360321,-0.003781250446627382,5.330770871043205,-113.24107,0.02536579856532626,-0.0029241737458505666,5.283129546046257,,,0.95,0.88,0.29416179896182026,0.30021865709001766,1.0827348028804549,0.0,-115.22267,2657.2371695435063,-108.90694
5,1784616319.5559282,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.838545360136777,,3.7415774386026897,,5.834474353003316,,0.59512844029814,,1.8424257119186223,,0.6552904159761965,,1.9105992057156982,,3.75,0.14363962411880493,-0.0009411517530679703,0.03965442386106588,1.4363220930099487,851968,2638,416,26,-111.577774,0.04422070606378838,-0.0024217412181315014,5.166681832075119,-112.937355,0.02447688872925937,-0.003106955280236434,5.1436637252569195,,,0.95,0.88,0.348310747858945,0.3292857474238501,0.9842879342974642,0.0,-118.85378,2675.2397750132627,-111.577774
6,1784616382.4232738,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.888019623700529,,4.838786841370165,,6.894571115262806,,1.0402694381773472,,2.3244560481980443,,1.0318549631047063,,2.236532494542189,,4.625,0.16747203469276428,-0.005258504010271281,0.03560074826236814,1.4388616606593132,1015808,3101,496,31,-123.06177,0.027744236530270427,-0.0023888362018624322,5.000308692455292,-110.08999,0.02389155647251755,-0.003057476475078147,4.975431397557259,,,0.95,0.88,0.3834361464109534,0.3829560647916198,0.7414024340934844,0.0,-133.15353,2606.122565162542,-123.06177
7,1784616443.2804565,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,2.960111395455897,,2.8440838052192703,,4.996478277258575,,0.020209470763802535,,1.6949528021505103,,0.029548316495493054,,1.5950805102474988,,3.0625,-0.10453029721975327,-0.0006288521690294147,0.14712577150203288,1.4493160657584667,1179648,3382,576,36,-136.4354,0.017508048861054705,-0.0015953668284055312,4.76326205432415,-110.07112,0.048896298324689266,-0.002172156231245026,4.764546495676041,,,0.95,0.88,0.43542137769922934,0.44307935466463055,1.0392138065694962,0.0,-122.22617,2692.204814885887,-136.4354
8,1784616502.5836277,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.294371780008078,,4.394240526948124,,6.092309714993462,,0.5026413250016049,,1.862650360679254,,0.6262407079775585,,1.8995573793072253,,4.0625,0.19660744071006775,-0.00730374181875959,0.4108357852092013,1.4447559118270874,1343488,3581,656,41,-130.98961,0.009921455581206828,-0.0018878445596783421,4.544337922334671,-109.91467,0.021285493980394678,-0.001685119979083538,4.558805593848229,,,0.95,0.88,0.4612699199904238,0.4670782311790056,2.4966302329037537,0.0,-98.55782,2762.7549872667046,-130.98961
9,1784616562.250608,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.731668026361149,,4.430469613871537,,6.457348390482366,,0.7000929303467274,,1.9347830810584128,,0.7407901002297876,,2.261982644384261,,4.4375,0.1008104532957077,-0.0012566564255394042,0.051646323467139155,1.4536131396889687,1507328,3765,736,46,-123.35805,0.008708669707993976,-0.0018436485101119616,4.3062079638242725,-111.82064,0.016187019093194976,-0.0023983999737538396,4.330485332012176,,,0.95,0.88,0.5053949255328998,0.5336208362802805,0.7074991370251316,0.0,-123.22715,2745.9054014472363,-123.35805
