# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
10,1784820749.3514013,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.725306883454323,,6.583853579126298,,9.997541430406272,,1.399104758631438,,4.383441159152426,,2.3161413119523786,,4.992350343614817,,8.8125,0.08945843577384949,-0.004254591971402988,0.030464075243799016,1.4351628310978413,1671168,4049,816,51,-94.530266,0.015965803380822763,-0.002491535466106143,4.119631972908974,-103.53397,0.00809756693051895,-0.0023772234868374652,3.766514427959919,,,0.95,0.9,none,0.6644548347562702,0.7103037141352745,0.7644411570079399,0.0,-98.77189,2308.5619499653035,-94.530266
11,1784820820.9070044,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.885080322041176,,5.900701438076794,,9.748273566365242,,0.8932687379419804,,3.8936255564913154,,1.9350059928838164,,4.9042343605542555,,7.9375,0.0732882022857666,-0.009934141242410988,0.011883513594511896,1.4405066147446632,1835008,4229,896,56,-94.231155,0.02507170069147833,-0.0018527922729845159,3.9298664525151255,-92.93971,0.007907753391191364,-0.001917273060826119,3.55584923774004,,,0.95,0.9,none,0.6549854370762831,0.7840513799581851,0.8169120637740765,0.0,-99.153336,2289.688517879582,-94.231155
12,1784820894.4851007,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.688729990273714,,6.510518379509449,,9.992138139903545,,1.2998540778644383,,4.301430082821753,,2.171485488070175,,4.95164584973827,,8.5,0.03689652681350708,-0.005610233667539433,0.01041830176836811,1.4339346513152122,1998848,4425,976,61,-104.186386,0.025801066064741463,-0.002153612037363928,3.791483573615551,-110.68263,0.01072954281407874,-0.001272325155150611,3.336446316540241,,,0.95,0.9,none,0.6987300450638776,0.8072147730558745,0.8260923110710751,0.0,-118.39192,2226.7504147506415,-104.186386
13,1784820966.2194004,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.802447028458118,,5.6483233496546745,,9.507766977651045,,0.7516063830116764,,3.851793071022257,,1.8091492121384363,,4.8282180009409785,,7.5,0.1049213856458664,0.0008538902038708329,0.0530995610752143,1.4397517144680023,2162688,4617,1056,66,-98.19882,0.023049908090615644,-0.0017612065319553949,3.642558699846268,-110.93534,0.010615110129583627,-0.0016085428345832043,3.097513644397259,,,0.95,0.9,none,0.776363772467079,0.8791035643980527,1.2749886152061374,0.0,-98.09104,2283.9832557605387,-98.19882
14,1784821038.1535227,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.242883360944688,,6.331107058329508,,9.838462139625335,,1.2439511537086219,,4.20318576018326,,2.1771645876578987,,4.912708183983341,,8.5625,-0.06966661661863327,0.0006094551063142717,0.08660557545954362,1.446609027683735,2326528,4841,1136,71,-101.09031,0.03392692619236186,-0.00160627749064588,3.5033624693751335,-98.38173,0.0141354669816792,-0.0023504416094510816,2.849878966808319,,,0.95,0.9,none,0.7902760710966816,0.9110237042599294,1.322558357087218,0.0,-114.38313,2277.6559463162384,-101.09031
15,1784821110.1404762,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.597064349800348,,6.760641395114362,,9.946043773554265,,1.2571720713749528,,4.354540116153657,,2.34270042181015,,4.905553377815522,,8.6875,0.04720427095890045,-0.0023722215846646577,0.01676334359217435,1.4463297575712204,2490368,5026,1216,76,-88.893486,0.018915031768847256,-0.0014039889705600218,3.3619851529598237,-84.15069,0.014087630592985078,-0.0013334535047761164,2.6134632363915444,,,0.95,0.9,none,0.8685174953934082,0.9855414360761688,0.8176997581678851,0.0,-100.64699,2275.95251426453,-88.893486
16,1784821180.9371984,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.575095168373082,,5.234215716831386,,9.285477829165757,,0.692686412949115,,3.80690676253289,,1.6710186759009957,,4.730717147613177,,7.4375,0.12060277909040451,-0.0035703331232070923,0.034022951644146815,1.4500231519341469,2654208,5230,1296,81,-95.61313,0.02540183162782341,-0.001796133635798469,3.1859825611114503,-71.98936,0.008675706322537734,-0.0013782272566459143,2.352424721419811,,,0.95,0.9,none,0.8794059505136929,1.0803737261287683,0.7490240064958607,0.0,-114.8511,2314.230565835035,-95.61313
17,1784821253.2883117,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.576769091188908,,5.306427395902574,,9.343039367347956,,0.6906506933737546,,3.780652577523142,,1.5801674202084541,,4.626010753680021,,7.5625,0.05562420189380646,-0.0018540240125730634,0.022179714869707823,1.455445770174265,2818048,5440,1376,86,-76.44778,0.03943572780117392,-0.001834249035891844,3.023088128864765,-76.46991,0.006510233355220408,-0.0011882692677318118,2.1216856732964517,,,0.95,0.9,none,0.8944739260479182,1.1378926516462635,0.9958118212387512,0.0,-107.229515,2264.524534699977,-76.44778
18,1784821325.294036,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.373497231863439,,5.262802106211893,,9.34257440106012,,0.6599783557467163,,3.6657789330929518,,1.6152515018475242,,4.666539412923157,,7.1875,0.003983672708272934,-0.0032848325790837407,0.03686177940107882,1.4543508924543858,2981888,5639,1456,91,-79.253,0.030129515181761234,-0.0005756915321398992,2.868611142039299,-70.56611,0.00729388743347954,-0.0008431386071606539,1.9158925637602806,,,0.95,0.9,none,0.9895290000970178,1.1148490305527425,0.6248133473636566,0.0,-105.52971,2275.3625973176486,-79.253
19,1784821396.8587615,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.780753418803215,,6.8182487282902,,9.954792629927397,,1.3765118485316634,,4.4127382868900895,,2.321690278593451,,4.952661460265517,,8.875,0.014157953672111034,-0.005152203986654058,0.012019090325338766,1.456105049699545,3145728,5829,1536,96,-88.46862,0.02101847471203655,-0.0017393388450727798,2.7202397570014,-69.11681,0.006589066606829874,-0.0004582967892929446,1.6752283118665219,,,0.95,0.9,none,0.9432891586052878,1.2889732104076603,0.4388564647871338,0.0,-103.71997,2289.395798293033,-88.46862
