# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,sps,target_agent_return
0,1784522853.268909,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.194256618618965,,4.0395584907673765,,6.545108489692211,,0.6801120806485415,,2.3304765046050306,,0.6388157220208086,,1.9329286778811365,,4.3125,-1.7693471908569336,-0.0018629352562129498,0.25963834999129176,1.4185482785105705,32768,225,16,1,-109.443504,0.14706004392355682,-0.001829758851090446,5.670626172423363,-106.67838,0.37056745402514935,-0.0019658503908431156,5.676701232790947,,,0.95,0.88,0.37186818790029447,0.38987752238170154,1.066097924629023,0.0,-104.536514,2436.093314412273,-109.443504
1,1784522916.7032247,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,2.799076111987233,,2.842580871656537,,4.730447713052854,,0.0824738260707818,,1.3385519166477025,,0.06947676930576563,,1.425092079094611,,3.0625,-0.1830795705318451,0.0009643021621741354,0.08520487358327955,1.4177196361124516,196608,1022,96,6,-131.2008,0.07767573825549334,-0.004680234931583982,5.672336292266846,-132.43486,0.049230001505929974,-0.003740555608237628,5.622787690162658,,,0.95,0.88,0.3122829065154593,0.23395071587053037,1.4934305847852416,0.0,-127.85109,2582.8281342067935,-131.2008
2,1784522981.9346716,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.15491982945241,,4.289094619220123,,5.736731458979193,,0.4528142967756139,,2.3454604021972045,,0.34200158796738833,,2.096458679108764,,4.0625,-0.2324920892715454,-0.0009803675347939134,0.07098089356441051,1.4200317189097404,360448,1392,176,11,-140.43184,0.021236938366200775,-0.005167671320668888,5.550856065750122,-124.83225,0.0671606593998149,-0.0026010611123638227,5.578091815114021,,,0.95,0.88,0.2818148374151387,0.2548405959028428,0.8264748969098078,0.0,-163.12114,2511.6712837199707,-140.43184
3,1784523044.8058324,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.7733720941469073,,3.766854891437106,,5.860439214156941,,0.39547198999207467,,2.2632039590971544,,0.40753602000768296,,2.1322949733003043,,3.8125,0.17522180080413818,-0.00307104189414531,0.004491679770580959,1.4178760163486004,524288,1580,256,16,-135.76532,0.011786804025177844,-0.003931611827283632,5.308551004528999,-129.73566,0.013311880678520538,-0.004920897891861386,5.398597460985184,,,0.95,0.88,0.2410490500359172,0.24777326397211774,0.6839408292078548,0.0,-129.46368,2605.9642863287,-135.76532
4,1784523108.2599661,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.192455640994012,,4.173425345114083,,6.397326804581098,,0.798874772619456,,2.240488958719652,,0.7286548390402459,,2.2109981708345003,,4.3125,0.1386820524930954,-0.005536605778615922,0.003896144473401364,1.4149713143706322,688128,1750,336,21,-118.78888,0.007358218084846158,-0.005247717704332899,5.017202150821686,-123.07046,0.01152829367783852,-0.003944679371488746,5.099546325206757,,,0.95,0.88,0.3262041963416854,0.30761714492565684,0.7771199418153244,0.0,-122.21857,2582.0229763006096,-118.78888
5,1784523170.1601875,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.3182065269211307,,3.213736651232466,,5.570532692596316,,0.24581893559661694,,1.6046901610679924,,0.19839906296692789,,1.7304720213869587,,3.625,0.10486987233161926,0.0006188254919834435,0.006990574896917678,1.4280613139271736,851968,1960,416,26,-111.964615,0.013545374589739367,-0.0030308659741422163,4.766849169135094,-103.80754,0.018437760742381216,-0.0030581519968109205,4.869251626729965,,,0.95,0.88,0.2836569207884273,0.29572246426538573,0.7805812290518823,0.0,-108.958176,2646.839732393607,-111.964615
6,1784523232.4964743,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.046848892707203,,4.098789395880885,,6.337276816135272,,0.5502035942627117,,1.9667332276003435,,0.4709950335891335,,2.196300516021438,,4.0,5.0391070544719696e-05,-0.0022526456450577825,0.0420634905458428,1.4357624240219593,1015808,2197,496,31,-111.42246,0.017426557705039158,-0.0031579859933117405,4.589867687225341,-110.564926,0.031162278028205037,-0.0025570256999344564,4.635910767316818,,,0.95,0.88,0.38677506814811513,0.34526339702501385,0.8362285203701858,0.0,-102.670654,2628.3246971695276,-111.42246
7,1784523299.4827206,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.9223815188743174,,3.9189473842270672,,5.457600699039176,,0.4482721171807498,,1.9918281595455483,,0.5994396386668086,,1.8759930523810908,,3.6875,0.10433527827262878,-0.006023336958605796,0.22590460360515863,1.4291073940694332,1179648,2493,576,36,-119.62752,0.03349198653595522,-0.0032386222927016208,4.423820480704308,-109.77498,0.052874544728547336,-0.0029474805531208405,4.445491909980774,,,0.95,0.88,0.4328201751598838,0.4380648078784878,2.0168625582681154,0.0,-131.62418,2445.87586542305,-119.62752
8,1784523372.3423278,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.5261440274771303,,3.933463749475777,,5.680015678401105,,0.6843231811653823,,1.8978575288201682,,0.4600988263846375,,2.048779677832499,,4.3125,0.0870676040649414,-0.0067931198282167315,0.032546645728871226,1.4320713020861149,1343488,2767,656,41,-119.30532,0.03847424641717225,-0.0026040076452773066,4.274394837021828,-105.771164,0.04409598847851157,-0.002501974187907763,4.256476086378098,,,0.95,0.88,0.48137395572702407,0.45619666000573317,0.8886165373901701,0.0,-108.76802,2248.707880621054,-119.30532
9,1784523441.5039275,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.6921883183385944,,4.0202160673215985,,6.046783679543296,,0.46640870987903327,,2.0266566830687225,,0.6418564477044129,,2.2031758856110173,,4.25,0.12763386964797974,-0.0034175532055087388,0.076623470406048,1.4377849511802197,1507328,2986,736,46,-77.50514,0.022222306585172193,-0.0018791162758134306,4.055143439769745,-99.370285,0.0326720597455278,-0.0016101928486023098,4.0908275753259655,,,0.95,0.88,0.5164726406835382,0.504143414346977,1.1766260264932389,0.0,-110.993286,2368.9446932180717,-77.50514
