# _tick,_time,plr_track_area,track_area,plr_track_perimeter,track_perimeter,plr_track_amplitude,track_amplitude,plr_track_convex,track_convex,plr_track_notches,track_notches,plr_track_complexity,track_complexity,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:CarRacingF1-Germany-v0,test_returns:CarRacingF1-Germany-v0,target_agent_return,target_solved_rate,sps
0,1784439840.2515666,,66922.86640449293,,2315.8592422426186,,0.20250710481586984,,0.5169634629483102,,0.5190076030412164,,0.18747487424510284,0.0,0.0,0.0,0.0,2000,3,16,1,-21.79802,0.19772096909582615,-0.01085362369667564,-0.08324889768846333,0,0.0,0.0,0.0,,,0.6812962444454423,0,0,0.0,-163.393,-163.39300537109375,0.0,41.78700207461037
1,1784439979.3011954,,69453.76928090263,,2351.4277449171022,,0.20574108896509644,,0.5169634490205801,,0.5190076030412164,,0.18881764134880752,0.0,0.0,0.0,0.0,12000,41,96,6,-12.239424,0.07975901092868298,-0.014565636884071864,-0.15928727108985186,0,0.0,0.0,0.0,,,0.9058192379471555,0,0,,,,,71.91675608805457
2,1784440130.8834457,,66217.75847797621,,2301.9682608822254,,0.20067769893296822,,0.5169634463858502,,0.5190076030412164,,0.18671529048279145,0.0,0.0,0.0,0.0,22000,124,176,11,-10.164992,0.13510856265202165,-0.02131987411121372,-0.2500641350634396,0,0.0,0.0,0.0,,,0.8877398173210265,0,0,,,,,65.97078962181868
3,1784440290.0359166,,66735.2910735924,,2307.2743666692654,,0.20188625278854913,,0.516963436696269,,0.5190076030412164,,0.18721708745666021,0.0,0.0,0.0,0.0,32000,230,256,16,-10.040001,0.3289961898699403,-0.017466916324337944,-0.34663975797593594,0,0.0,0.0,0.0,,,1.323971795492317,0,0,,,,,62.832831120944356
4,1784440445.6144848,,66574.87582977909,,2300.437902413566,,0.2028703393567979,,0.516963443091507,,0.5190076030412164,,0.18762568746448532,0.0,0.0,0.0,0.0,42000,304,336,21,-8.714516,0.45615104865282774,-0.020022213544507395,-0.4490700587630272,0,0.0,0.0,0.0,,,1.675880474761121,0,0,,,,,64.2761982241314
5,1784440623.9266229,,66405.53821814273,,2307.6026702742984,,0.2001627367754273,,0.5169634365334279,,0.5190076030412164,,0.1865014730922732,0.0,0.0,0.0,0.0,52000,390,416,26,-10.069999,0.4718327857553959,-0.02161469881981759,-0.6073028966784477,0,0.0,0.0,0.0,,,1.8549988185161022,0,0,0.0,-142.92216,-142.9221649169922,0.0,56.081431925372065
6,1784440779.4033945,,63633.6133582257,,2256.026651438967,,0.20106169814709368,,0.516963468596956,,0.5190076030412164,,0.18687473373436694,0.0,0.0,0.0,0.0,62000,469,496,31,-9.624735,0.7586316615343094,-0.020133088357397355,-0.747728731483221,0,0.0,0.0,0.0,,,2.5095727798765664,0,0,,,,,64.31829463139577
7,1784440933.4308386,,66662.41361033548,,2309.6812193396354,,0.2007571129095702,,0.5169634541820034,,0.5190076030412164,,0.1867482652081374,0.0,0.0,0.0,0.0,72000,536,576,36,-1.677119,0.7341056130826473,-0.0066041994650731795,-0.9406051207333803,0,0.0,0.0,0.0,,,4.606128296317474,0,0,,,,,64.92348755239064
8,1784441077.811904,,64947.73502071279,,2276.210318366568,,0.2016944413533217,,0.5169634524650862,,0.5190076030412164,,0.187137449335837,0.0,0.0,0.0,0.0,82000,566,656,41,5.984837,0.9094628095626831,-0.020443549268321703,-1.0147793106734753,0,0.0,0.0,0.0,,,3.052677348185491,0,0,,,,,69.26115981176245
9,1784441215.7519202,,64859.976527144725,,2277.4280145222574,,0.2010100849495956,,0.5169634546592403,,0.5190076030412164,,0.18685330083328883,0.0,0.0,0.0,0.0,92000,585,736,46,8.9009285,0.6836769711226225,-0.01612060082698008,-1.0447219833731651,0,0.0,0.0,0.0,,,3.687399489643518,0,0,,,,,72.49528105868025
10,1784441373.006653,,65269.424245152666,,2280.6628295159053,,0.20240527144975878,,0.5169634482907731,,0.5190076030412164,,0.1874325894805915,0.0,0.0,0.0,0.0,102000,599,816,51,23.535175,0.37240560818463564,-0.01899195252917707,-1.1050281450152397,0,0.0,0.0,0.0,,,3.2618013279501348,0,0,1.0,424.725,424.7250061035156,1.0,63.5910917492522
11,1784441510.3088713,,65301.03833097668,,2283.275100364866,,0.20151253989208118,,0.5169634518668916,,0.5190076030412164,,0.18706192262308757,0.0,0.0,0.0,0.0,112000,610,896,56,20.038584,0.23826873116195202,-0.013399874726019334,-1.0777946449816227,0,0.0,0.0,0.0,,,6.4778942165246765,0,0,,,,,72.83203859877965
12,1784441645.2269804,,66535.8814627451,,2305.1524508530706,,0.20164367694709873,,0.5169634601182997,,0.5190076030412164,,0.1871163731762448,0.0,0.0,0.0,0.0,122000,616,976,61,20.3593,0.11345677194185555,-0.015661562501918525,-1.1046267375349998,0,0.0,0.0,0.0,,,2.6421353325407226,0,0,,,,,74.11902450575846
13,1784441777.5380106,,65262.044618270505,,2278.292811198178,,0.20314721934053093,,0.5169634564810002,,0.5190076030412164,,0.1877406523957338,0.0,0.0,0.0,0.0,132000,617,1056,66,39.364594,0.05721806746441871,-0.020759513281518593,-1.1572901867330074,0,0.0,0.0,0.0,,,2.6797262046522654,0,0,,,,,75.57949249221184
14,1784441909.5720892,,67267.68039719845,,2315.291066343461,,0.2024581698085874,,0.5169634496434371,,0.5190076030412164,,0.18745455347146064,0.0,0.0,0.0,0.0,142000,619,1136,71,75.614975,0.040518739668186754,-0.013712844123801915,-1.2556920796632767,0,0.0,0.0,0.0,,,2.903768937030824,0,0,,,,,75.73802194456839
15,1784442062.743575,,66771.37452913131,,2301.2926251950953,,0.203765389023487,,0.516963460156707,,0.5190076030412164,,0.1879973209432142,0.0,0.0,0.0,0.0,152000,622,1216,76,76.090096,0.030536975362338126,-0.01807837084879793,-1.3662007078528404,0,0.0,0.0,0.0,,,3.34361617333135,0,0,1.0,414.7902,414.7901916503906,1.0,65.28630269741038
16,1784442198.2145987,,66548.78691625626,,2302.5817240000883,,0.20239138359335174,,0.5169634536023664,,0.5190076030412164,,0.18742682422045798,0.0,0.0,0.0,0.0,162000,628,1296,81,59.35492,0.06197860429529101,-0.01498598945181584,-1.4206111170351505,0,0.0,0.0,0.0,,,2.892875065425824,0,0,,,,,73.8165418822322
17,1784442333.0687835,,65724.61479407517,,2295.8043714178207,,0.20033963137299893,,0.5169634520647879,,0.5190076030412164,,0.18657492391140643,0.0,0.0,0.0,0.0,172000,635,1376,86,94.27754,0.06835731712635607,-0.024846391519531608,-1.4893316328525543,0,0.0,0.0,0.0,,,2.6958486907953665,0,0,,,,,74.15415691460304
18,1784442468.3486888,,66248.89453235807,,2295.665454452161,,0.20306677745528579,,0.516963450086146,,0.5190076030412164,,0.18770725115672685,0.0,0.0,0.0,0.0,182000,641,1456,91,70.55107,0.049845881876535714,-0.021112643924425356,-1.5326543115079403,0,0.0,0.0,0.0,,,2.961445047582851,0,0,,,,,73.9208021348633
19,1784442605.249023,,65590.07240383024,,2284.31048280827,,0.20288558395020287,,0.5169634558951838,,0.5190076030412164,,0.18763201967312662,0.0,0.0,0.0,0.0,192000,651,1536,96,88.085434,0.06734103988856077,-0.025799588420341024,-1.5595072619616985,0,0.0,0.0,0.0,,,2.979651875179923,0,0,,,,,73.04584083056453
20,1784442761.5914538,,66364.55381395608,,2300.8104138294334,,0.20186118660771954,,0.5169634458137093,,0.5190076030412164,,0.18720668164940457,0.0,0.0,0.0,0.0,202000,663,1616,101,53.3021,0.05248565832152963,-0.021036242746049538,-1.6206724159419537,0,0.0,0.0,0.0,,,3.191606339711395,0,0,1.0,460.9331,460.93310546875,1.0,63.96216361703973
21,1784442895.890931,,67707.80811187185,,2325.8619586005325,,0.20125039298047995,,0.5169634462727856,,0.5190076030412164,,0.18695307651207857,0.0,0.0,0.0,0.0,212000,668,1696,106,95.0774,0.01848167469142936,-0.015485143288969994,-1.6759706288576126,0,0.0,0.0,0.0,,,4.340829628689703,0,0,,,,,74.46047688622899
22,1784443036.2257535,,67048.9054011227,,2309.0199857098164,,0.20306214364194228,,0.5169634430403237,,0.5190076030412164,,0.18770532576007734,0.0,0.0,0.0,0.0,222000,686,1776,111,39.461998,0.1051016931887716,-0.020377472012114595,-1.738387893885374,0,0.0,0.0,0.0,,,3.0626332192265995,0,0,,,,,71.25813799153143
23,1784443180.2431412,,66215.40601132243,,2307.251829909682,,0.1991133511377173,,0.5169634658786231,,0.5190076030412164,,0.18606576766171726,0.0,0.0,0.0,0.0,232000,715,1856,116,21.472948,0.060338037787005305,-0.021797823857923504,-1.6787261702120304,0,0.0,0.0,0.0,,,3.092337337890732,0,0,,,,,69.43605129180098
24,1784443322.8545291,,66651.5589020502,,2308.261696438415,,0.20116894035159433,,0.5169634622074,,0.5190076030412164,,0.18691926007205795,0.0,0.0,0.0,0.0,242000,742,1936,121,21.73877,0.08524305187165737,-0.02408296530120424,-1.6694784387946129,0,0.0,0.0,0.0,,,2.7931840813162943,0,0,,,,,70.12062745289515
25,1784443484.8581028,,67699.47770337033,,2322.9576515726058,,0.2019824158091209,,0.516963447558049,,0.5190076030412164,,0.1872570171000627,0.0,0.0,0.0,0.0,252000,766,2016,126,34.310932,0.09843668551184237,-0.03177400141430553,-1.6617594510316849,0,0.0,0.0,0.0,,,2.2650616600172677,0,0,1.0,297.50015,297.5001525878906,1.0,61.72703523075481
26,1784443622.8342407,,67770.43397481531,,2324.6400153168984,,0.20205735399333768,,0.5169634502306796,,0.5190076030412164,,0.1872881324244821,0.0,0.0,0.0,0.0,262000,777,2096,131,112.28087,0.046257890528067946,-0.020666751224780455,-1.6781891621649265,0,0.0,0.0,0.0,,,2.6967670929127765,0,0,,,,,72.47629777629015
27,1784443757.9947054,,67990.12415775933,,2330.571435296069,,0.20111422347922556,,0.5169634520411733,,0.5190076030412164,,0.18689653926059344,0.0,0.0,0.0,0.0,272000,785,2176,136,124.82377,0.04450279788579792,-0.02711389922478702,-1.6792611740529537,0,0.0,0.0,0.0,,,2.5268909227384464,0,0,,,,,73.98613962021774
