# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps,target_agent_return
0,1784840331.9639418,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.112072276882827,,4.832867808698211,,7.112818951718509,,2.0500934519805014,,2.818235301063396,-3.4129984378814697,-0.019886585039785132,1.569790872745216,1.4200233705341816,32768,256,16,1,-119.74705,0.4546163475140929,-0.0020744797933730298,5.666325205564499,-151.42035,0.10607929294928908,-0.0028614743263460697,5.669814500212669,,,0.95,0.9,none,0.3851529553270666,0.35309652851393153,3.730693482858248,0.0,-127.36599,2142.6133020558773,-119.74705
1,1784840404.8651412,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.880901883363549,,5.257083107717335,,7.702055749803549,,2.231875610887073,,3.0052643440430984,-1.441555142402649,-0.004668655245041009,0.830166379455477,1.417524553835392,196608,838,96,6,-167.02548,0.07323368128854782,-0.004985370447684545,5.563419729471207,-119.15818,0.04975886443862691,-0.002600618665746879,5.615629920363427,,,0.95,0.9,none,0.38777696194506145,0.3512485423134044,3.1688521310784816,0.0,-191.22041,2247.4261928608435,-167.02548
2,1784840476.894891,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.994817050173879,,4.862195183348376,,7.149488869123161,,1.9344293095055036,,2.6930409581400454,-0.7481961846351624,-0.00029983161948621273,0.2437516154604964,1.4167614094913006,360448,1096,176,11,-148.04399,0.008680784443276935,-0.004651537304744125,5.453911027312278,-141.60849,0.032452712021768096,-0.003342941610026173,5.522782152891159,,,0.95,0.9,none,0.3063822747283651,0.37100044988662406,2.1597927775790726,0.0,-144.8924,2274.6156944285085,-148.04399
3,1784840548.7408676,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.727650187211111,,4.376706649549305,,6.760488516185433,,1.735858258442022,,2.5681689504999667,-0.44734466075897217,-4.354602424427867e-06,0.024658142850967124,1.4279158562421799,524288,1313,256,16,-136.82263,0.00754289657343179,-0.0036256165367376525,5.207559749484062,-128.82948,0.03190804782789201,-0.0037103241604199864,5.384289214015007,,,0.95,0.9,none,0.3542246468982471,0.37458007995486287,0.6087417454567841,0.0,-132.73978,2280.433937274026,-136.82263
4,1784840620.4991412,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.462517409352586,,5.176363693317398,,7.3464515302330256,,2.0734187547350302,,2.9703041874745395,-0.16819386184215546,-0.0003605093224905431,0.02452593330235686,1.4311784468591213,688128,1563,336,21,-141.19131,0.030908251460641623,-0.002808859260403551,5.054391413927078,-139.2703,0.030175022839102894,-0.0030726285971468315,5.215330943465233,,,0.95,0.9,none,0.3733074621873645,0.424434275556997,1.164184568365139,0.0,-139.95903,2283.2209345227297,-141.19131
5,1784840691.241759,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.232054811902344,,4.555075834970921,,7.170309907756746,,1.8997809812426567,,2.805362401297316,0.17198872566223145,-0.013288531452417374,0.07115126721328124,1.432140700519085,851968,1889,416,26,-119.575134,0.018718546227319166,-0.0019463950098725035,4.954315105080605,-117.297935,0.03466078967321664,-0.002508636319544166,5.0470323145389555,,,0.95,0.9,none,0.46872030107556206,0.4691018305842961,1.2139237533418457,0.0,-119.973465,2316.0014443268683,-119.575134
6,1784840763.2620454,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.65771031472832,,5.190912313060835,,7.54251315142028,,2.107527887215838,,3.032702577766031,0.288178950548172,6.0240476159378886e-05,0.06551518727792427,1.4301685579121113,1015808,2212,496,31,-127.27217,0.03380433922866359,-0.002846017437695991,4.837372297048569,-136.44772,0.024347044725436716,-0.002043228563707089,4.844359129667282,,,0.95,0.9,none,0.45828230227398564,0.48584319779557256,1.0678253889868605,0.0,-147.18323,2274.914511787198,-127.27217
7,1784840838.1225824,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.426262499764562,,4.972895096754655,,7.6373168849386275,,2.0711876740679145,,2.7991270660422742,0.19359947741031647,-0.00015179828187683597,0.04419475726899691,1.436872448772192,1179648,2446,576,36,-112.89238,0.019305037747835742,-0.003059503533586394,4.580116048455238,-117.31001,0.024476832820801063,-0.0017542311485158279,4.669211459159851,,,0.95,0.9,none,0.5451555669503925,0.504844808657765,0.9711653315304745,0.0,-124.823685,2188.6055167233,-112.89238
8,1784840913.4732752,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.686057957820594,,5.005154534243047,,7.519197230692953,,1.9847303286660463,,2.708088459679857,0.19198445975780487,-0.001607370111742057,0.028864718042314053,1.442054394632578,1343488,2641,656,41,-128.71442,0.013386957492912188,-0.0014823496057942975,4.319845259189606,-119.26184,0.01461683126690332,-0.001180273149657296,4.512862232327461,,,0.95,0.9,none,0.5573904119347775,0.5307235871301138,0.9455238982801739,0.0,-109.9635,2174.3660353826735,-128.71442
9,1784840986.63948,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.935960086993873,,4.487853700760752,,6.922622587298974,,1.943308774381876,,2.7090179507504217,0.13524997234344482,-0.0027052999066654593,0.03619816355057992,1.439818825572729,1507328,2821,736,46,-116.34685,0.008878333671600559,-0.001240826369030401,4.064920428395271,-125.10408,0.019421694159973413,-0.0010795180722197983,4.358978515863418,,,0.95,0.9,none,0.5817972941854519,0.5743674432368717,1.2007089796237196,0.0,-103.79561,2239.283232973363,-116.34685
10,1784841060.0963936,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.671225327067077,,5.343335479963571,,7.483730284962803,,2.1106492709368467,,2.8846131379250437,0.13792729377746582,-0.004187146834738087,0.3796977607998997,1.4468179382383823,1671168,3016,816,51,-103.24281,0.012798276820103639,-0.00213398991691065,3.8229178115725517,-109.73506,0.015001711825607344,-0.0020025660385726953,4.232054641842842,,,0.95,0.9,none,0.6039613853014879,0.5897232224963298,2.344034024668005,0.0,-103.77596,2230.4232463921307,-103.24281
11,1784841132.9961746,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.794827619334683,,4.403335263952613,,6.9415934106800705,,1.931009243329754,,2.5816103257238865,-0.01868060603737831,-0.001104334747651592,0.041994633444119245,1.4406888857483864,1835008,3221,896,56,-104.015274,0.008957768679829314,-0.0015006543835625052,3.5723468109965326,-110.47388,0.03382539727026597,-0.0018121410641469993,4.039843147993087,,,0.95,0.9,none,0.644550645901864,0.6250290330873075,1.349545113031438,0.0,-98.55271,2247.468441290332,-104.015274
