# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,sps,target_agent_return
10,1784306102.8225267,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.618585463016643,,6.31730742007494,,7.717381015187129,,2.2101975062396377,,3.0808168973308057,-0.08000706881284714,-0.003535489726345986,0.0727657486568205,1.4737822525203228,1671168,4121,816,51,-104.20547,0.010793541549355723,-0.0021588826828519815,3.948652483522892,-125.36156,0.019800681655760856,-0.002066245791502297,4.054134598374366,,,0.95,0.9,0.47074934291328496,0.5010795679462234,1.3506189843299334,0.0,-128.25705,2170.9114669710198,-104.20547
11,1784306176.4706216,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.445738954469562,,5.878882979974151,,7.097259586676955,,1.8919396870187484,,2.94058593607042,-0.033157192170619965,-0.009037423693371238,0.01801298050850164,1.4790201224386692,1835008,4306,896,56,-104.402725,0.008482485712738708,-0.0017868135415483265,3.7025377109646795,-123.6369,0.019546382874250413,-0.0018605896242661402,3.8013576805591582,,,0.95,0.9,0.5796490259073348,0.5299666186736793,0.8840087596165872,0.0,-114.66063,2224.6321256744477,-104.402725
12,1784306249.9702547,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.887361722794594,,5.461253308225423,,6.75486428104341,,1.8115525129251182,,2.8538829166209325,-0.1104687973856926,-0.008960675331763923,0.09151430361089297,1.481602568179369,1998848,4496,976,61,-104.13399,0.01398520972870756,-0.0020850223780144008,3.5306017309427262,-115.79384,0.01687265880755149,-0.002310431447403971,3.59171399474144,,,0.95,0.9,0.5582059860166282,0.6127073382139601,1.6535059519290347,0.0,-108.37264,2229.1277591294265,-104.13399
13,1784306318.613671,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.28550937352702,,5.687535240776924,,7.341424546437338,,1.9619093255023472,,2.7911111298017204,-0.1800835132598877,-0.001260042074136436,0.04400874223210849,1.477462723851204,2162688,4690,1056,66,-98.54588,0.01787971823650878,-0.0014938421256374568,3.3296744227409363,-125.74489,0.017472030140925198,-0.0024720007146243005,3.373117996752262,,,0.95,0.9,0.5908607757762813,0.6247140383197232,1.0851291653125315,0.0,-118.90576,2386.827091102462,-98.54588
14,1784306389.5232518,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.082641675136983,,5.368907174095511,,6.860264947667019,,1.6983287460170686,,2.7987677801866084,-0.18700993061065674,-0.010014967970164435,0.11662595818052068,1.4809948168694973,2326528,4876,1136,71,-103.40776,0.01596632907167077,-0.001709429352195002,3.1357168152928354,-102.91245,0.018120705831097438,-0.001884942184551619,3.1352794483304023,,,0.95,0.9,0.6314588226640453,0.6885375186965207,1.7146869687038064,0.0,-105.66575,2310.5484407156046,-103.40776
15,1784306461.1540372,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.971320963464677,,5.018978733569384,,6.770142395514995,,1.7022060807794333,,2.684941737621557,-0.026281962171196938,-0.0015577082231175154,0.022623413140536286,1.4899917170405388,2490368,5079,1216,76,-104.09944,0.020169893841375595,-0.0021042245614808055,2.9556356981396674,-104.38717,0.014481977149262092,-0.0006015821942128241,2.9757235929369927,,,0.95,0.9,0.6566629773144268,0.7402840179764494,1.1680065083863485,0.0,-105.79887,2287.2847605268603,-104.09944
16,1784306534.8659716,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,8.032501148059964,,6.304671409539878,,7.779636203311384,,2.3634187332354486,,3.201550442521693,-0.010532699525356293,0.0005736461607739329,0.0865422293136362,1.4817760549485683,2654208,5269,1296,81,-90.15216,0.01398730456130579,-0.0018852158566005528,2.815400741994381,-112.52852,0.01187076049100142,-0.0016926551441429182,2.8016213700175285,,,0.95,0.9,0.756876171771142,0.6833126679507104,1.7820294162188293,0.0,-98.96196,2222.706750263554,-90.15216
17,1784306607.0749004,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.953054852787318,,5.364535796456039,,6.66986976438784,,1.7854695811402053,,2.516294354805723,-0.25071945786476135,-0.0015905218388070352,0.031215399270877242,1.4847889058291912,2818048,5457,1376,86,-103.96608,0.0182386113476241,-0.0005063707329099997,2.6005366504192353,-124.14836,0.027607787237502634,-0.0007574980816571042,2.6192061945796015,,,0.95,0.9,0.6800320637700886,0.7462476827457408,0.654593633397146,0.0,-95.72923,2268.9715722944406,-103.96608
18,1784306680.0901136,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.112377327866852,,5.671362877939828,,7.400529460748658,,2.053384816972539,,2.940101796295494,-0.025761812925338745,-0.009483893194556003,0.05068817103165202,1.47890455275774,2981888,5639,1456,91,-96.8956,0.014919130576890894,-0.0013369998108828441,2.4578606516122816,-84.84781,0.013101677622762509,-0.0017538537897053175,2.45542651116848,,,0.95,0.9,0.7319975349550061,0.8306308435725478,1.3980567067922718,0.0,-105.85289,2243.915907385748,-96.8956
19,1784306755.9899936,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.61828176677227,,4.94101785030216,,6.496890537440777,,1.700243011378916,,2.4743384402245283,-0.23642469942569733,-0.004484907069127075,0.04099176940508187,1.4689872898161411,3145728,5811,1536,96,-81.9209,0.006280382111435756,-0.0012859362963354216,2.1928606554865837,-89.12589,0.01111739120387938,-0.0008155322982929647,2.27155487537384,,,0.95,0.9,0.7828042673049013,0.8972357080019797,1.001417446517197,0.0,-86.523346,2158.632970216042,-81.9209
