# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784864101.7980595,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.192544580670074,,6.279904754832387,,9.807267625816166,,1.1779556235997006,,4.05565755040152,,1.989156318246387,,4.949633696582168,,8.1875,0.0014517530798912048,0.0009201645152643323,0.18449041817802936,1.420720674097538,1.0620092153549194,0.0,1.1205298900604248,0.12716758251190186,0.004182114731520414,0.694955587387085,0.7477619051933289,16,0.41458678245544434,5.579952239990234,0.10363195836544037,32768,164,16,1,-121.91284,0.3201749552041292,-0.0031901632406516,5.646196112036705,-129.8777,0.116913848859258,-0.0031108395342016593,5.671186083555222,,,0.95,0.9,c2n,0.40035759265108634,0.3731838298313577,1.7890208687973241,0.0,-119.80398,2077.051092462163,-121.91284
1,1784864178.789953,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.405938156414777,,6.154075764121444,,9.913984267506748,,1.1888991417363286,,4.212520025903359,,2.1228242983925156,,4.904599599074572,,8.5,0.0010987563291564584,-0.0010727985645644367,0.004244968673447147,1.4271392971277237,1.0280314683914185,0.9364245533943176,1.006385326385498,0.02362123690545559,0.002997584408149123,0.6258010864257812,0.7049075365066528,96,0.3968640863895416,5.675355434417725,0.06532929837703705,196608,787,96,6,-145.6807,0.06928132537286728,-0.002695306608075043,5.630987685918808,-157.06702,0.038102437095949425,-0.0027263329822744707,5.588531336188316,,,0.95,0.9,c2n,0.29433731432591753,0.3422954025853605,0.6882054804988419,0.0,-144.25093,2128.0171278715347,-145.6807
2,1784864258.351872,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.893087149859639,,6.0467378231696784,,9.664860666263849,,0.9714595670811832,,3.8678001787047833,,1.8861042582429945,,4.805039624683559,,7.9375,0.0011878442019224167,0.0004851727280765772,0.056997435138328,1.420574426651001,0.9830309748649597,0.9334805011749268,0.9561721682548523,0.01620347797870636,0.0030695549212396145,0.6096750497817993,0.7071806192398071,176,0.41586729884147644,5.384073734283447,0.020742228254675865,360448,1012,176,11,-118.72107,0.029750450438586994,-0.002971387440629769,5.533954828977585,-132.8629,0.01582522303215228,-0.003390557336388156,5.422976943850517,,,0.95,0.9,c2n,0.25197383473951396,0.3525785174999806,1.1999879848259607,0.0,-133.04172,2059.276622414546,-118.72107
3,1784864335.72844,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.189050119137391,,5.893343533738516,,9.783739554113708,,1.1140301818959415,,4.058494491968304,,2.057393702212721,,4.909153919084929,,8.0625,0.0017728249076753855,-0.001601940719410777,0.026967757628881373,1.4325034953653812,0.917906641960144,0.9312233924865723,0.8510197401046753,0.01649823784828186,0.005275878589600325,0.7110440135002136,0.6722552180290222,256,0.4213058352470398,5.508462905883789,0.03491932898759842,524288,1185,256,16,-116.669556,0.008577580688870512,-0.005029554422799265,5.339037385582924,-148.86682,0.016248037607874723,-0.00451746336184442,5.154099303483963,,,0.95,0.9,c2n,0.2316436778884568,0.41369017219207527,1.0472365068718341,0.0,-143.05998,2117.4393200424897,-116.669556
4,1784864411.2874327,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.227652420755476,,6.603230345528573,,9.951166482642293,,1.1264762878417969,,4.111321719363332,,2.162784510757774,,4.91184766869992,,8.3125,0.003582557663321495,-0.006226030760444701,0.049207173549802974,1.4367080554366112,0.7470347285270691,0.9257369041442871,0.5758513808250427,-0.005176936741918325,0.008290089666843414,0.9332741498947144,0.6384495496749878,336,0.39369165897369385,5.675872325897217,0.051065266132354736,688128,1370,336,21,-119.70674,0.027618470619199798,-0.002411903132451698,5.049219661951065,-137.98763,0.025720708118751646,-0.0021583894063951447,4.9340747714042665,,,0.95,0.9,c2n,0.2870409949331589,0.4082775353414547,1.2459661760115097,0.0,-119.993454,2168.3694798959605,-119.70674
5,1784864486.288339,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.368134380318224,,5.296481655910611,,9.193963386118412,,0.7163618837948889,,3.6248930720612407,,1.7010204521939158,,4.737043058965355,,7.3125,0.014024726115167141,-0.00394910215982236,0.07953821500996128,1.43694032356143,0.6579529643058777,0.9154573678970337,0.46613237261772156,0.030881011858582497,0.037732284516096115,1.3150453567504883,0.6238270998001099,416,0.30316027998924255,4.993800163269043,0.03229321166872978,851968,1563,416,26,-121.95381,0.015848636621376498,-0.004076563774287933,4.8389762789011,-129.3599,0.01685855655814521,-0.0031597065804817247,4.76184318959713,,,0.95,0.9,c2n,0.3167954444781168,0.44340133358115474,1.3805157815447222,0.0,-106.16612,2184.507058082423,-121.95381
6,1784864563.6554542,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.889002079842612,,5.7138331681489944,,9.712141465395689,,0.743577650282532,,4.011481470311992,,1.8978432805743068,,4.8617386252153665,,7.875,0.051946889609098434,-0.0032258734572678804,0.04488043484161608,1.4431528709828854,0.6342829465866089,0.9040083289146423,0.5179192423820496,-0.004130263812839985,0.1294884830713272,1.3252865076065063,0.6030711531639099,496,0.45100587606430054,5.338077068328857,0.03197094053030014,1015808,1745,496,31,-107.73186,0.0215721478627529,-0.00345263246781542,4.625925162434578,-127.25675,0.01797282513580285,-0.002227637953183148,4.53229968547821,,,0.95,0.9,c2n,0.3596539785151927,0.4949159732264888,1.1070905109661717,0.0,-111.458885,2117.695200851928,-107.73186
7,1784864639.648062,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.547069613356143,,5.647572843357921,,9.32387494109571,,0.9076356173609383,,3.660734827222768,,1.7428361287747975,,4.7711703311651945,,7.375,0.031686536967754364,-0.006950593262445182,0.00040693306209504954,1.447800885885954,0.562795877456665,0.8607510924339294,0.43923988938331604,0.010936183854937553,0.07590996474027634,1.2229766845703125,0.5527854561805725,576,0.3483872711658478,5.1219868659973145,0.021929599344730377,1179648,1944,576,36,-110.70581,0.03286702438490465,-0.0033754478121409194,4.405440238118172,-122.74892,0.016372580034658312,-0.002565216716902796,4.263081961870194,,,0.95,0.9,c2n,0.4299585688588753,0.5481159499343876,0.5706247902365607,0.0,-103.994225,2155.999012249447,-110.70581
8,1784864715.0132983,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.499446601839736,,5.5164988078176975,,9.309050424955785,,0.7040715082548559,,3.6826944490894675,,1.8466652599163353,,4.672795495949686,,7.3125,0.020733186975121498,-0.000838142295833677,0.16906041238689795,1.4530734717845917,0.5642167329788208,0.9155268669128418,0.44574350118637085,0.051125988364219666,0.053402211517095566,1.1610541343688965,0.5404133796691895,656,0.36592966318130493,5.067965030670166,0.023135248571634293,1343488,2189,656,41,-109.16781,0.0338882703683339,-0.00374911496292043,4.190093261003494,-109.767044,0.015128174849087373,-0.0018291397078428417,4.061797571182251,,,0.95,0.9,c2n,0.4613080417654606,0.6382584753442455,1.8808775711071621,0.0,-104.24446,2173.946493537311,-109.16781
9,1784864790.2763784,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.875040597748011,,5.576311475131661,,9.538379475940019,,0.7792940991930664,,3.9112228895537555,,1.7849265122786164,,4.828157650306821,,7.375,0.027866173535585403,-0.0016187908768188208,0.0028759946981153917,1.4601756520569324,0.4913710951805115,0.9026519656181335,0.37120321393013,-0.02681772969663143,0.06982027739286423,1.231709361076355,0.4985589385032654,736,0.39450064301490784,5.2085418701171875,0.023821789771318436,1507328,2515,736,46,-121.635574,0.047096562944352625,-0.004194055200787261,3.969914047420025,-108.986374,0.012949151801876724,-0.0027117690347949973,3.7515669479966163,,,0.95,0.9,c2n,0.5366655114971262,0.6790833863683614,0.5193641984465973,0.0,-108.18144,2176.897763275563,-121.635574
