# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784364945.2026906,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,32768,195,211,1,-113.42833,0.399816088937223,-0.0021518787689274177,5.67557500898838,0,0.0,0.0,0.0,,,0.38128052796557776,0,0,0.0,-114.60962,-114.609619140625,0.0,4059.5654860237833
1,1784364979.9297261,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,196608,540,636,6,-128.66148,0.03307378839235753,-0.002172182723006699,5.66212697327137,0,0.0,0.0,0.0,,,0.33947376971611076,0,0,0.0,-137.1999,-137.1999053955078,0.0,4717.9376418084985
2,1784365012.7726133,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,360448,630,806,11,-127.9128,0.00875349153066054,-0.0064183417736785485,5.517988362908364,0,0.0,0.0,0.0,,,0.3699577304728425,0,0,0.0,-173.96658,-173.96658325195312,0.0,4988.604468302963
3,1784365045.4245148,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,524288,716,972,16,-129.06403,0.008207102410960943,-0.0026561960454273502,5.267437380552292,0,0.0,0.0,0.0,,,0.4291682938637654,0,0,0.0,-128.88887,-128.8888702392578,0.0,5017.779126297298
4,1784365078.280128,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,688128,812,1148,21,-127.05121,0.009782869380433112,-0.0032766541640739887,4.980773419141769,0,0.0,0.0,0.0,,,0.45587124045846394,0,0,0.0,-119.43494,-119.4349365234375,0.0,4986.665829056829
5,1784365111.2130363,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,851968,909,1325,26,-128.34727,0.01206163018650841,-0.0033227674022782592,4.761848044395447,0,0.0,0.0,0.0,,,0.4181255879412614,0,0,0.0,-131.07097,-131.0709686279297,0.0,4974.963678686877
6,1784365143.8474166,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,1015808,995,1491,31,-121.7227,0.013290930521907284,-0.0030549150178558193,4.5060647398233415,0,0.0,0.0,0.0,,,0.4844041079072534,0,0,0.0,-116.128845,-116.12884521484375,0.0,5020.475734043929
7,1784365176.4575655,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,1179648,1082,1658,36,-124.634544,0.023277212888933717,-0.002343821233080234,4.301219460368157,0,0.0,0.0,0.0,,,0.5489608816009488,0,0,0.0,-115.95204,-115.95204162597656,0.0,5024.197188977728
8,1784365208.3679025,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,1343488,1174,1830,41,-114.83467,0.02503179989871569,-0.002592489862581715,4.142892399430275,0,0.0,0.0,0.0,,,0.5510412640980006,0,0,0.0,-111.16022,-111.16021728515625,0.0,5134.389406452289
9,1784365241.6017346,,8.0,,6.0,,10.0,,1.0,,4.0,,2.0,,5.0,,8.0,0.0,0.0,0.0,0.0,1507328,1266,2002,46,-121.14929,0.02996382216224447,-0.001197461569972802,4.009673050045967,0,0.0,0.0,0.0,,,0.5966110901986712,0,0,0.0,-109.6177,-109.6176986694336,0.0,4929.9161302557995
