# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,sps,target_agent_return
10,1784616606.3680685,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.002796460117679,,4.117053827736527,,5.970350782386959,,0.2885354099998949,,1.989883357542567,,0.40928426769096404,,1.7746914095478132,,4.125,-0.04679139703512192,-0.005036361399106681,0.03331533510936424,1.4719720147550106,1671168,3458,816,51,-122.64525,0.03740821426035836,-0.0017504792063846252,3.689985175430775,-95.76714,0.0646805272437632,-0.0011699328977556433,3.760692875087261,,,0.95,0.88,0.6416384125080988,0.6373088169051864,0.6384384526097904,0.0,-115.38218,2787.951534873457,-122.64525
11,1784616664.6931038,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.2845242391340435,,3.0099453505827114,,5.307783276075497,,0.18625158711802214,,1.5681149715965148,,0.12262852571438998,,1.4491845691227354,,3.375,-0.4549868702888489,-0.0018338661175221205,0.15559616801328957,1.4738090299069881,1835008,3930,896,56,-113.17987,0.019079621601849794,-0.002250530812307261,3.4749182254076003,-92.45099,0.06759360942523926,-0.001803324561478803,3.5659553170204163,,,0.95,0.88,0.6716551836221774,0.6973219795805173,0.6613999562048443,0.0,-114.487206,2809.083922511643,-113.17987
12,1784616726.1694367,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.778362588956952,,4.2447901093401015,,6.381087578367442,,1.0172277372330427,,2.1829036325216293,,0.7338205970008858,,2.247566453181207,,4.5625,-0.06469463557004929,-0.005594332120381296,0.05567984079243615,1.4664383418858051,1998848,4297,976,61,-105.5505,0.019605198682984337,-0.0016815603543363978,3.2424079209566115,-98.13994,0.032347505330108106,-0.0018107384268660099,3.34138535708189,,,0.95,0.88,0.7201360455339425,0.6946086063762724,0.8802350550426814,0.0,-86.24884,2665.090842958428,-105.5505
13,1784616788.383827,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.6467567537911236,,3.8340015307767317,,6.077148097101599,,0.6139572362881154,,2.071790701011196,,0.42335081193596125,,2.079802628546986,,3.9375,-0.06783545017242432,-0.0019932561554014683,0.07303320721257478,1.4598015993833542,2162688,4689,1056,66,-96.32558,0.013886767323128879,-0.002804736747930292,3.0204100385308266,-90.9471,0.037710267503280194,-0.0020372588929603807,3.155088798701763,,,0.95,0.88,0.7778332840022595,0.759650066061833,0.8345624543762962,0.0,-106.20961,2633.4742309696435,-96.32558
14,1784616851.0727456,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.1116354760015383,,3.1966834724880755,,5.236331841442734,,0.1908077383413911,,1.485465164296329,,0.1530272013042122,,1.5925350698380498,,3.375,-0.5102170705795288,-0.0005493503995239735,0.11614000890403986,1.4638067111372948,2326528,5122,1136,71,-96.77083,0.012371221656212582,-0.002037451433716342,2.8012671008706094,-85.26751,0.04337075566872954,-0.0005796475626993925,2.944539038836956,,,0.95,0.88,0.8774037676278074,0.802045223069854,0.9438880730113495,0.0,-101.20317,2613.540303418687,-96.77083
15,1784616913.8649497,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,3.558069135528058,,3.903348689316772,,5.815859625115991,,0.27993822572170757,,1.8027867279015481,,0.3886893689632416,,1.8386600345256738,,3.75,-0.22914984822273254,-0.0005273703136481345,0.08036464382894337,1.4696382246911526,2490368,5604,1216,76,-98.688736,0.014807243697578087,-0.0016304875156492927,2.6224565103650095,-89.914566,0.03829119843430817,-0.002090603444958106,2.744045102596283,,,0.95,0.88,0.8901944170704772,0.8316591643735164,0.7626269264341468,0.0,-91.02033,2609.240825995891,-98.688736
16,1784616977.857849,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.904559290967882,,5.001508112065494,,7.066510290605947,,1.0056735204998404,,2.5972541987430304,,1.0356025667570066,,2.6159400045580696,,4.8125,-0.06411539018154144,-0.003911881358362734,0.06356571102514863,1.4700426794588566,2654208,5991,1296,81,-85.2721,0.012056045772624202,-0.001194532799127046,2.443153999745846,-92.781395,0.03349101276835427,-0.0003251404661568813,2.5431181266903877,,,0.95,0.88,0.9276597280727416,0.9851043652829261,0.7015101514253006,0.0,-99.92458,2560.2841512969453,-85.2721
17,1784617038.2940469,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.578991043847054,,5.126209818699863,,6.84260402014479,,1.034900567959994,,2.384593884460628,,1.11432082997635,,2.4833423520904034,,4.6875,0.15540462732315063,-0.001140954322181642,0.020514057338004932,1.4793617278337479,2818048,6320,1376,86,-109.64217,0.019599002262111753,-0.0005262173392111436,2.2587423279881476,-90.40582,0.025534024427179246,-0.0007922646836959757,2.3187760442495344,,,0.95,0.88,1.0269558287621574,0.9689635627493279,0.40766600356566124,0.0,-83.82902,2710.959990526435,-109.64217
18,1784617096.929172,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,2.7013375191017985,,2.681200425606221,,4.843350148759782,,0.0,,1.3647372543928213,,0.023331453790888197,,1.3229701247182675,,3.0625,-0.48625946044921875,0.000818754022475332,0.16324615222401917,1.4945425428450108,2981888,6702,1456,91,-82.29664,0.011972550573409535,-0.0011519244093506132,2.0787112191319466,-81.09585,0.03581913430243731,-0.0005577132826147136,2.153693026304245,,,0.95,0.88,1.0090608647765067,1.074229131378401,1.2012838724515127,0.0,-88.13852,2794.227386310235,-82.29664
19,1784617155.7539544,,4.0,,4.0,,4.0,,4.0,,6.0,,6.0,,0.5,,0.5,,2.0,,2.0,,0.5,,0.5,,2.0,,2.0,,4.0,,4.0,,4.9013145682401955,,4.981554122408852,,6.662148744391743,,0.8980369512573816,,2.4847175541799515,,0.8947077642660588,,2.5931480217259377,,4.75,-0.20424339175224304,0.0001142978435382247,0.03468366002198309,1.4989469647407532,3145728,7140,1536,96,-96.87862,0.018105674075195567,6.525974604301154e-05,1.9148236252367496,-86.740135,0.030598956090398133,-0.0006062695960281417,2.014801149070263,,,0.95,0.88,1.139301074664005,1.099875768001521,0.5362385516879271,0.0,-86.88795,2785.2206739915705,-96.87862
