# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784820024.354311,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.740371698746458,,5.870991423144005,,9.584373359626625,,0.923838104121387,,3.7978678825311363,,1.9393170992843807,,4.7799361073412,,7.5,-1.625135064125061,-0.026160343666560948,0.31646036403253675,1.4189649000763893,32768,501,16,1,-114.431274,0.6623496172949672,-0.002617726256721653,5.675457552075386,-117.61076,0.24674904467538,-0.00264166489650961,5.669272494316101,,,0.95,0.9,both,0.4138120320553691,0.36085922754552147,1.3500399063791952,0.0,-110.79928,2143.7593710959727,-114.431274
1,1784820096.7445054,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.825206291861832,,6.234276523813605,,9.871277961879969,,1.301923518301919,,4.19480913085863,,2.083454363979399,,4.944317625835538,,8.3125,-2.009918451309204,-0.00015588049427606165,0.1287284072022885,1.4216900989413261,196608,1637,96,6,-107.349464,0.2278760511428118,-0.002605698064144235,5.64229907989502,-108.576744,0.22294200723990798,-0.0026699777255998923,5.6198281913995745,,,0.95,0.9,both,0.3225099379127586,0.3118578411627282,0.9323534560323021,0.0,-120.060074,2263.291435214139,-107.349464
2,1784820171.6763692,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.721097540576011,,5.619433911284432,,9.723200907930732,,0.8134972681291401,,3.968009295873344,,1.8442523892590543,,4.805556722451001,,7.75,-0.22350409626960754,-0.004807999124750495,0.04502550058532506,1.4228793680667877,360448,2875,176,11,-123.13609,0.061485085426829754,-0.006095424402155913,5.57087764441967,-109.69495,0.06275374938268215,-0.0042110045673325654,5.5698917478322985,,,0.95,0.9,both,0.2987081942264257,0.28001807563771564,1.0208666434756577,0.0,-122.78788,2186.518253437537,-123.13609
3,1784820245.7202907,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.511086530983448,,5.652435492258519,,9.645167196402326,,0.8217053271364421,,3.969933577347547,,1.8792505315504968,,4.847118250327185,,7.875,-0.02452355995774269,-0.012022067443467677,0.003927155015844619,1.417630486190319,524288,3202,256,16,-120.02173,0.0077436481369659305,-0.0044060914631700145,5.389372396469116,-108.28279,0.023396289558149874,-0.0042049615163705315,5.457382962107658,,,0.95,0.9,both,0.28529069149363984,0.2664081172135028,0.6127970297380494,0.0,-130.58853,2212.7420872158073,-120.02173
4,1784820319.271984,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.57406385926879,,5.913830405799672,,9.530671197921038,,0.8601333776023239,,3.7385128205642104,,1.8801843049004674,,4.768880833871663,,7.75,-0.05240314453840256,0.00028766971081495285,0.022895995003636926,1.4169044755399227,688128,3457,336,21,-119.13435,0.006322393167647533,-0.0028266790497582404,5.166873893141746,-124.272606,0.02269372991868295,-0.0019285791815491394,5.239025166630745,,,0.95,0.9,both,0.31022674198407546,0.33040592305483363,0.9721214421515671,0.0,-123.96675,2227.548772449841,-119.13435
5,1784820392.122418,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.176379904150963,,6.3073136219754815,,9.894741965457797,,1.1668167327297851,,4.130269396526273,,2.160525133833289,,4.922456982894801,,7.8125,-0.07119585573673248,-0.004570408957079053,0.04007360420655459,1.4244593679904938,851968,3722,416,26,-120.7985,0.008125669788569212,-0.0026065384881803766,4.980182263255119,-118.65929,0.019603119336534292,-0.0021760597708635034,5.059929889440537,,,0.95,0.9,both,0.3336506930571702,0.3251470585615665,1.1980442162879283,0.0,-140.86551,2248.9910935118373,-120.7985
6,1784820462.8996723,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.548131300136447,,6.3785292257671244,,9.892483748495579,,1.2906630574725568,,4.156032223021612,,2.3970813509076834,,4.988608424551785,,8.6875,-0.051765888929367065,0.0003153823781758547,0.027232719905441627,1.4256273470818996,1015808,3952,496,31,-115.16193,0.005534384094062261,-0.004944558249553666,4.739121013879776,-114.796,0.023750151292188094,-0.0011171548962011003,4.849279275536537,,,0.95,0.9,both,0.4158849226375869,0.376428472099994,0.9066278537023027,0.0,-107.17914,2314.867272833205,-115.16193
7,1784820534.3240848,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.03198703750968,,5.723459871485829,,9.890920787584037,,0.8662330268416554,,3.9922505659633316,,1.9438473318987235,,4.874365225434303,,7.875,-0.13860002160072327,-0.008374384604394436,0.01453947409754619,1.4362156055867672,1179648,4200,576,36,-137.92142,0.01577791477320716,-0.0021207839003182017,4.525590941309929,-107.57562,0.024724006216274574,-0.0018313710912480018,4.658603915572167,,,0.95,0.9,both,0.4484187454341836,0.3861838495306686,0.804290348448939,0.0,-107.375595,2293.8943659543033,-137.92142
8,1784820605.9289243,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.59287286363542,,6.568558622035198,,9.941978516988456,,1.2436462407931685,,4.174390370491892,,2.2096562109072693,,4.942327255383134,,8.375,-0.06949207931756973,-0.00010589102748781443,0.008361526517546736,1.4392645433545113,1343488,4488,656,41,-130.05403,0.012937809171853587,-0.002479579209466465,4.344802513718605,-107.499466,0.0281721857492812,-0.0011800359956396279,4.465804094076157,,,0.95,0.9,both,0.49626251795239523,0.5076188946108832,0.7491252497554377,0.0,-110.593285,2288.1124961316405,-130.05403
9,1784820675.8835666,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.509882317390293,,5.444771746173501,,9.382416598498821,,0.6953375060111284,,3.8516240189783275,,1.732411451288499,,4.800174432806671,,7.4375,-0.2074057161808014,-0.004489279701374471,0.02531345012539532,1.4526104964315891,1507328,4802,736,46,-133.05281,0.01886230647796765,-0.002156734366144519,4.196372246742248,-106.090256,0.03326453310437501,-0.0021176339607336557,4.316002771258354,,,0.95,0.9,both,0.5269463063486974,0.49635489520550047,0.5380185648673171,0.0,-104.77419,2342.0900137724816,-133.05281
