# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_lambda_skill,dps_lambda_target,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,sps,target_agent_return
0,1784388028.9204602,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.922566997411195,,5.362689652858535,,6.8623841046355665,,1.877050187671557,,2.6668739647138864,-2.3544986248016357,-0.0020946342265233397,1.2035199329257011,1.4214709587395191,32768,95,16,1,-140.14893,0.052066230005584656,-0.009623245839611628,5.660269400477409,-111.877014,0.18906055805273353,-0.0023121072503272445,5.67255602478981,,,0.95,0.88,0.3775779683958974,0.35613110788793223,3.190820136485882,0.0,-137.02141,1890.8165589059336,-140.14893
1,1784388097.834841,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.331589141896984,,5.612759843934327,,7.220602720975876,,2.0591024582390673,,2.88957773099537,-1.571007490158081,-0.012897628374048509,0.535910541890189,1.4289640225470066,196608,404,96,6,-128.3837,0.0216943271108903,-0.009059947166679194,5.429945021867752,-114.83229,0.09575554057955742,-0.0033998936571151715,5.584251171350479,,,0.95,0.88,0.31105335521132993,0.2302438435024082,2.5894755899880595,0.0,-121.93331,2377.444492607641,-128.3837
2,1784388168.376826,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.196033159503713,,5.498284706380218,,7.343204668490216,,1.9014352477388456,,2.7998631343944,-0.8733990788459778,0.0005525274900719523,0.1727443652926013,1.4355591498315334,360448,1137,176,11,-115.62964,0.09686606335453689,-0.003930155553825898,5.356864354014396,-114.94389,0.062034647818654774,-0.0028298173761868383,5.420823884010315,,,0.95,0.88,0.32029296591128376,0.27058413599948317,1.8425046337486863,0.0,-125.61958,2322.5852195700636,-115.62964
3,1784388237.9209049,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.887835084013204,,5.3857897378038615,,6.934382112696767,,1.7801328011555597,,2.6454193901154213,-0.2816426753997803,0.0005517407371371519,0.06063160969642922,1.4372958429157734,524288,1664,256,16,-137.65848,0.03187839286983944,-0.00289008021063637,5.279635709524155,-109.728714,0.0679098527180031,-0.0027519682378624568,5.3303464472293856,,,0.95,0.88,0.3021088277767568,0.28070438703889017,0.9282327069662175,0.0,-114.30784,2355.9173278080325,-137.65848
4,1784388306.563392,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.022547019878402,,5.555421146331355,,7.191409007413313,,1.9290033495490206,,2.7934474856592715,-0.41456952691078186,-0.017563644447363913,0.14680300280451775,1.4383191913366318,688128,2025,336,21,-118.914444,0.0328855829895474,-0.0028624390382901766,5.125722017884255,-110.18309,0.06347149091307074,-0.0018526873493101448,5.209294477105141,,,0.95,0.88,0.3035241651682575,0.32369158933711273,1.3945591194096765,0.0,-117.51919,2386.8605694321586,-118.914444
5,1784388375.964537,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.123591973679139,,5.609255172050325,,7.122097240760922,,2.0265400356583996,,2.7247787218075246,0.07232976704835892,-0.000724861107300967,0.19550769461784512,1.4405406080186367,851968,2322,416,26,-118.70857,0.018735155183821916,-0.0030717893911059945,4.941939741373062,-115.58417,0.02575224373722449,-0.0027289558740449136,5.038267713785172,,,0.95,0.88,0.360501871236905,0.3723019951480705,2.092839233432392,0.0,-110.63283,2360.767079265944,-118.70857
6,1784388445.1970935,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.336696608457714,,5.741617456777021,,7.258018360007554,,2.0563202353660017,,2.877831626799889,-0.10516941547393799,0.0003838832344627008,0.040340785519219935,1.4413539841771126,1015808,2634,496,31,-120.8918,0.014451643152278848,-0.002767932476126589,4.694707989692688,-110.996544,0.021988730964949355,-0.002525878786400426,4.822379270195961,,,0.95,0.88,0.37921422800080823,0.40458906312145765,0.8553391918497532,0.0,-110.56836,2366.5171344152527,-120.8918
7,1784388512.935084,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.2321470847819,,5.7977304281666875,,7.133529272861779,,1.995320872636512,,2.862110848771408,-0.2932446599006653,-0.014706013163959142,0.19613482151180506,1.4437211453914642,1179648,2947,576,36,-116.34164,0.015838060050737113,-0.0017143868390121497,4.436581036448478,-109.228134,0.029230289871338754,-0.001293018413707614,4.583039647340774,,,0.95,0.88,0.4180784117311328,0.48798996571043374,1.8452122871246626,0.0,-106.65774,2418.729732696067,-116.34164
8,1784388582.3425426,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,6.892404112732038,,5.354860535822809,,6.985698331613094,,1.8620671175885946,,2.7208516066893935,-0.1389123648405075,-0.006993050206801854,0.03410205733962357,1.4436891116201878,1343488,3240,656,41,-113.79374,0.01641526377061382,-0.0035783280567557086,4.192319023609161,-108.054276,0.022317878081230445,-0.0022341101757774595,4.352418845891952,,,0.95,0.88,0.5094766237500603,0.4974649521091733,0.9528912600356209,0.0,-120.59723,2360.5555654916416,-113.79374
9,1784388652.2578268,,7.200000000000002,,7.200000000000002,,5.599999999999999,,5.599999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.82,,2.82,,7.534567560534924,,5.952121997950599,,7.590051922947168,,2.158614672254771,,2.994176317122765,-0.3863755166530609,0.0018783779341902118,0.035970874479971826,1.4534682482481003,1507328,3569,736,46,-120.60686,0.020408616686472668,-0.00233370069618104,4.006737588346004,-104.633934,0.049013715202454476,-0.0019435820257058367,4.100874426960945,,,0.95,0.88,0.5326952830689117,0.513537614071452,1.035130193083475,0.0,-111.37038,2343.4063350580227,-120.60686
