# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,target_agent_return,target_solved_rate,sps
13,1784464002.0951555,,5.418348734965548,,3.624990859243553,,6.786280982196331,,1.3544167531654239,,3.041236801072955,,0.9151773224584758,,2.429306134581566,,4.0,0.0,0.0,0.0,0.0,2162688,1734,1056,66,-90.96478,0.06859491905197501,-0.0012247643688169773,3.853714320063591,0,0.0,0.0,0.0,,,0.773805411055446,0,0,0.0,-80.9503,-80.95030212402344,0.0,2925.7223264364156
14,1784464060.1411188,,3.958518881117925,,4.2768913228064775,,6.671714670956135,,1.1827322344470304,,2.6452520210295916,,0.9249094559345394,,2.5628394866362214,,4.3125,0.0,0.0,0.0,0.0,2326528,1807,1136,71,-92.84642,0.0727169378194958,-0.00220451058994513,3.6950377568602564,0,0.0,0.0,0.0,,,0.812647290288982,0,0,0.0,-99.75063,-99.7506332397461,0.0,2822.5913794248427
15,1784464115.5793567,,5.108655667863786,,3.4090259356889874,,6.260393094271421,,1.382125080563128,,2.9364859592169523,,1.0401577595621347,,2.5212790677323937,,5.0,0.0,0.0,0.0,0.0,2490368,1876,1216,76,-94.62527,0.08281751021277159,-0.0011090080821304581,3.5958404570817946,0,0.0,0.0,0.0,,,0.8664981718865018,0,0,0.0,-91.59812,-91.5981216430664,0.0,2955.3614583887716
16,1784464172.7611308,,5.322949783876538,,3.8302441127598286,,6.694848891347647,,1.1448029729217524,,3.132436666637659,,0.7823166692105588,,2.758946279063821,,4.5625,0.0,0.0,0.0,0.0,2654208,1949,1296,81,-88.93575,0.06956111756153405,-0.0006943820044398308,3.4595398902893066,0,0.0,0.0,0.0,,,0.8999334169278566,0,0,0.0,-85.82158,-85.82157897949219,0.0,2865.2462731612154
17,1784464231.0485117,,3.1003510623486363,,3.6574747413396835,,6.080842837691307,,0.9881340817082673,,2.6906392793171108,,1.0332119348458946,,2.6463228464126587,,4.75,0.0,0.0,0.0,0.0,2818048,2020,1376,86,-92.14716,0.07866126212757081,-0.0008690469592693261,3.355483505129814,0,0.0,0.0,0.0,,,0.8951458095670347,0,0,0.0,-78.1576,-78.15760040283203,0.0,2810.9001863804942
18,1784464286.7006717,,3.976236674352549,,4.398877453058958,,5.909997634589672,,0.8771640161285177,,2.379830186255276,,0.9854195464868098,,2.187568871304393,,4.1875,0.0,0.0,0.0,0.0,2981888,2088,1456,91,-90.73759,0.06478249055799097,-0.0012188188513391652,3.2137606129050256,0,0.0,0.0,0.0,,,0.8998076490798121,0,0,0.0,-91.37781,-91.3778076171875,0.0,2944.0007763622802
19,1784464347.950241,,5.245755081996322,,3.810591399669647,,6.691916212439537,,0.9726158995181322,,2.340290683787316,,0.9640522132394835,,2.749109868891537,,4.75,0.0,0.0,0.0,0.0,3145728,2164,1536,96,-91.35746,0.08006912355776877,-0.0008890771699952893,3.1046107023954392,0,0.0,0.0,0.0,,,0.9626725591342226,0,0,0.0,-85.2207,-85.220703125,0.0,2674.9601418673005
20,1784464405.5855622,,4.307665731757879,,3.0024806363508105,,6.130117066204548,,1.3644967135041952,,2.168208369985223,,1.1381181119941175,,2.595415450632572,,4.8125,0.0,0.0,0.0,0.0,3309568,2242,1616,101,-92.086365,0.07189789181575179,-0.001527494830224896,3.028591114282608,0,0.0,0.0,0.0,,,0.9551325312552621,0,0,0.0,-78.33056,-78.33055877685547,0.0,2842.698357250787
21,1784464465.9944859,,4.222882210742682,,4.043203108012676,,6.613373402506113,,0.7640856539364904,,2.5521241687238216,,1.182420311961323,,2.2710292879492044,,4.0625,0.0,0.0,0.0,0.0,3473408,2316,1696,106,-88.85041,0.06959408363327384,-0.0005064487151685171,2.9372288465499876,0,0.0,0.0,0.0,,,0.9580054230250189,0,0,0.0,-90.95396,-90.9539566040039,0.0,2712.1819885408736
22,1784464524.5536969,,4.434367497451603,,3.0437198700383306,,5.873273350298405,,1.1049884799285792,,2.476805984042585,,1.26019791001454,,2.7684233617037535,,4.625,0.0,0.0,0.0,0.0,3637248,2388,1776,111,-86.29472,0.07405217892955988,-0.0009292648377595469,2.8277644395828245,0,0.0,0.0,0.0,,,0.9796972077286007,0,0,0.0,-78.95873,-78.95873260498047,0.0,2797.8519174956214
23,1784464585.3135633,,4.728191392496228,,3.790866215713322,,6.731577105820179,,1.2106934207258746,,2.7434402564540505,,1.1111670080572367,,2.724898981396109,,4.5,0.0,0.0,0.0,0.0,3801088,2463,1856,116,-89.52537,0.07672229635063559,-0.001061180731630884,2.7245930254459383,0,0.0,0.0,0.0,,,1.0054260010091727,0,0,0.0,-81.57966,-81.57965850830078,0.0,2696.5186368669156
24,1784464643.6000674,,4.450912344036624,,2.935696698841639,,6.009497344493866,,0.8543003926752135,,2.1644213423132896,,1.112883659079671,,2.7237984258681536,,3.8125,0.0,0.0,0.0,0.0,3964928,2539,1936,121,-90.3049,0.06484708990901708,-0.0009799604464205912,2.6318086057901384,0,0.0,0.0,0.0,,,1.104229617319794,0,0,0.0,-68.6365,-68.6364974975586,0.0,2810.9402442477503
25,1784464703.5612097,,4.953725025989115,,3.5479154603672214,,6.748253703117371,,1.065513197548853,,2.202749866992235,,0.817668374220375,,2.2574146278202534,,4.4375,0.0,0.0,0.0,0.0,4128768,2609,2016,126,-90.3157,0.06008813024964184,-0.000560146776115289,2.5246695950627327,0,0.0,0.0,0.0,,,1.1783040395102846,0,0,0.0,-94.772446,-94.77244567871094,0.0,2732.438027546491
26,1784464761.7839315,,3.9607850652828347,,3.2045496464706957,,5.7834868133068085,,1.4701604354195297,,2.6012296602129936,,1.0219242040329846,,2.877366552129388,,4.5625,0.0,0.0,0.0,0.0,4292608,2684,2096,131,-88.22531,0.06938753195572644,-0.0003064120523049496,2.4542372822761536,0,0.0,0.0,0.0,,,1.1017272809226117,0,0,0.0,-77.075745,-77.07574462890625,0.0,2814.0220145343997
27,1784464823.0255575,,3.921296438202262,,1.9800790026783943,,7.277987468987703,,1.3372794800670817,,2.646091799251735,,1.177390695156646,,2.9289154056459665,,4.3125,0.0,0.0,0.0,0.0,4456448,2758,2176,136,-88.426506,0.06373095028102398,-0.0008573606646677945,2.358704610168934,0,0.0,0.0,0.0,,,1.1082502377046481,0,0,0.0,-79.58215,-79.5821533203125,0.0,2675.302446165364
