# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-2a-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784265967.6937482,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,32768,142,158,1,-113.572525,0.3453133925795555,-0.00198056810622802,5.679167547821999,0,0.0,0.0,0.0,,,0.3804251726453381,0,0,0.0,-114.10199,-114.10198974609375,0.0,936.0028714076591
1,1784266117.402206,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,196608,1004,1100,6,-127.971275,0.1524395543616265,-0.004484181484440341,5.661133828759193,0,0.0,0.0,0.0,,,0.42905351091373917,0,0,0.0,-118.85814,-118.85813903808594,0.0,1094.3930795643714
2,1784266281.4143848,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,360448,1376,1552,11,-125.196754,0.04449638535734266,-0.004499059487716295,5.58656065762043,0,0.0,0.0,0.0,,,0.42715025122045613,0,0,0.0,-124.811356,-124.81135559082031,0.0,998.9502002324235
3,1784266429.3470283,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,524288,1485,1741,16,-135.73555,0.016059153410606087,-0.002231303695589304,5.443016821146012,0,0.0,0.0,0.0,,,0.41641162018983924,0,0,0.0,-130.12553,-130.1255340576172,0.0,1107.531146078371
4,1784266566.642772,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,688128,1580,1916,21,-138.68071,0.006024151560268365,-0.0021555792598519476,5.189361810684204,0,0.0,0.0,0.0,,,0.42541453526149564,0,0,0.0,-137.80414,-137.80413818359375,0.0,1193.3362838209368
5,1784266715.7251468,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,851968,1675,2091,26,-139.75002,0.012127654123469256,-0.0024648112477734683,4.9676085293293,0,0.0,0.0,0.0,,,0.4637260271433198,0,0,0.0,-157.81468,-157.81468200683594,0.0,1098.9898810661255
6,1784266862.981361,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,1015808,1759,2255,31,-150.72672,0.009486075295717456,-0.0027696551725966854,4.720093154907227,0,0.0,0.0,0.0,,,0.47036712991201346,0,0,0.0,-135.73967,-135.7396697998047,0.0,1112.6184650400567
7,1784267018.2752886,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,1179648,1843,2419,36,-118.80177,0.008067588094854727,-0.002451136507443152,4.5097574353218075,0,0.0,0.0,0.0,,,0.5365126613915797,0,0,0.0,-118.42529,-118.42529296875,0.0,1055.0315792035685
8,1784267172.4373078,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,1343488,1926,2582,41,-114.78693,0.008181835536379366,-0.0021868236333830284,4.265635114908219,0,0.0,0.0,0.0,,,0.5875580499467599,0,0,0.0,-112.44851,-112.4485092163086,0.0,1062.7783397368585
9,1784267325.9771826,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,1507328,2007,2743,46,-127.42045,0.007598574015719351,-0.0010119031809153966,3.9616823002696036,0,0.0,0.0,0.0,,,0.6261446051325843,0,0,0.0,-127.25869,-127.2586898803711,0.0,1067.0840389150287
10,1784267481.6420095,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,1671168,2088,2904,51,-107.633804,0.006996091044857167,-0.000705442827893421,3.707239608466625,0,0.0,0.0,0.0,,,0.6708544516334933,0,0,0.0,-101.9405,-101.94049835205078,0.0,1052.5177352091705
11,1784267643.5400908,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,1835008,2169,3065,56,-99.27825,0.005251137531013228,-0.001957955685793422,3.4298361495137213,0,0.0,0.0,0.0,,,0.7351912703846312,0,0,0.0,-98.94669,-98.94669342041016,0.0,1011.9947308088313
12,1784267789.4178524,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,1998848,2250,3226,61,-93.87434,0.008346522625652142,-0.00038357678422471506,3.067751145362854,0,0.0,0.0,0.0,,,0.7656528976580225,0,0,0.0,-91.19015,-91.19014739990234,0.0,1123.1321370455626
13,1784267934.682109,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,2162688,2330,3386,66,-86.171486,0.00640749933954794,-0.0018742987886071205,2.7270782187581064,0,0.0,0.0,0.0,,,0.7857536238134302,0,0,0.0,-81.544785,-81.54478454589844,0.0,1127.8755701630898
14,1784268070.536524,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,2326528,2410,3546,71,-78.8387,0.00532921524863923,-0.002723407992743887,2.3939285397529604,0,0.0,0.0,0.0,,,0.9437941902986211,0,0,0.0,-85.24588,-85.24588012695312,0.0,1205.9968271277469
15,1784268215.4791977,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,2490368,2490,3706,76,-93.06801,0.01011695279739797,0.00015825757727725432,2.05113820284605,0,0.0,0.0,0.0,,,1.109956093921434,0,0,0.0,-101.37077,-101.37077331542969,0.0,1130.3779312030138
16,1784268375.5427446,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,2654208,2575,3871,81,-79.88821,0.010878253597184084,-0.0008949932205723598,1.848359679430723,0,0.0,0.0,0.0,,,1.1325066028759987,0,0,0.0,-72.9707,-72.970703125,0.0,1023.5934992798439
17,1784268516.2206056,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,2818048,2656,4032,86,-77.32506,0.009116985513537656,-0.0019028949915082193,1.592662836611271,0,0.0,0.0,0.0,,,1.141049606627046,0,0,0.0,-63.25545,-63.25545120239258,0.0,1164.646577539506
18,1784268657.3062105,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,2981888,2736,4192,91,-62.427544,0.0049484492556075566,-0.001088809676002711,1.3184817411005496,0,0.0,0.0,0.0,,,1.3947490408569383,0,0,0.0,-66.00597,-66.00596618652344,0.0,1161.28082469747
19,1784268808.2866178,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,3145728,2817,4353,96,-56.218525,0.004144302141503431,-0.0006595517450477927,1.0607339479029179,0,0.0,0.0,0.0,,,1.4980210935728762,0,0,0.0,-53.84319,-53.84318923950195,0.0,1085.1739090232725
20,1784268961.1743264,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,3309568,2897,4513,101,-75.66402,0.01609493835712783,-9.291692986153066e-05,0.8480280585587024,0,0.0,0.0,0.0,,,1.2936371269449896,0,0,0.0,-66.122665,-66.12266540527344,0.0,1071.636151957758
21,1784269112.3104742,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,3473408,2984,4680,106,-92.28375,0.016929767018882557,0.0005602547767921351,0.7298176556825637,0,0.0,0.0,0.0,,,1.510022117705151,0,0,0.0,-82.669914,-82.66991424560547,0.0,1084.0557036088976
22,1784269240.4619858,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,3637248,3074,4850,111,-88.89931,0.01905776057392359,0.00012700771621894092,0.5941361106932164,0,0.0,0.0,0.0,,,1.3951904515851374,0,0,0.0,-84.6946,-84.6946029663086,0.0,1278.486601802876
23,1784269367.967448,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,3801088,3163,5019,116,-88.05937,0.019914788141613828,0.00136268358619418,0.4579044409096241,0,0.0,0.0,0.0,,,1.5346297997542775,0,0,0.0,-89.377235,-89.37723541259766,0.0,1284.9646314911595
24,1784269521.5973363,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,3964928,3256,5192,121,-80.99562,0.015950261242687704,-0.00018506733031244948,0.37442623525857927,0,0.0,0.0,0.0,,,1.4632707493157961,0,0,0.0,-68.851776,-68.85177612304688,0.0,1066.4590979989157
25,1784269667.2406814,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,4128768,3340,5356,126,-75.642685,0.019097687635803596,0.0017091555797378532,0.18449323922395705,0,0.0,0.0,0.0,,,1.638136922286994,0,0,0.0,-57.822395,-57.82239532470703,0.0,1124.9398408199338
26,1784269796.937656,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,4292608,3422,5518,131,-81.12998,0.011755291803274304,-0.0011828539238194935,0.03862821981310845,0,0.0,0.0,0.0,,,1.6933456275034644,0,0,0.0,-54.6645,-54.66450119018555,0.0,1263.252329696944
27,1784269923.7240689,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,4456448,3509,5685,136,-86.71462,0.01584014636464417,-7.322663732338697e-05,-0.08311685398221016,0,0.0,0.0,0.0,,,1.7646108449271964,0,0,0.0,-73.05992,-73.05992126464844,0.0,1292.2520065692026
28,1784270071.9585266,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,4620288,3602,5858,141,-58.20101,0.013013510024757124,-0.00031312005594372747,-0.21837374195456505,0,0.0,0.0,0.0,,,1.8266040629218743,0,0,0.0,-53.266685,-53.266685485839844,0.0,1105.2760938481997
29,1784270203.141817,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,4784128,3686,6022,146,-68.216545,0.01017848836927442,-0.0002459884868585505,-0.3695930689573288,0,0.0,0.0,0.0,,,1.8544040117193152,0,0,0.0,-78.292046,-78.29204559326172,0.0,1248.9395448199814
30,1784270341.5348506,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,4947968,3769,6185,151,-41.59887,0.009940325294155627,0.0020427119598025456,-0.5354110389947891,0,0.0,0.0,0.0,,,2.0099116370891648,0,0,0.0,-65.00443,-65.00443267822266,0.0,1183.8746159420352
31,1784270475.0944157,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,5111808,3850,6346,156,-33.18406,0.003283732769341441,0.0002998599971760996,-0.7072664432227611,0,0.0,0.0,0.0,,,2.5036485543140103,0,0,0.0,-32.0366,-32.036598205566406,0.0,1226.7187066835336
32,1784270621.1257029,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,5275648,3930,6506,161,-68.07249,0.005343045952031389,0.0020881468182778916,-0.8444305762648583,0,0.0,0.0,0.0,,,2.1731298956326865,0,0,0.0,-51.578144,-51.57814407348633,0.0,1121.951392252256
33,1784270740.9602432,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,5439488,4018,6674,166,-48.665855,0.011298811971209943,0.0013823234927258453,-0.9884025372564793,0,0.0,0.0,0.0,,,2.360312366304709,0,0,0.0,-44.2205,-44.22050094604492,0.0,1367.2184026541038
34,1784270867.2310562,,7.200000000000002,,5.599999999999999,,7.200000000000002,,1.9800000000000002,,2.82,0.0,0.0,0.0,0.0,5603328,4103,6839,171,-41.013046,0.006933881467557512,0.0008039355714572593,-1.1187425330281258,0,0.0,0.0,0.0,,,2.3967572633119127,0,0,0.0,-38.379463,-38.37946319580078,0.0,1297.5287305955608
