# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,sps,target_agent_return
0,1784862778.3106487,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.818450456485152,,5.1628887873957865,,7.754125385079533,,2.136205246904865,,2.9808923832606524,-0.17075753211975098,0.0023204415920190513,0.3411257079569623,1.4189552403986454,1.0078074932098389,0.0,1.0016417503356934,-0.11931606382131577,0.00317720347084105,0.6546926498413086,0.6041778326034546,16,0.4210479259490967,4.770512580871582,0.13275569677352905,32768,432,16,1,-103.42057,0.6984559234231711,-0.001337652998336125,5.673250448703766,-117.00403,0.1385771573986858,-0.0024629968262161127,5.655890166759491,,,static,0.41183288623636916,0.3770228955991207,2.502909254997312,0.0,-109.34717,2028.965021679625,-103.42057
1,1784862857.8426883,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.850371963810176,,5.4531585026707035,,7.8277563457377255,,2.187874840106815,,3.171842976473272,-0.20584118366241455,0.0010872269922401756,0.1892656714480836,1.414551392197609,0.9507083296775818,0.9357760548591614,0.9190226197242737,-0.00991064216941595,0.001800570054911077,0.685761034488678,0.6009689569473267,96,0.35677918791770935,4.898200511932373,0.07471949607133865,196608,2469,96,6,-103.209045,0.13661507619544863,-0.005657239735592156,5.65860298871994,-120.74809,0.04556822574231774,-0.003812041562923696,5.647784325480461,,,static,0.529863669857507,0.34954738775410027,2.286939406113343,0.0,-109.26308,2060.049681299298,-103.209045
2,1784862937.6728306,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.295259571634233,,5.048975529964082,,7.254391123307869,,2.1420432860031724,,2.854460606817156,-0.14906401932239532,-0.0031198009091895074,0.0012511604072642513,1.4077709876000881,0.9128334522247314,0.9337495565414429,0.8571158647537231,-0.008323701098561287,0.008017043583095074,0.7662883996963501,0.6094105839729309,176,0.5231812000274658,4.519025802612305,0.026300763711333275,360448,2884,176,11,-172.8527,0.035401179559994486,-0.0036686106308479794,5.539320412278175,-123.97935,0.02096495688892901,-0.0031551090520224533,5.479539111256599,,,static,0.3667488218220021,0.3672683298124698,0.913851636738757,0.0,-135.18153,2052.3600155818226,-172.8527
3,1784863016.3855882,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.039914776221849,,4.711893929168582,,6.7177959070540965,,1.861746460199356,,2.609537387266755,-0.1424766182899475,-0.038934723765123636,0.002340504661333398,1.4171109832823277,0.7964826822280884,0.930483341217041,0.6534615755081177,-0.01968368887901306,0.00908887479454279,0.960578203201294,0.6182348728179932,256,0.47023090720176697,4.188178062438965,0.025071730837225914,524288,3123,256,16,-146.34932,0.006267782005306799,-0.004544278356479481,5.391787439584732,-135.00485,0.024102283758111298,-0.002821568716899492,5.348171743750572,,,static,0.38596082549951777,0.4016960818094823,0.8416597225189308,0.0,-133.99718,2081.491103152224,-146.34932
4,1784863093.41132,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.72868861630559,,5.08012749068439,,7.735573519254103,,2.088067540200427,,2.8555938759818673,-0.14575965702533722,-0.004186430320260115,0.008000972549780272,1.4098340310156345,0.6994420289993286,0.924728274345398,0.4948025941848755,0.0258537195622921,0.03223634138703346,1.3523955345153809,0.6191445589065552,336,0.4441598355770111,4.697609901428223,0.041001349687576294,688128,3349,336,21,-135.50516,0.025819277111440896,-0.003854321023391094,5.257068046927452,-124.99512,0.013915652496507391,-0.002679988707677694,5.090859973430634,,,static,0.3973242610922011,0.41985080380908535,0.8423269886070186,0.0,-129.23862,2127.081291257553,-135.50516
5,1784863172.6243324,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.6976327411830425,,5.312783749541268,,7.662693647202104,,2.199913420714438,,2.988536997116171,-0.17477813363075256,-0.016986721544526517,0.002897244856285397,1.4031510576605797,0.5882437229156494,0.918410062789917,0.44189679622650146,0.035312049090862274,0.025145504623651505,1.5408849716186523,0.617663562297821,416,0.4502163827419281,4.772312164306641,0.03255452588200569,851968,3562,416,26,-127.407776,0.022027124202577398,-0.0030327514454256744,5.068860965967178,-118.73643,0.010093893852899782,-0.0011879913829034195,4.7618015766143795,,,static,0.4599828424811484,0.4935842368610114,0.7250520638133189,0.0,-132.18419,2068.3470844147473,-127.407776
6,1784863250.0509336,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.7955857422202826,,4.450743780937046,,6.586067678872496,,1.775598039617762,,2.6292700603371486,-0.1099589467048645,-0.0011157380358781666,0.012120199076889548,1.4139572568237782,0.6040584444999695,0.9084433913230896,0.48848938941955566,-0.04748936742544174,0.15849339962005615,1.4329019784927368,0.6064656376838684,496,0.39636319875717163,4.047452926635742,0.026346348226070404,1015808,3739,496,31,-124.915665,0.011802391053061,-0.002121542044187663,4.865325072407723,-115.29872,0.013779198229894974,-0.003472989785223035,4.548244354128838,,,static,0.4327568337559624,0.47621331064384753,0.9657597597864953,0.0,-132.04117,2116.0700651379875,-124.915665
7,1784863326.375251,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.874686518218368,,4.353833908302477,,6.792185810394585,,1.868432235205546,,2.6142138564027846,-0.11447349190711975,-0.016072108803200535,0.012678931510890834,1.4182709120213985,0.4851452708244324,0.8830174803733826,0.3368130624294281,0.0165899395942688,0.16085787117481232,1.3844070434570312,0.5616217851638794,576,0.4795973300933838,4.10067081451416,0.02267848327755928,1179648,3910,576,36,-114.714806,0.01808076462475583,-0.0018838087184121833,4.646198979020118,-113.42916,0.011703731177840382,-0.0018952946840727237,4.28489684164524,,,static,0.463489943313394,0.5695694072115671,0.8463613490711774,0.0,-111.18544,2146.627285595134,-114.714806
8,1784863403.2126615,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,5.467210260336287,,5.072703734505922,,7.403916687268065,,2.051024231943302,,2.8865654659457505,-0.12934564054012299,-0.018461704516084865,0.002039328664977802,1.4189420379698277,0.5843003988265991,0.9473532438278198,0.5324889421463013,0.038313593715429306,0.0367615632712841,1.260286569595337,0.5117455720901489,656,0.4934307038784027,4.576284408569336,0.02483554743230343,1343488,4085,656,41,-112.37881,0.0068496187217533585,-0.0011184596820385194,4.50788525044918,-107.3338,0.021453792712418363,-0.001511843925982248,4.079996174573898,,,static,0.4962995333427946,0.5785836299171683,0.9812028842772383,0.0,-116.55144,2132.2949180353544,-112.37881
9,1784863480.1527913,,5.28,,5.28,,4.799999999999999,,4.799999999999999,,7.200000000000002,,7.200000000000002,,1.9800000000000002,,1.9800000000000002,,2.759999999999999,,2.759999999999999,,4.693395764101297,,4.424232758581638,,6.5974762020632625,,1.8153940338233951,,2.503719907719642,-0.13447687029838562,-0.006284303410211578,0.016492296774231363,1.4085917994379997,0.7038991451263428,0.9348185658454895,0.661557674407959,-0.06846034526824951,0.12001299113035202,1.0765728950500488,0.4860645532608032,736,0.40276461839675903,4.006843566894531,0.029374761506915092,1507328,4261,736,46,-109.459305,0.006437611886940431,-0.003559877209045226,4.314530450105667,-119.126175,0.03043246370507404,-0.0025588739474187603,3.880193607509136,,,static,0.5073373641481249,0.6469158966642313,0.859563826836375,0.0,-105.80326,2129.4477786331495,-109.459305
