# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,test_returns:BipedalWalker-MADS-POET-Rose-3a-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784172490.6425674,,5.394592294469476,,2.2391148190945387,,7.047378541901708,,1.2405613125156378,,2.6172466413117945,0.0,0.0,0.0,0.0,32768,42,16,1,-110.60803,0.14605913613922894,-0.002048886360717006,5.66174424290657,0,0.0,0.0,0.0,,,0.41031590802416973,0,0,0.0,-108.43374,-108.4337387084961,0.0,933.6641903635896
1,1784172650.912405,,3.9884159807115793,,4.456387292593718,,6.889418810606003,,1.674043817911297,,2.8486566245555878,0.0,0.0,0.0,0.0,196608,252,96,6,-103.63637,0.11238322542048991,-0.002672059719043318,5.629551258683205,0,0.0,0.0,0.0,,,0.36890952750393086,0,0,0.0,-102.9481,-102.9480972290039,0.0,1022.2759948697626
2,1784172808.7430835,,5.01094434177503,,4.523112075403333,,7.729206681251526,,1.8535368470475078,,3.4123234916478395,0.0,0.0,0.0,0.0,360448,457,176,11,-104.30452,0.10177037292160093,-0.0030452687686192805,5.583478942513466,0,0.0,0.0,0.0,,,0.36050686532110443,0,0,0.0,-110.6035,-110.60350036621094,0.0,1038.0746454394505
3,1784172972.5650427,,5.913491956889629,,4.137407809030265,,7.080306224524975,,2.034362665435765,,3.0505582224577665,0.0,0.0,0.0,0.0,524288,622,256,16,-101.4911,0.08757957427296788,-0.003141728075570427,5.484581145644188,0,0.0,0.0,0.0,,,0.39383495782544564,0,0,0.0,-152.42723,-152.42723083496094,0.0,1000.1099775983768
4,1784173118.1284192,,5.050639798864722,,4.441895381896757,,6.772180423140526,,2.0625440147705376,,3.144207913428545,0.0,0.0,0.0,0.0,688128,742,336,21,-109.98332,0.053745310218073425,-0.002425760863116011,5.342913144826889,0,0.0,0.0,0.0,,,0.4001209987365498,0,0,0.0,-136.77864,-136.7786407470703,0.0,1125.557824744057
5,1784173262.8241754,,5.285376785323024,,4.726070333272219,,6.990749854594469,,1.645464322064072,,2.9793129209429026,0.0,0.0,0.0,0.0,851968,838,416,26,-101.85668,0.04646832733415067,-0.0018607700927532277,5.220701637864113,0,0.0,0.0,0.0,,,0.41871768178925917,0,0,0.0,-142.7425,-142.74249267578125,0.0,1132.306944398406
6,1784173420.4562788,,5.594890750944614,,4.350461736321449,,6.991690639406443,,2.1991480654105544,,3.343763444572687,0.0,0.0,0.0,0.0,1015808,900,496,31,-103.87044,0.027255455742124467,-0.0022594095731619745,5.049912142753601,0,0.0,0.0,0.0,,,0.4488408194924679,0,0,0.0,-127.50547,-127.5054702758789,0.0,1039.3820927008132
7,1784173604.6913025,,5.095527525991201,,4.143912754952908,,7.110659331083298,,1.8089875858277082,,3.0444135796278715,0.0,0.0,0.0,0.0,1179648,951,576,36,-99.96894,0.026195057563018053,-0.0024354511639103293,4.847995665669441,0,0.0,0.0,0.0,,,0.4706801676685183,0,0,0.0,-116.52712,-116.5271224975586,0.0,889.2988470786187
8,1784173824.1483736,,4.932138486765325,,4.636003407649696,,6.951517499983311,,1.9542052689939737,,3.007042109966278,0.0,0.0,0.0,0.0,1343488,1007,656,41,-98.49535,0.027945701475255193,-0.002295381226576865,4.68454150557518,0,0.0,0.0,0.0,,,0.5547409031233324,0,0,0.0,-122.71765,-122.7176513671875,0.0,746.5697882334531
9,1784174058.1859567,,5.538186077028513,,4.972745184786618,,7.389084920287132,,1.3795520970597863,,2.949708690866828,0.0,0.0,0.0,0.0,1507328,1092,736,46,-104.59944,0.06065451297909021,-0.0015016393910627813,4.528172981739044,0,0.0,0.0,0.0,,,0.5873994493895502,0,0,0.0,-132.49484,-132.49484252929688,0.0,700.0584600761395
10,1784174281.8363903,,5.880574733018875,,4.475618796423078,,7.207956612110138,,1.9239795347675681,,3.255925076082349,0.0,0.0,0.0,0.0,1671168,1181,816,51,-95.93526,0.05964603286702186,-0.0007837448501959443,4.407392427325249,0,0.0,0.0,0.0,,,0.6023999234080739,0,0,0.0,-115.12978,-115.1297836303711,0.0,732.5717728707145
11,1784174505.876118,,4.701515221968293,,4.648929282557219,,7.085441639646888,,2.3515551118180156,,3.076512301340699,0.0,0.0,0.0,0.0,1835008,1266,896,56,-95.58436,0.053983880393207076,-0.0016984552377834917,4.277037814259529,0,0.0,0.0,0.0,,,0.6074235907923469,0,0,0.0,-106.065796,-106.0657958984375,0.0,731.2989255720584
12,1784174729.2197888,,5.7673159800469875,,4.328263103961945,,6.698763594031334,,2.200533300638199,,3.164983643218875,0.0,0.0,0.0,0.0,1998848,1349,976,61,-94.39378,0.06592985182069241,-0.0018425350077450275,4.14281157553196,0,0.0,0.0,0.0,,,0.6284702742402475,0,0,0.0,-104.375046,-104.37504577636719,0.0,733.5780473942594
13,1784174950.5531223,,5.564361196011305,,4.4259146600961685,,6.9540901854634285,,2.1108668006490916,,3.3349170070141554,0.0,0.0,0.0,0.0,2162688,1438,1056,66,-102.28026,0.07442065414506942,-0.001387434167554602,4.012525758147239,0,0.0,0.0,0.0,,,0.697471543060945,0,0,0.0,-94.24797,-94.24797058105469,0.0,740.2409121481147
14,1784175171.809164,,6.126995151862502,,4.111841144040227,,7.313598766922951,,1.8079441180452704,,2.9558695619925857,0.0,0.0,0.0,0.0,2326528,1524,1136,71,-92.63976,0.07854548473842442,-0.0011936784751014784,3.845290793478489,0,0.0,0.0,0.0,,,0.7402188053497586,0,0,0.0,-91.64671,-91.64671325683594,0.0,740.499492608324
15,1784175392.0771966,,5.5020104348659515,,4.434845298528671,,6.983568333089352,,1.9734355644322932,,3.4527919813990593,0.0,0.0,0.0,0.0,2490368,1604,1216,76,-92.71595,0.059115300956182185,-0.0016905417418456637,3.7439075231552126,0,0.0,0.0,0.0,,,0.7096057068821607,0,0,0.0,-94.28367,-94.2836685180664,0.0,743.8210823548181
16,1784175615.4175596,,5.693558875937015,,4.398083835840225,,7.062326837331057,,2.2760934848338366,,3.3522351179271936,0.0,0.0,0.0,0.0,2654208,1684,1296,81,-93.13026,0.06453693264629692,-0.0015077271513291635,3.664925093948841,0,0.0,0.0,0.0,,,0.7243988612416603,0,0,0.0,-85.7535,-85.75350189208984,0.0,733.5888955084512
17,1784175781.0111651,,4.955331441015005,,4.795279549434781,,7.082663383334875,,1.9981196848675609,,3.0213421769440174,0.0,0.0,0.0,0.0,2818048,1769,1376,86,-95.25497,0.0648276790510863,-0.002227853245858569,3.59134801030159,0,0.0,0.0,0.0,,,0.7231996635875243,0,0,0.0,-91.454056,-91.45405578613281,0.0,989.4101833990701
18,1784175933.3332665,,5.402720328420401,,4.64553221128881,,7.786146253347397,,1.6596098011359572,,3.128168908879161,0.0,0.0,0.0,0.0,2981888,1852,1456,91,-96.08565,0.06647171038202941,-0.001257518315105699,3.5007261246442796,0,0.0,0.0,0.0,,,0.761450306060363,0,0,0.0,-86.20854,-86.20854187011719,0.0,1075.6152487217232
19,1784176094.0274196,,5.712681021541357,,4.236956182867289,,7.330216635018587,,2.013609865680337,,3.5090177692472935,0.0,0.0,0.0,0.0,3145728,1939,1536,96,-90.96602,0.06528102853335441,-0.0019958638586103916,3.406488020718098,0,0.0,0.0,0.0,,,0.7699797392326634,0,0,0.0,-96.69444,-96.69444274902344,0.0,1019.5771408626742
20,1784176254.9556556,,4.895233595743775,,4.420471442863345,,6.400169283151627,,2.114180263597518,,3.349023051559925,0.0,0.0,0.0,0.0,3309568,2022,1616,101,-89.33821,0.0735838126624003,-0.001840010323212482,3.320744602382183,0,0.0,0.0,0.0,,,0.8040733856025678,0,0,0.0,-90.97263,-90.9726333618164,0.0,1018.0931638054088
21,1784176410.3167117,,5.14713566750288,,4.764868458732963,,7.624690216034651,,2.070783972449135,,3.522847667336464,0.0,0.0,0.0,0.0,3473408,2114,1696,106,-91.95982,0.0915652880910784,-0.0008814728207653388,3.2628616452217103,0,0.0,0.0,0.0,,,0.8595832144669002,0,0,0.0,-90.98313,-90.9831314086914,0.0,1054.5758068759721
22,1784176567.2391312,,5.307166017591953,,3.77747489255853,,7.375230714678764,,1.8904510943684727,,2.5629972154274583,0.0,0.0,0.0,0.0,3637248,2206,1776,111,-91.20995,0.06702768965624273,-0.0008016168168978766,3.20715696066618,0,0.0,0.0,0.0,,,0.8861805216168523,0,0,0.0,-95.34164,-95.34163665771484,0.0,1044.0826708185168
23,1784176727.3694832,,5.069836848415434,,4.011547463014722,,8.008075393736362,,1.9076857552863657,,3.199904505163431,0.0,0.0,0.0,0.0,3801088,2292,1856,116,-92.19049,0.06927106154616922,-0.0016231766596320086,3.1869302481412887,0,0.0,0.0,0.0,,,0.8495685935760344,0,0,0.0,-88.36579,-88.36579132080078,0.0,1023.1665577187189
24,1784176958.4730246,,5.450378246605396,,4.419036078033969,,7.6800088956952095,,1.9791959435679018,,3.140448173508048,0.0,0.0,0.0,0.0,3964928,2379,1936,121,-89.36255,0.0722751087276265,-0.0009572434428264387,3.135916967689991,0,0.0,0.0,0.0,,,0.860898486253799,0,0,0.0,-95.89487,-95.89486694335938,0.0,708.9462512097627
25,1784177176.8152018,,4.762095506303012,,4.866886921226978,,7.010572776198387,,2.461533402092755,,3.4586197044700384,0.0,0.0,0.0,0.0,4128768,2466,2016,126,-90.93578,0.07071381013374775,-0.0007728923868853599,3.040200564265251,0,0.0,0.0,0.0,,,0.8398284295181255,0,0,0.0,-85.48082,-85.48081970214844,0.0,750.3821903886595
26,1784177380.1224484,,4.752470292150974,,4.310211259871721,,7.223651632666588,,1.920678154565394,,2.9799262154847383,0.0,0.0,0.0,0.0,4292608,2556,2096,131,-91.299416,0.07617655487265437,-0.0007779510342516005,2.950973001122475,0,0.0,0.0,0.0,,,0.8746114393525986,0,0,0.0,-95.58175,-95.58174896240234,0.0,805.8734177587021
27,1784177579.3281186,,6.1014998238533735,,4.6122942585498095,,7.808051109313965,,1.5046775178052485,,2.8613778855651617,0.0,0.0,0.0,0.0,4456448,2647,2176,136,-92.66437,0.0679564846912399,-0.0004969803499989212,2.901230053603649,0,0.0,0.0,0.0,,,0.9585307042419509,0,0,0.0,-91.170166,-91.170166015625,0.0,822.4665494509105
28,1784177783.4677653,,5.8235277608036995,,4.797929069027305,,7.909727729856968,,1.830047151306644,,3.1678265146911144,0.0,0.0,0.0,0.0,4620288,2732,2256,141,-90.50998,0.0784259820356965,-0.0006255109299672767,2.8437202736735343,0,0.0,0.0,0.0,,,0.9180551699908139,0,0,0.0,-90.92201,-90.92201232910156,0.0,802.5879134795109
29,1784177991.3461914,,5.9316491754725575,,4.254230465739965,,6.902082487940788,,1.584132923744619,,2.922277497127652,0.0,0.0,0.0,0.0,4784128,2818,2336,146,-90.20882,0.0777598457178101,-0.0017249567885301077,2.8243557095527647,0,0.0,0.0,0.0,,,0.9245551322876977,0,0,0.0,-89.65044,-89.65043640136719,0.0,788.1529732593852
30,1784178203.9672499,,5.716088218614459,,4.124980324413627,,6.8888820707798,,2.0375493029132485,,2.8495187871158123,0.0,0.0,0.0,0.0,4947968,2905,2416,151,-88.56604,0.06678959843702614,-0.001181519303645473,2.7899789422750474,0,0.0,0.0,0.0,,,0.9407904519879885,0,0,0.0,-91.54012,-91.54012298583984,0.0,770.5727288872052
31,1784178408.3285072,,5.82543533295393,,4.80862595140934,,7.1721577644348145,,1.9339379761368036,,3.940497189760208,0.0,0.0,0.0,0.0,5111808,2992,2496,156,-91.24286,0.06830077131744475,-0.0007442653135512955,2.7312182620167733,0,0.0,0.0,0.0,,,0.9834066377208824,0,0,0.0,-91.87831,-91.87831115722656,0.0,801.7174876816108
32,1784178621.1133246,,4.611043902114034,,4.287307895720005,,7.3686376959085464,,1.8619959871284664,,3.004490276798606,0.0,0.0,0.0,0.0,5275648,3076,2576,161,-89.64136,0.06888263490982353,-0.0008840484981192276,2.677223098278046,0,0.0,0.0,0.0,,,0.9991648802429942,0,0,0.0,-97.13586,-97.13585662841797,0.0,769.979746642511
33,1784178826.6872213,,5.573755037039518,,4.5184175577014685,,7.026777528226376,,1.6918935847934335,,2.5791003473568708,0.0,0.0,0.0,0.0,5439488,3161,2656,166,-88.00972,0.06603857476729899,-0.0007228380258311517,2.5455998152494432,0,0.0,0.0,0.0,,,1.0280300598781935,0,0,0.0,-90.27888,-90.27887725830078,0.0,796.9883415386834
34,1784178978.685985,,4.5867846347391605,,3.7858847191091627,,6.821744292974472,,1.6931170606403612,,3.0158189265057445,0.0,0.0,0.0,0.0,5603328,3238,2736,171,-89.51202,0.07712016890291125,-0.0006352317170239985,2.4738309741020204,0,0.0,0.0,0.0,,,0.9729196228500143,0,0,0.0,-98.55036,-98.55036163330078,0.0,1077.9036324249785
35,1784179124.6039143,,5.070618838071823,,4.692702684551477,,6.810658015310764,,1.856948429485783,,3.0112148262560368,0.0,0.0,0.0,0.0,5767168,3317,2816,176,-90.368484,0.07585457272361965,-0.0009001586397062056,2.412068732082844,0,0.0,0.0,0.0,,,1.0162497584110408,0,0,0.0,-96.4395,-96.43949890136719,0.0,1122.8228770968913
36,1784179265.7989347,,5.150745864957571,,4.767875433899462,,7.7145568653941154,,1.7458774289116263,,2.883149590343237,0.0,0.0,0.0,0.0,5931008,3398,2896,181,-85.45309,0.06947917500510811,-0.0007482481305487454,2.347805643081665,0,0.0,0.0,0.0,,,1.073890127061289,0,0,0.0,-90.78524,-90.78524017333984,0.0,1160.3810263552332
37,1784179427.3119268,,5.082301821094006,,3.564493346493691,,6.665762308984995,,1.8505444703623652,,3.1156719103455544,0.0,0.0,0.0,0.0,6094848,3475,2976,186,-85.457466,0.0721317952265963,-0.0005015792696212884,2.292777794599533,0,0.0,0.0,0.0,,,1.1317597130282435,0,0,0.0,-90.51023,-90.5102310180664,0.0,1014.407425135609
38,1784179575.0393536,,5.653138160705566,,3.940210361033678,,7.215672191232443,,1.6343841911293566,,2.6530336681753397,0.0,0.0,0.0,0.0,6258688,3559,3056,191,-89.04224,0.06889129765331745,-0.0016377581545384602,2.202837084233761,0,0.0,0.0,0.0,,,1.0440984419279409,0,0,0.0,-99.81096,-99.81095886230469,0.0,1109.0697441460798
39,1784179713.9325542,,4.691190905869007,,3.9469224214553833,,6.8237545900046825,,1.566923294449225,,2.9427932668477297,0.0,0.0,0.0,0.0,6422528,3643,3136,196,-87.22986,0.06534582218155265,-0.0008015743806026876,2.1174112200737,0,0.0,0.0,0.0,,,1.0901442383577478,0,0,0.0,-100.68471,-100.68470764160156,0.0,1179.611248129804
40,1784179857.9718006,,4.6782892709597945,,4.532715938985348,,6.855602394789457,,1.3755876733921468,,3.0318451020866632,0.0,0.0,0.0,0.0,6586368,3722,3216,201,-89.60188,0.07470222432166337,-0.0005175844795303419,2.0678007319569587,0,0.0,0.0,0.0,,,1.1516334124771028,0,0,0.0,-93.29225,-93.29225158691406,0.0,1137.467776237923
41,1784180034.9816055,,5.59915192425251,,4.093153588473797,,6.535827573388815,,1.8703870824538171,,3.22785971686244,0.0,0.0,0.0,0.0,6750208,3795,3296,206,-86.28847,0.0711556117516011,2.1647485846187918e-05,1.9912692308425903,0,0.0,0.0,0.0,,,1.2090526201052665,0,0,0.0,-99.09252,-99.09252166748047,0.0,925.5983998631514
42,1784180264.4269488,,5.606385162100196,,3.7568226212169975,,7.328107040375471,,1.904041268862784,,2.927270196378231,0.0,0.0,0.0,0.0,6914048,3875,3376,211,-86.89193,0.08162149651907384,-0.0007953414649819023,1.948061852902174,0,0.0,0.0,0.0,,,1.249617242338317,0,0,0.0,-90.78924,-90.78923797607422,0.0,714.0698588755049
43,1784180497.4263248,,6.112625394016504,,4.12614821922034,,6.908682845532894,,1.6699270105164032,,2.9045630991458893,0.0,0.0,0.0,0.0,7077888,3952,3456,216,-86.992,0.08512702693697065,-0.00045171806123107673,1.8455207459628582,0,0.0,0.0,0.0,,,1.2534849988799177,0,0,0.0,-86.558945,-86.55894470214844,0.0,703.1778426904585
44,1784180696.7656126,,5.756704807281494,,3.593926914036274,,6.38876099139452,,1.7676010844297707,,3.0904803052544594,0.0,0.0,0.0,0.0,7241728,4023,3536,221,-84.61805,0.07697586501017213,-0.0016003673103114125,1.8155574716627598,0,0.0,0.0,0.0,,,1.2566957354315988,0,0,0.0,-96.037094,-96.03709411621094,0.0,821.9152399412934
45,1784180893.5941262,,5.459132480900735,,3.9050190430134535,,6.779475919902325,,1.5431227831868455,,2.807333255186677,0.0,0.0,0.0,0.0,7405568,4092,3616,226,-87.24291,0.07490693056024611,-0.00067924815666629,1.714547484368086,0,0.0,0.0,0.0,,,1.2297033086420381,0,0,0.0,-98.01167,-98.01167297363281,0.0,832.3999435201944
46,1784181126.5675695,,6.069185761734843,,4.565741121768951,,7.566507235169411,,1.8814994697459042,,2.772627789527178,0.0,0.0,0.0,0.0,7569408,4161,3696,231,-89.65146,0.07287771990522743,-0.0010646421142155305,1.6369868732988835,0,0.0,0.0,0.0,,,1.2831476709528136,0,0,0.0,-92.534744,-92.53474426269531,0.0,703.2560846580692
