# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_stair_steps,track_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Medium-Eval-v0,test_returns:BipedalWalker-MADS-Medium-Eval-v0,target_agent_return,target_solved_rate,sps
0,1784900015.0375757,,4.559101792983711,,1.8398905033245683,,5.9383006021380424,,1.6940289799822494,,3.3298036048654467,,1.9733332481700927,,3.0606346763670444,,4.375,0.0,0.0,0.0,0.0,32768,49,16,1,-108.13993,0.1490277550648898,-0.002717310230946168,5.67944727241993,0,0.0,0.0,0.0,,,0.35973705873836886,0,0,0.0,-115.97599,-115.97599029541016,0.0,3898.625904711394
1,1784900053.8968933,,5.288316626101732,,3.387706980574876,,6.635234663262963,,1.3626481941901147,,3.464624509215355,,2.553805442294106,,3.4097290853969753,,5.375,0.0,0.0,0.0,0.0,196608,302,96,6,-108.29598,0.11599001763388514,-0.0021086828084662555,5.6613806873559955,0,0.0,0.0,0.0,,,0.3516857037520455,0,0,0.0,-116.9434,-116.94339752197266,0.0,4216.231464016708
2,1784900094.5907116,,4.331863334809896,,2.9037540056742728,,7.211945503950119,,1.1599001998547465,,2.9486922919750214,,2.13428522227332,,4.140992723405361,,4.8125,0.0,0.0,0.0,0.0,360448,528,176,11,-103.15946,0.10687049007974565,-0.002475948981009424,5.647312143445015,0,0.0,0.0,0.0,,,0.33865485207504636,0,0,0.0,-140.21877,-140.21876525878906,0.0,4026.1693181405303
3,1784900136.9748242,,3.8548370089847594,,4.070394319132902,,6.020316404756159,,1.4081363851437345,,3.3830829756334424,,1.8136592290829867,,3.3787616482004523,,5.5625,0.0,0.0,0.0,0.0,524288,753,256,16,-102.833534,0.09906469369307161,-0.0023055380857840645,5.565805327892304,0,0.0,0.0,0.0,,,0.3576669236846771,0,0,0.0,-102.8242,-102.82420349121094,0.0,3865.597299019166
4,1784900179.6318808,,7.790314462035894,,2.93504198663868,,5.96541247330606,,1.578986004460603,,3.658769866451621,,1.588233330694493,,3.338418062776327,,4.0,0.0,0.0,0.0,0.0,688128,974,336,21,-103.89526,0.09616593248210847,-0.002307305396243464,5.500635704398155,0,0.0,0.0,0.0,,,0.37710907345861266,0,0,0.0,-102.52214,-102.52214050292969,0.0,3840.8628488471572
5,1784900222.1334195,,4.067683194298297,,4.390293590258807,,7.4506220780313015,,1.9040781102376059,,3.882359266281128,,1.2623520311899483,,3.424362540245056,,4.75,0.0,0.0,0.0,0.0,851968,1187,416,26,-102.29142,0.09984436444938183,-0.002066807821393013,5.391616931557655,0,0.0,0.0,0.0,,,0.3894606387049082,0,0,0.0,-102.89748,-102.89747619628906,0.0,3854.918945029036
6,1784900266.3333726,,5.269198101013899,,3.4976920625194907,,6.97944690939039,,0.882748950534733,,2.6858812267892063,,1.2235520733520389,,3.6659046076238155,,3.6875,0.0,0.0,0.0,0.0,1015808,1388,496,31,-102.45549,0.09272843254730105,-0.0017264004476601259,5.298690649867058,0,0.0,0.0,0.0,,,0.40591313232844345,0,0,0.0,-97.792336,-97.7923355102539,0.0,3706.7945158812977
7,1784900310.031059,,5.297721659298986,,3.877114688511938,,7.254635039716959,,2.2308275918476284,,3.98856392595917,,1.1370515206363052,,3.1816097837872803,,5.0625,0.0,0.0,0.0,0.0,1179648,1586,576,36,-99.87102,0.09283770364709198,-0.0024232469833805224,5.210260674357414,0,0.0,0.0,0.0,,,0.4273104081207856,0,0,0.0,-97.96346,-97.96346282958984,0.0,3749.3942045142576
8,1784900355.5261574,,5.558381461305544,,3.1724382867105305,,6.226084977388382,,1.6165405843639746,,3.052876233123243,,1.352977511123754,,3.5179133992642164,,6.5,0.0,0.0,0.0,0.0,1343488,1777,656,41,-101.43588,0.0890380535274744,-0.0009706598299089819,5.116740769147873,0,0.0,0.0,0.0,,,0.45589695596264146,0,0,0.0,-95.9764,-95.97640228271484,0.0,3601.2677696970736
9,1784900401.4976661,,4.613047910388559,,2.827619481831789,,6.321420513559133,,1.1387334414757788,,2.69621514249593,,1.981251667602919,,3.5787206678651273,,4.75,0.0,0.0,0.0,0.0,1507328,1954,736,46,-99.60264,0.0859384797513485,-0.0012073195961420425,5.07541501224041,0,0.0,0.0,0.0,,,0.4578902671170552,0,0,0.0,-97.33991,-97.33991241455078,0.0,3563.945616193344
