# _tick,_time,plr_track_ground_roughness,track_ground_roughness,plr_track_student_ground_roughness,track_student_ground_roughness,plr_track_pit_gap_low,track_pit_gap_low,plr_track_student_pit_gap_low,track_student_pit_gap_low,plr_track_pit_gap_high,track_pit_gap_high,plr_track_student_pit_gap_high,track_student_pit_gap_high,plr_track_stump_height_low,track_stump_height_low,plr_track_student_stump_height_low,track_student_stump_height_low,plr_track_stump_height_high,track_stump_height_high,plr_track_student_stump_height_high,track_student_stump_height_high,plr_track_stair_height_low,track_stair_height_low,plr_track_student_stair_height_low,track_student_stair_height_low,plr_track_stair_height_high,track_stair_height_high,plr_track_student_stair_height_high,track_student_stair_height_high,plr_track_stair_steps,track_stair_steps,plr_track_student_stair_steps,track_student_stair_steps,plr_track_ued_ground_roughness,track_ued_ground_roughness,plr_track_ued_pit_gap_low,track_ued_pit_gap_low,plr_track_ued_pit_gap_high,track_ued_pit_gap_high,plr_track_ued_stump_height_low,track_ued_stump_height_low,plr_track_ued_stump_height_high,track_ued_stump_height_high,plr_track_ued_stair_height_low,track_ued_stair_height_low,plr_track_ued_stair_height_high,track_ued_stair_height_high,plr_track_ued_stair_steps,track_ued_stair_steps,mean_env_return,adversary_env_pg_loss,adversary_env_value_loss,adversary_env_dist_entropy,dces_l_pi,dces_l_delta,dces_l_tot,dces_q_delta,dces_q_delta_std,dces_w1,dces_w2,dces_buf,dces_c_std,dces_c_absmean,dces_reg_std,steps,total_episodes,total_seeds,total_student_grad_updates,mean_agent_return,agent_value_loss,agent_pg_loss,agent_dist_entropy,mean_adversary_agent_return,adversary_value_loss,adversary_pg_loss,adversary_dist_entropy,kl_loss_advagent_agent,kl_loss_agent_advagent,dps_mode,agent_grad_norm,adversary_grad_norm,adversary_env_grad_norm,solved_rate:BipedalWalker-MADS-Hard-Eval-v0,test_returns:BipedalWalker-MADS-Hard-Eval-v0,sps,target_agent_return
0,1784862440.5926466,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.619291421025991,,5.811730158282444,,9.74218502547592,,0.966846817638725,,3.980620833579451,,1.9633663422428071,,4.788925915025175,,8.0625,-0.11525104194879532,-0.012383490917272866,0.23115282005164772,1.4169782251119614,1.0147316455841064,0.0,1.044060230255127,0.1648789495229721,0.004337220918387175,0.7318824529647827,0.6477807760238647,16,0.4268417954444885,5.366933345794678,0.020943623036146164,32768,457,16,1,-111.44725,0.5598007874563337,-0.0010767766449134796,5.671470642089844,-139.62532,0.04053378618555144,-0.0027846309283631855,5.670587235689164,,,static,0.4193066181633922,0.36030235081100737,2.09963998692338,0.0,-110.558815,2092.207248464841,-111.44725
1,1784862519.539964,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.406521109398454,,6.439813122153282,,9.911641208454967,,1.142557519429829,,4.284952639369294,,2.225206885486841,,4.952096250839531,,8.4375,-0.11400766670703888,-0.0009479845175519586,0.030632181238615885,1.4068891741335392,0.9894344210624695,0.936222493648529,0.9669678807258606,-0.008032089099287987,0.0016686274902895093,0.6849757432937622,0.6023427248001099,96,0.34357893466949463,5.72503662109375,0.029469260945916176,196608,2566,96,6,-109.79049,0.21642834628000857,-0.0069727935435366815,5.657133191823959,-142.01843,0.027560008247382937,-0.003936614686972461,5.565733721852302,,,static,0.5524069218056676,0.3217244827070329,1.112118882476027,0.0,-112.79453,2075.3077985437294,-109.79049
2,1784862597.733721,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.737480578944087,,5.764218177413568,,9.638362849596888,,0.7589315064251423,,3.952084432821721,,1.7037418433465064,,4.8817781590041704,,7.5625,-0.14060722291469574,-0.0007000044570304453,0.007957689787872368,1.4138152748346329,0.9376331567764282,0.9331840872764587,0.8480832576751709,0.008126245811581612,0.007918293587863445,0.7574132680892944,0.5928162336349487,176,0.4196734130382538,5.249886512756348,0.01958412304520607,360448,3973,176,11,-112.09578,0.09005856593139469,-0.008983151661232114,5.566660064458847,-123.8521,0.024719949334394187,-0.00394240054738475,5.447554606199264,,,static,0.4332143650435002,0.3767933954792742,0.7763547113611553,0.0,-136.95186,2095.3085838758225,-112.09578
3,1784862674.717674,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.894766035606153,,6.816334718372673,,9.998634391813539,,1.3167335372418165,,4.321399487089366,,2.4140104819089174,,4.989672519732267,,8.8125,-0.18703415989875793,0.00021690293215215206,0.05654692882671952,1.406920537352562,0.828170895576477,0.9316538572311401,0.6380627751350403,0.004270201548933983,0.005650773178786039,0.9434304237365723,0.5917123556137085,256,0.20787665247917175,5.9455060958862305,0.02097424305975437,524288,4380,256,16,-176.95789,0.057637184124905615,-0.002693282214022474,5.454678469896317,-109.88341,0.0206695293658413,-0.00302960825356422,5.2822624236345295,,,static,0.367931067979104,0.4274958258449463,1.4763001127320947,0.0,-184.16824,2128.236490343829,-176.95789
4,1784862753.7681684,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.489655372686684,,5.720633047865704,,9.356630380963907,,0.7847997569479048,,3.850323896855116,,1.9258966551860794,,4.888240539468825,,7.625,-0.129416361451149,-0.008135180047247559,0.010697922738472698,1.4191000424325466,0.7418805956840515,0.9295701384544373,0.4802818298339844,-0.007392279803752899,0.01655626855790615,1.3140674829483032,0.5753278136253357,336,0.36753007769584656,5.205147743225098,0.034071438014507294,688128,4687,336,21,-150.39507,0.0051464219723129645,-0.0037730331350758206,5.327595227956772,-116.219406,0.042428833269514146,-0.0028938133458723315,5.115028211474419,,,static,0.39087155164654486,0.396461813106478,1.0543481320095225,0.0,-163.77942,2072.5991971100916,-150.39507
5,1784862830.4766493,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.009496759623289,,5.544631922617555,,9.845014293678105,,0.8588235711213201,,3.7979920881334692,,2.061351526877843,,4.861617283895612,,7.6875,-0.09272422641515732,-0.003231123962905258,0.027240556461038068,1.4115559570491314,0.5494837760925293,0.9257224202156067,0.26080018281936646,-0.02558671124279499,0.014080546796321869,1.760520339012146,0.5732520818710327,416,0.35962197184562683,5.333303451538086,0.04339917004108429,851968,4994,416,26,-113.18579,0.015923331305384637,-0.004064110574836377,5.197859865427017,-110.87357,0.033982870413456115,-0.002756506252626423,4.983018067479134,,,static,0.38333931501643825,0.43405598215906205,0.9865840581820076,0.0,-132.9722,2135.8785900995754,-113.18579
6,1784862906.6726155,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.9041997492313385,,6.117950902320445,,9.887344112270512,,1.273765848018229,,4.253330720879603,,2.085231602191925,,4.9050930654630065,,8.25,-0.09002199023962021,-0.0005196701968088746,0.048893269151449203,1.403183076530695,0.5086092948913574,0.9185826182365417,0.2660457193851471,-0.0146937295794487,0.012603255920112133,1.3192408084869385,0.5772037506103516,496,0.370911180973053,5.584614276885986,0.028536245226860046,1015808,5257,496,31,-102.79442,0.004581198649248108,-0.002518852788489312,5.023362728953361,-120.12677,0.022342950594611465,-0.002648369072994683,4.818924710154533,,,static,0.44760822370924425,0.497258810486451,1.146344520615447,0.0,-118.00255,2150.2444536731796,-102.79442
7,1784862982.868039,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.004331992939115,,5.987502247560769,,9.585359665565193,,1.0359133635647595,,3.881600559456274,,2.1021720964927226,,4.91748188220663,,7.875,-0.0903182178735733,-0.0254827716271393,0.001580714289957541,1.408287402242422,0.5257546901702881,0.8618977069854736,0.5033349990844727,-0.0034083453938364983,0.078224778175354,1.269395112991333,0.5558478832244873,576,0.4339444041252136,5.423669815063477,0.04246215894818306,1179648,5459,576,36,-103.31421,0.014346810133429245,-0.0022160284061101265,4.789681327342987,-143.46579,0.020571030129212887,-0.0014546231293934397,4.61099094748497,,,static,0.49349825145134235,0.528174947025882,0.8571439994801533,0.0,-116.020065,2150.260806421549,-103.31421
8,1784863058.2948399,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,7.669487822800875,,5.667046953320096,,9.794419219717383,,0.9365892466157675,,3.9689954289933667,,1.9300708780065179,,4.721856642514467,,7.6875,-0.0990317091345787,0.0009112683474086225,0.0033408424569643103,1.3960197754204273,0.5298231244087219,0.8834643959999084,0.44280412793159485,0.024646688252687454,0.0877017006278038,1.100414514541626,0.5378832817077637,656,0.42826277017593384,5.296995639801025,0.03071724809706211,1343488,5637,656,41,-112.81157,0.008705053746234625,-0.002998273457342293,4.6072886168956755,-116.53676,0.017535160755505784,-0.0019941646518418566,4.410513854026794,,,static,0.4933176906876575,0.5929244792170406,0.8470739157358693,0.0,-115.364235,2172.1721700213984,-112.81157
9,1784863135.5348184,,8.0,,8.0,,6.0,,6.0,,10.0,,10.0,,1.0,,1.0,,4.0,,4.0,,2.0,,2.0,,5.0,,5.0,,8.0,,8.0,,8.479626073036343,,5.904044738039374,,9.877888438641094,,0.9812793738092296,,4.080824751465116,,2.1119820857420564,,4.950293359637726,,7.9375,-0.06136339530348778,-0.0033832735498435795,0.003004637885169359,1.387791946530342,0.6773822903633118,0.9074459671974182,0.6411627531051636,-0.0037712184712290764,0.10332375019788742,0.9959332346916199,0.48114049434661865,736,0.40297791361808777,5.540430068969727,0.03347039595246315,1507328,5812,736,46,-93.14516,0.0045505525078624485,-0.0021354692013119347,4.393837571144104,-115.86418,0.016835353791248054,-0.002283792060916312,4.227145403623581,,,static,0.568739322135894,0.5707591602494467,0.7132954298845309,0.0,-117.23796,2121.181139092076,-93.14516
